symbol,state,horizon,definition,n_total,nS,rateS,p0,pS,p_control,n_controls,uplift,uplift_matched,delta,CI_low,CI_high,p_perm,nS_train,pS_train,train_uplift,nS_test,pS_test,p0_test,test_uplift,delta_test,p_control_test,n_controls_test,uplift_matched_test,weeks_positive,weeks_total,n_syms_contributing,q_fdr,flag_PASS,weekly_stable
1000PEPEUSDT,S05_fund_lo_oi_hi,24h,A_k4.0,16704,52,0.003113,0.009399,0.000000,0.000000,490.000000,0.000000,0.000000,-0.009399,0.000000,0.068795,1.000000,33.000000,0.000000,0.000000,19,0.000000,0.002404,0.000000,-0.002404,0.000000,190.000000,0.000000,0.000000,5.000000,,1.000000,0,0
1000PEPEUSDT,S05_fund_lo_oi_hi,24h,B,16704,52,0.003113,0.265805,0.230769,0.208163,490.000000,0.868191,1.108597,-0.035035,0.137241,0.361340,0.529235,33.000000,0.363636,1.231603,19,0.000000,0.237714,0.000000,-0.237714,0.210526,190.000000,0.000000,1.000000,5.000000,,1.000000,0,0
1000PEPEUSDT,S05_fund_lo_oi_hi,24h,B_adp,16704,52,0.003113,0.031489,0.000000,0.026531,490.000000,0.000000,0.000000,-0.031489,0.000000,0.068795,1.000000,33.000000,0.000000,0.000000,19,0.000000,0.070246,0.000000,-0.070246,0.036842,190.000000,0.000000,0.000000,5.000000,,1.000000,0,0
1000PEPEUSDT,S07_compress_oi,12h,A_k3.0,16848,133,0.007894,0.010565,0.060150,0.020301,1330.000000,5.693334,2.962963,0.049585,0.030791,0.114206,0.337331,38.000000,0.000000,0.000000,95,0.084211,0.009696,8.685064,0.074515,0.027368,950.000000,3.076923,1.000000,6.000000,,1.000000,0,0
1000PEPEUSDT,S07_compress_oi,12h,A_k4.0,16848,133,0.007894,0.001128,0.000000,0.002256,1330.000000,0.000000,0.000000,-0.001128,0.000000,0.028073,1.000000,38.000000,0.000000,0.000000,95,0.000000,0.001310,0.000000,-0.001310,0.007368,950.000000,0.000000,0.000000,6.000000,,1.000000,0,0
1000PEPEUSDT,S07_compress_oi,12h,B,16848,133,0.007894,0.343127,0.541353,0.274436,1330.000000,1.577707,1.972603,0.198227,0.456696,0.623689,0.000500,38.000000,0.000000,0.000000,95,0.757895,0.348795,2.172897,0.409100,0.313684,950.000000,2.416107,2.000000,6.000000,,0.010351,1,0
1000PEPEUSDT,S07_compress_oi,12h,B_adp,16848,133,0.007894,0.027125,0.105263,0.032331,1330.000000,3.880686,3.255814,0.078138,0.063744,0.168945,0.739130,38.000000,0.000000,0.000000,95,0.147368,0.059093,2.493827,0.088275,0.055789,950.000000,2.641509,1.000000,6.000000,,1.000000,0,0
1000PEPEUSDT,S07_compress_oi,24h,A_k3.0,16704,133,0.007962,0.015326,0.112782,0.021053,1330.000000,7.359023,5.357143,0.097456,0.069548,0.177756,0.003498,38.000000,0.000000,0.000000,95,0.157895,0.013488,11.706097,0.144406,0.029474,950.000000,5.357143,1.000000,6.000000,,0.048802,1,0
1000PEPEUSDT,S07_compress_oi,24h,A_k4.0,16704,133,0.007962,0.009399,0.000000,0.003759,1330.000000,0.000000,0.000000,-0.009399,0.000000,0.028073,1.000000,38.000000,0.000000,0.000000,95,0.000000,0.002404,0.000000,-0.002404,0.008421,950.000000,0.000000,0.000000,6.000000,,1.000000,0,0
1000PEPEUSDT,S07_compress_oi,24h,B,16704,133,0.007962,0.265805,0.368421,0.212782,1330.000000,1.386060,1.731449,0.102616,0.291208,0.453022,0.000500,38.000000,0.131579,0.445646,95,0.463158,0.237714,1.948386,0.225444,0.209474,950.000000,2.211055,3.000000,6.000000,,0.010351,1,0
1000PEPEUSDT,S07_compress_oi,24h,B_adp,16704,133,0.007962,0.031489,0.195489,0.042857,1330.000000,6.208068,4.561404,0.163999,0.137043,0.271032,0.001000,38.000000,0.000000,0.000000,95,0.273684,0.070246,3.896098,0.203438,0.085263,950.000000,3.209877,1.000000,6.000000,,0.017483,1,0
1000PEPEUSDT,S08_stall_oi,12h,A_k3.0,16848,59,0.003502,0.010565,0.000000,0.003390,590.000000,0.000000,0.000000,-0.010565,0.000000,0.061131,1.000000,12.000000,0.000000,0.000000,36,0.000000,0.009696,0.000000,-0.009696,0.005556,360.000000,0.000000,0.000000,5.000000,,1.000000,0,0
1000PEPEUSDT,S08_stall_oi,12h,A_k4.0,16848,59,0.003502,0.001128,0.000000,0.001695,590.000000,0.000000,0.000000,-0.001128,0.000000,0.061131,1.000000,12.000000,0.000000,0.000000,36,0.000000,0.001310,0.000000,-0.001310,0.002778,360.000000,0.000000,0.000000,5.000000,,1.000000,0,0
1000PEPEUSDT,S08_stall_oi,12h,B,16848,59,0.003502,0.343127,0.525424,0.435593,590.000000,1.531282,1.206226,0.182297,0.400396,0.647343,0.065467,12.000000,0.333333,1.012658,36,0.611111,0.348795,1.752066,0.262317,0.491667,360.000000,1.242938,3.000000,5.000000,,0.548430,0,0
1000PEPEUSDT,S08_stall_oi,12h,B_adp,16848,59,0.003502,0.027125,0.152542,0.067797,590.000000,5.623707,2.250000,0.125417,0.082384,0.265182,0.001999,12.000000,0.000000,0.000000,36,0.250000,0.059093,4.230599,0.190907,0.088889,360.000000,2.812500,3.000000,5.000000,,0.030399,1,0
1000PEPEUSDT,S08_stall_oi,24h,A_k3.0,16704,59,0.003532,0.015326,0.000000,0.003390,590.000000,0.000000,0.000000,-0.015326,0.000000,0.061131,1.000000,12.000000,0.000000,0.000000,36,0.000000,0.013488,0.000000,-0.013488,0.002778,360.000000,0.000000,0.000000,5.000000,,1.000000,0,0
1000PEPEUSDT,S08_stall_oi,24h,A_k4.0,16704,59,0.003532,0.009399,0.000000,0.000000,590.000000,0.000000,0.000000,-0.009399,0.000000,0.061131,1.000000,12.000000,0.000000,0.000000,36,0.000000,0.002404,0.000000,-0.002404,0.000000,360.000000,0.000000,0.000000,5.000000,,1.000000,0,0
1000PEPEUSDT,S08_stall_oi,24h,B,16704,59,0.003532,0.265805,0.440678,0.333898,590.000000,1.657902,1.319797,0.174873,0.321500,0.567109,0.045477,12.000000,0.333333,1.128969,36,0.611111,0.237714,2.570787,0.373397,0.402778,360.000000,1.517241,3.000000,5.000000,,0.416074,0,0
1000PEPEUSDT,S08_stall_oi,24h,B_adp,16704,59,0.003532,0.031489,0.067797,0.093220,590.000000,2.152993,0.727273,0.036307,0.026678,0.161757,0.084958,12.000000,0.000000,0.000000,36,0.111111,0.070246,1.581749,0.040865,0.144444,360.000000,0.769231,1.000000,5.000000,,0.665468,0,0
1000PEPEUSDT,S09_stall_fund,12h,A_k3.0,16848,169,0.010031,0.010565,0.000000,0.005325,1690.000000,0.000000,0.000000,-0.010565,0.000000,0.022226,1.000000,96.000000,0.000000,0.000000,73,0.000000,0.009696,0.000000,-0.009696,0.000000,730.000000,0.000000,0.000000,7.000000,,1.000000,0,0
1000PEPEUSDT,S09_stall_fund,12h,A_k4.0,16848,169,0.010031,0.001128,0.000000,0.001183,1690.000000,0.000000,0.000000,-0.001128,0.000000,0.022226,1.000000,96.000000,0.000000,0.000000,73,0.000000,0.001310,0.000000,-0.001310,0.000000,730.000000,0.000000,0.000000,7.000000,,1.000000,0,0
