,tgt_ret_sign_1,tgt_ret_sign_3,tgt_ret_sign_5,tgt_ret_sign_10,tgt_vol_regime_5,tgt_vol_regime_10,tgt_vol_expansion_5,tgt_vol_expansion_10,tgt_mean_reversion_5,tgt_mean_reversion_10,tgt_regime_change_5,tgt_regime_change_10,tgt_breakout_up_3,tgt_breakout_down_3,tgt_breakout_any_3,tgt_breakout_up_5,tgt_breakout_down_5,tgt_breakout_any_5,tgt_breakout_up_10,tgt_breakout_down_10,tgt_breakout_any_10,tgt_consolidation_3,tgt_consolidation_5,tgt_fill_prob_long_1,tgt_fill_prob_short_1,tgt_fill_prob_long_3,tgt_fill_prob_short_3,tgt_fill_prob_long_5,tgt_fill_prob_short_5,tgt_tail_event_1,tgt_tail_event_3,tgt_tail_event_5,tgt_crash_3,tgt_crash_5,tgt_crash_10,tgt_liquidation_cascade_3,tgt_liquidation_cascade_5,tgt_mid_reversion_1,tgt_mid_reversion_3,tgt_adverse_selection_1,tgt_adverse_selection_3,tgt_adverse_selection_5,tgt_autocorr_break_5,tgt_profitable_long_1,tgt_profitable_short_1,tgt_profitable_long_3,tgt_profitable_short_3,tgt_profitable_long_5,tgt_profitable_short_5,tgt_profitable_long_10,tgt_profitable_short_10,tgt_optimal_action_1,tgt_optimal_action_3,tgt_optimal_action_5,tgt_best_side_1,tgt_best_side_3,tgt_best_side_5
open,,,,,,,0.549121517788167,0.549576142171108,0.5112600623744754,0.4948750153705623,0.5110353024746028,0.5098424395517445,0.486764818664237,0.5222291378415663,0.5203750496336137,0.4813456837688176,0.5238935260833133,0.548611666900098,0.47065280857184644,0.5204854590433703,0.6106680485534105,0.4946844431411825,0.48408945809914294,0.6066344402758564,0.5025467700213726,0.547599040986414,0.5383158175310334,0.4760329950203368,0.5376568918302145,0.5339531590510284,0.53703212683619,0.5363863443226937,0.5581900141797758,0.5572586121447601,0.5498259020527596,0.5214121672157747,0.5237121560881919,0.5512203206503725,0.5426696799591747,0.504993654374956,0.5028076102768495,0.49681619054550974,0.49566362967451527,0.4983083889047459,0.5040610680979914,0.4833203564564475,0.5166728253816326,0.47598100417583655,0.5244349801532091,0.4736028992143123,0.5252580599373347,,,,,,
high,,,,,,,0.5471714104830976,0.5465461544786263,0.5142693858889995,0.49752094788061907,0.5101813810487427,0.5083740194515927,0.48824983288081425,0.517598758426467,0.5139759231852146,0.4827567855276733,0.5190781984544272,0.5379997098781488,0.4718509109619533,0.5152693942665685,0.5875375480879022,0.501144101821551,0.4937831921997939,0.6052063948570462,0.5052837103964836,0.5470533165886516,0.5408784555631712,0.4781655072794314,0.5413138977635783,0.5330368945696276,0.5356603674263696,0.5345780674990648,0.5563343065229777,0.5551975433379608,0.547613442398886,0.5202136242671905,0.5219108576633302,0.5520257264644138,0.5438225767816787,0.5049076721924756,0.5025966111571357,0.4965607683051223,0.4950302482852743,0.49831093178338826,0.504232492711264,0.4835311918063314,0.5167234296626977,0.47624699903238765,0.5242201608701255,0.47372662201551463,0.5252106074340492,,,,,,
low,,,,,,,0.5521880681591146,0.5539135628081697,0.5110086050650686,0.49437217840392084,0.511947446418705,0.512036444957556,0.4919536404510844,0.521154937037352,0.530884290510053,0.4870506208997196,0.5230726550241195,0.5675608755677384,0.47662578401156447,0.5201298874694829,0.6448412001335043,0.4872582615419105,0.47321432568851285,0.6063197229492372,0.5026396941714948,0.5478821783308597,0.5389612367679537,0.4747329608089102,0.538193176631675,0.5354522821943735,0.5392987703503747,0.5392884397828034,0.5603237863090733,0.5595484528122099,0.5524824097305552,0.5233254506489003,0.5259501197936777,0.5511232067363327,0.5431518761911706,0.5040580116626782,0.5022954837893575,0.49648168435389217,0.49587814304974365,0.49767316225122604,0.5043434512829112,0.4827488707731272,0.5170181236545337,0.47556835816263193,0.5247308300376392,0.4734591650989409,0.5253455488696217,,,,,,
close,,,,,,,0.5496425124120914,0.550301521353159,0.5143983802230458,0.4975451016213747,0.5109891753861188,0.5102755393934054,0.4949319962272271,0.5146993325496673,0.5228847056275494,0.4896231662029058,0.5164459822568663,0.5518974219172053,0.4787715753884636,0.5133673127752479,0.6067200098371599,0.4949482579339413,0.48518097835673824,0.6073347796232348,0.5046299998055076,0.5499098070555999,0.5404405605056736,0.4797012202075493,0.540386809675947,0.5341540999486527,0.5375841261182199,0.5369381510185162,0.558454034992048,0.5573684801388786,0.550062845308299,0.5221533006169445,0.5240067520072865,0.5526688880747602,0.5448859079973755,0.5044771910033139,0.5024862643202044,0.4965900068160982,0.4955069894409,0.4975714211577882,0.5047241894373481,0.48284417457519657,0.5171714943514302,0.4757311137168597,0.5246079353548031,0.4733094172207623,0.5255359034196867,,,,,,
range,,,,,,,0.4081381665151576,0.348700842726702,0.5652629688290907,0.5687261756284363,0.48307074844980885,0.42283123985546495,0.4081127207461299,0.42442852028150596,0.21715382810525935,0.39841029059709315,0.4190852206366506,0.15146361471818165,0.38616253715050036,0.4059209069526814,0.08110606566304213,0.7858747420770177,0.8387930239409164,0.49604177654821024,0.5429774194315203,0.5023541500171254,0.5310277206610312,0.5571634926065306,0.5711176403468736,0.473309521295053,0.4451193408360038,0.4146041077073864,0.43388817314234246,0.42494475796183573,0.40339308517123446,0.44553314097634306,0.41674184709970596,0.5212795775835499,0.5180464283110634,0.5192206597791059,0.5070089034370564,0.506734059360813,0.46918978983099546,0.5088407587119541,0.5075680203907533,0.5100885622574745,0.5014549055359059,0.5062009710562742,0.49935629435543527,0.49625713253006054,0.5049523299412486,,,,,,
return,,,,,,,0.5114089419919949,0.5157123468733166,0.5959048381039467,0.5660231524584117,0.49454867468837693,0.5081796050250379,0.7050299154788995,0.308498592869463,0.5374354763022056,0.7006633422658817,0.31690938330439966,0.5279248534384442,0.6948363743901579,0.3261858554033918,0.46935988195408157,0.5055812336232938,0.526923793261228,0.536767193766358,0.5576075705089002,0.5649686037218861,0.565962226791562,0.6054586231801422,0.5884071200365131,0.5026552161135611,0.512724001679708,0.5137971902254306,0.4956209706848316,0.5021241830065359,0.5014774061691875,0.5145461514661063,0.5078323160771036,0.5481917621813994,0.5657151188827212,0.4908102232996421,0.49313817383631653,0.4979905522283789,0.4963145945990747,0.48513472067256547,0.5142900890897595,0.4921127351397644,0.5083364126908163,0.49367701414406967,0.5054270011809094,0.4999347299364283,0.49958851159855866,,,,,,
total_volume,,,,,,,0.3520721782679347,0.28730523801815555,0.5996277125549042,0.5887101024118608,0.4856348999832627,0.40954648799327603,0.415784092313891,0.43971504025596886,0.22771134895137712,0.41278045367225336,0.4340805082170553,0.17249369735288822,0.40218811813709643,0.4168903368544861,0.06793788536195478,0.7498484621018,0.8107284621742117,0.4654706578960463,0.569006986599473,0.48037447197168626,0.560433325717767,0.5515490173718022,0.6353662711090826,0.4333899782905795,0.3980745935490988,0.36652716415647674,0.3890641585697764,0.3788520197912988,0.3593346338208022,0.4362750133791785,0.40623366449850007,0.5209969586480814,0.5241066872181547,0.5140063860628508,0.5046566002287293,0.503474457879644,0.48578876228487655,0.5089226757310776,0.504758406654702,0.5121923515470179,0.49772771459123166,0.511654552840266,0.49287833353772553,0.5082911903351781,0.4930848478244894,,,,,,
total_notional,,,,,,,0.3725577482751273,0.31163737100444594,0.5991999085609785,0.582548702724542,0.48632317237658484,0.41515659404496896,0.41755089122601374,0.4475372165972541,0.2438878460816518,0.41374857780268154,0.4418510724257798,0.18782013445647172,0.4007488887232663,0.42340282464684104,0.0950252077221705,0.7368190224137771,0.7973714419260184,0.49511877158239376,0.5690372409739316,0.49312021920310534,0.5715406290457695,0.5424715855095602,0.6414308534915564,0.4460444426640835,0.41300351067015184,0.38305818233618116,0.4082902535053516,0.3982380048793711,0.37847610354275885,0.4443974334715781,0.4151874375043314,0.5348731994673273,0.5359960007915101,0.513569424455956,0.5056496958398439,0.5031108427803792,0.4831403537933931,0.5084115311762111,0.5044726642452473,0.5080884531313795,0.5012761937521343,0.5063687835469384,0.4977754454244893,0.5022092801899187,0.498670474207127,,,,,,
total_trades,,,,,,,0.38216244688856915,0.3188952310721587,0.5812305079764217,0.5730013877421962,0.48140317064715055,0.41360270934130816,0.423835888959603,0.4471332318738521,0.2602791213947948,0.4169456910207323,0.44029312414997746,0.20231934912663319,0.4031398724059415,0.42226216915212816,0.10042027508914925,0.7255195140487893,0.787810678094648,0.4923646839889737,0.5635547161167214,0.494716291814134,0.5542342548168456,0.551606036416163,0.603183477863989,0.4583645257768804,0.42505350342818793,0.39106313230733986,0.42220492811482446,0.4073916859021223,0.38234560187116196,0.44226478429678306,0.40941023889433403,0.5306350784761839,0.5272571053645633,0.5165230692502624,0.5032756706091187,0.5032804416964392,0.4780575033981405,0.5104433431069826,0.5061992014940998,0.5114929642713697,0.49876064948790233,0.5107673587252743,0.4963870052646028,0.5016821946169773,0.49932189594895127,,,,,,
buy_volume,,,,,,,0.3565454947687738,0.29395647425142113,0.6124487696553076,0.5997242081964622,0.48446379182704385,0.41226936974524964,0.4419504354256045,0.41674184873055814,0.23633586615168034,0.4379461901422175,0.411880209758566,0.17161457812281156,0.4257956095750943,0.3984334472140959,0.06665114971805998,0.7452841310321633,0.8097587194022875,0.4793356354553325,0.5737353131219705,0.500837995204932,0.5684296702459829,0.5701904436081651,0.6437756732085805,0.43563167234330125,0.4006339658610739,0.36985136565503174,0.3890694519494005,0.38096086919616334,0.363464015747021,0.4380211078365849,0.40956715871177246,0.5300233189697784,0.5378143909018007,0.5120642826333099,0.504191468999719,0.5056488906888199,0.4858611396847557,0.5061612652118632,0.5068811761556513,0.5109289991601855,0.49938179172285324,0.5117384720521017,0.49307561867019756,0.5088235379505759,0.49252265234703974,,,,,,
