,tgt_ret_1,tgt_ret_2,tgt_ret_3,tgt_ret_5,tgt_ret_10,tgt_ret_magnitude_1,tgt_ret_magnitude_3,tgt_ret_magnitude_5,tgt_cum_ret_3,tgt_cum_ret_5,tgt_cum_ret_10,tgt_max_drawdown_long_3,tgt_max_drawup_long_3,tgt_max_drawdown_short_3,tgt_max_drawup_short_3,tgt_max_drawdown_long_5,tgt_max_drawup_long_5,tgt_max_drawdown_short_5,tgt_max_drawup_short_5,tgt_max_drawdown_long_10,tgt_max_drawup_long_10,tgt_max_drawdown_short_10,tgt_max_drawup_short_10,tgt_sharpe_5,tgt_sharpe_10,tgt_ret_risk_adj_1,tgt_ret_risk_adj_3,tgt_ret_risk_adj_5,tgt_realized_vol_5,tgt_realized_vol_10,tgt_range_bps_1,tgt_range_bps_3,tgt_range_bps_5,tgt_trend_strength_5,tgt_trend_strength_10,tgt_best_long_entry_pct,tgt_best_short_entry_pct,tgt_slippage_long_bps,tgt_slippage_short_bps,tgt_fwd_spread_bps_1,tgt_fwd_spread_bps_3,tgt_recovery_time_5,tgt_recovery_time_10,tgt_inventory_cost_3,tgt_inventory_cost_5,tgt_inventory_cost_10,tgt_relative_ret_1,tgt_relative_ret_3,tgt_relative_ret_5,tgt_alpha_1,tgt_alpha_3,tgt_alpha_5,tgt_kelly_5,tgt_kelly_10,tgt_optimal_horizon,tgt_pnl_long_bps_1,tgt_pnl_short_bps_1,tgt_pnl_long_bps_3,tgt_pnl_short_bps_3,tgt_pnl_long_bps_5,tgt_pnl_short_bps_5,tgt_pnl_long_bps_10,tgt_pnl_short_bps_10
dominant_freq_power_pct,-0.0074103399673379824,-0.008083352923356213,-0.006535273345299917,-0.011693287911438751,0.002535491234073732,-0.27222634135981105,-0.20600259900359313,-0.17011765851386557,-0.01434197943178692,-0.010986075993184095,-0.0038670315367577363,0.23628002526336478,-0.235519832228725,0.235519832228725,-0.23628002526336478,0.21628716374580112,-0.20911108247533144,0.20911108247533144,-0.21628716374580112,0.17895210111243773,-0.16633672818504283,0.16633672818504283,-0.17895210111243773,-0.015538326109812848,-0.007006134374128705,0.00400203856807995,-0.0009868622061116271,-0.002539844472553732,-0.37420344061606736,-0.36447533769939583,-0.5331350711730896,-0.3928579692466142,-0.3393193008748281,-0.015279818364016014,-0.008691994937757415,0.005946861349945099,-0.005946857791186664,-0.004453639291981851,0.004453639291981851,-0.48433697097795675,-0.5022763420639567,0.012982477434522745,0.01595027992476979,-0.3811994197649061,-0.3917443013263966,-0.37478219747870445,-0.007108777019242956,-0.007636480047172839,-0.012243427886124637,-0.007108777019242956,-0.007636480047172839,-0.012243427886124637,-0.011223860291546888,-0.001784404748382247,0.019121288172662437,-0.0074103399673379824,0.0074103399673379824,-0.01434197943178692,0.01434197943178692,-0.010986075993184095,0.010986075993184095,-0.0038670315367577363,0.0038670315367577363
spectral_energy_ratio,-0.013564539247687421,-0.011228202014039422,0.0032056112525027697,0.002628314226667545,0.011817057803307253,0.11413019609739282,0.09228967109506431,0.06973256054129343,-0.005972621676124968,-0.0055593244258963425,0.0018920554216275659,-0.09068191021882531,0.0731253079283691,-0.0731253079283691,0.09068191021882531,-0.08936081349030052,0.06319479073189231,-0.06319479073189231,0.08936081349030052,-0.08895589957075486,0.061302062910431145,-0.061302062910431145,0.08895589957075486,-0.007398339727707162,0.0006745761087450481,-0.011476253375179471,0.0015122279628698475,0.005922870523712695,0.14753574061275812,0.16512708200930368,0.17981598019709472,0.15596996782937536,0.12970522631053752,0.005317843247963061,0.004409263097047113,0.0028314341760629675,-0.0028314585652595963,-0.0117216117597463,0.0117216117597463,0.16992675151774506,0.19001707891796193,0.005398287837514002,-0.004846396967151305,0.15594920357862757,0.1574775078983141,0.17472619096299885,0.012902475818530906,0.028844515770571778,0.029412851942901483,0.012902475818530906,0.028844515770571778,0.029412851942901483,-0.00816529879797217,-0.0008613062228406261,-0.014395282640905314,-0.013564539247687421,0.013564539247687421,-0.005972621676124968,0.005972621676124968,-0.0055593244258963425,0.0055593244258963425,0.0018920554216275659,-0.0018920554216275659
spectral_entropy,0.005941362486729901,0.007947299783450735,0.005581033503868324,0.013352125868698913,-0.006176568013227385,0.2973649892075047,0.22308100506053755,0.1808796033844638,0.013263569759140661,0.011439001209578236,0.0005595645220610171,-0.2535329512563093,0.25113736089641553,-0.25113736089641553,0.2535329512563093,-0.2329803154448802,0.2226400405796988,-0.2226400405796988,0.2329803154448802,-0.19431906353301684,0.17428224245241272,-0.17428224245241272,0.19431906353301684,0.018043784575593837,0.006627464885951105,-0.005833656942088156,-0.0001143660100820736,0.004469439899181594,0.40444093501843015,0.3938635682299441,0.5743743823270335,0.42412281199200275,0.36057837871717163,0.017441750732643233,0.005707720517794282,-0.00724141294066456,0.007241407664488366,0.004103103199413466,-0.004103103199413466,0.5211301594260118,0.5423838938367228,-0.01338111672274662,-0.016064865794493954,0.41224920717333496,0.42348674332398367,0.40434411789050223,0.009735864229846621,0.010133247952780314,0.017490341276517777,0.009735864229846621,0.010133247952780314,0.017490341276517777,0.013399448288939957,0.0009870744744418648,-0.02425085112240012,0.005941362486729901,-0.005941362486729901,0.013263569759140661,-0.013263569759140661,0.011439001209578236,-0.011439001209578236,0.0005595645220610171,-0.0005595645220610171
spectral_flatness,0.008609458692537396,0.006225294447161148,0.00603937264815467,0.009136736874000505,0.0015790979007087875,0.2866950154405062,0.21915625592547366,0.17608507624970512,0.01705946107912072,0.014238091075586455,0.008521426101960848,-0.23622372710102152,0.243088076398611,-0.243088076398611,0.23622372710102152,-0.2209782118291035,0.21834984687876086,-0.21834984687876086,0.2209782118291035,-0.18833842526670008,0.17903563378325835,-0.17903563378325835,0.18833842526670008,0.016633999836373623,0.011090511166419218,-0.002323187220266662,0.002675899153083784,0.006226241443422053,0.38745924243574753,0.38957328040728467,0.5358866026293654,0.40836478321382647,0.3524230195703796,0.018606942820529843,0.010021185296215294,-0.013017939768226952,0.013017930950996966,0.008581947884018054,-0.008581947884018054,0.4891349423650976,0.5164276363971738,-0.01685774835297996,-0.021197656975370727,0.3966024326351713,0.4071688214573556,0.4008986403553502,0.02032214045968225,0.0187492656201218,0.0220818837072952,0.02032214045968225,0.0187492656201218,0.0220818837072952,0.01489353224650281,0.006592196784473634,-0.017769647427205833,0.008609458692537396,-0.008609458692537396,0.01705946107912072,-0.01705946107912072,0.014238091075586455,-0.014238091075586455,0.008521426101960848,-0.008521426101960848
spectral_centroid,0.013546371133711916,0.009541431138080427,-0.003679801386500083,-0.003125956978806921,-0.012422406666241836,-0.11025572704903631,-0.08852539851989533,-0.06529248641010654,0.004994249485091752,0.004443346673448217,-0.0019675826218672724,0.08732597224307191,-0.06937313703958539,0.06937313703958539,-0.08732597224307191,0.08555741561483558,-0.05960270796930539,0.05960270796930539,-0.08555741561483558,0.08585018328415249,-0.05852015426121453,0.05852015426121453,-0.08585018328415249,0.006118391327951678,-0.0013992725824103398,0.011380130709068523,-0.0021696115913619825,-0.006186390457483116,-0.14179829102343305,-0.159331688968297,-0.17313897666401884,-0.14938340612093726,-0.12344668576101783,-0.006493801635085527,-0.004553790353108335,-0.004220471395597057,0.004220493252928091,0.01304210274994266,-0.01304210274994266,-0.16361517717223975,-0.1825458537949477,-0.004471841468420436,0.0051752907141770135,-0.1495582685523538,-0.15076348285372898,-0.16783299469445007,-0.012895459068362513,-0.029137332224804833,-0.029968847227690415,-0.012895459068362513,-0.029137332224804833,-0.029968847227690415,0.007314117127587001,0.0009454876831008869,0.013260263968477628,0.013546371133711916,-0.013546371133711916,0.004994249485091752,-0.004994249485091752,0.004443346673448217,-0.004443346673448217,-0.0019675826218672724,0.0019675826218672724
taylor_price_a0,-0.010616686655394565,0.02440940696846335,-0.0011075015459984312,0.011010740974694117,0.0001151687525246523,0.02108093045186204,0.0021525471665066057,-0.010242483263023811,-0.0010698819491709072,-0.005351577694618533,-0.01883434428669846,-0.02386249138045745,-0.003140521750402716,0.003140521750402716,0.02386249138045745,-0.02597424812397037,-0.010001534520584821,0.010001534520584821,0.02597424812397037,-0.02817093132472451,-0.01952402780142538,0.01952402780142538,0.02817093132472451,0.0030396843527683713,-0.009057992971038814,-0.018622794239230984,0.0021944790432724005,0.007075799795237638,0.01219535047836091,0.009923359946559166,0.02927643803611147,0.009999391173777811,0.007579098465971301,-0.0021647628321746952,-0.017400708337465452,0.013413500376025464,-0.013413485707163582,-0.027031045243884763,0.027031045243884763,0.02886881470308712,0.032978214036315984,-0.0024989919395862303,0.016287519873927004,0.022516532717961724,0.011279635004614772,0.009306141986366971,0.009991743351955483,0.02612427688040818,0.038714740628562935,0.009991743351955483,0.02612427688040818,0.038714740628562935,0.004853314446972855,-0.010472796237028778,-0.010944635188534677,-0.010616686655394565,0.010616686655394565,-0.0010698819491709072,0.0010698819491709072,-0.005351577694618533,0.005351577694618533,-0.01883434428669846,0.01883434428669846
taylor_price_a1,0.01795958790975269,-0.017559854770645304,0.01092751031071677,-0.0064602651388637545,0.00029895454382628287,-0.014806664953534863,-0.0039108467068046104,0.018477929931364698,0.00534196991768369,0.004359421015850787,0.008378494114721285,0.012746637435939664,0.0051569853192005724,-0.0051569853192005724,-0.012746637435939664,0.007446757610208885,0.006867921903021137,-0.006867921903021137,-0.007446757610208885,0.004886328078099708,0.009854047011446326,-0.009854047011446326,-0.004886328078099708,0.00691862324368441,0.008506372357060917,0.019942118284323396,0.006774256013565627,-0.007096254403459266,0.0009835840432667405,-0.004218257694667364,-0.006753440274330306,-0.003470030328506184,0.009567173628883882,0.00036505440066803983,0.00613152399829602,-0.029262240591047612,0.029262202551132103,0.02499262854990327,-0.02499262854990327,-0.003677532805265691,-0.015173355924525612,0.0002352456781602529,-0.0037106784894364426,-0.021278122745493854,-0.0023547002307419754,-0.000807973858921053,0.027256967329518517,0.017589557919944834,0.0008495313902705006,0.027256967329518517,0.017589557919944834,0.0008495313902705006,0.0029606824034443236,0.0055200462536187395,0.011832598787285396,0.01795958790975269,-0.01795958790975269,0.00534196991768369,-0.00534196991768369,0.004359421015850787,-0.004359421015850787,0.008378494114721285,-0.008378494114721285
taylor_price_a2,-0.004080784832499736,0.02030726281139212,-0.011398513129293028,-0.0024302236267168937,-0.0006225195996614548,0.011669416119305404,0.007023763914698186,-0.020323971359054394,0.004167852789320645,0.0011418036555040669,-0.0010636637557098023,-0.0010760539397555277,0.006858754686287138,-0.006858754686287138,0.0010760539397555277,0.004822255060664335,0.005280078356431639,-0.005280078356431639,-0.004822255060664335,0.006519087557798902,0.002154826833150604,-0.002154826833150604,-0.006519087557798902,-0.0014959850275118303,-0.002996124630753497,-0.004781977785383862,-0.007025749700942845,0.0006231459968636366,-0.0026940841370283785,0.004863638476833073,0.00724629242977216,0.00632510590844653,-0.010912200882896688,-0.0005855217897524497,-0.0038296752519863734,0.018310535635057017,-0.018310509324918418,-0.013120621736554173,0.013120621736554173,0.004714315676324336,0.011256241169078812,-0.004443071001798061,-0.005453224972767534,0.020510115451483023,0.0023870602983146597,0.0016159530294440978,-0.014724488498951629,-0.019317374686055683,-0.011762494611410766,-0.014724488498951629,-0.019317374686055683,-0.011762494611410766,0.0021575763847873804,0.001358906061935247,-0.009548964481271502,-0.004080784832499736,0.004080784832499736,0.004167852789320645,-0.004167852789320645,0.0011418036555040669,-0.0011418036555040669,-0.0010636637557098023,0.0010636637557098023
taylor_price_a3,-0.004458856319491617,-0.02028450410981288,0.010397492997972763,0.007536013555155822,0.0044430356238408086,-0.009913643848182262,-0.011017829352080557,0.018549694758389763,-0.009735840633197025,-0.003934188359211404,8.01311994672186e-05,-0.00485944430032825,-0.015436147592403695,0.015436147592403695,0.00485944430032825,-0.00986469879303104,-0.01376208252765949,0.01376208252765949,0.00986469879303104,-0.009682946561517008,-0.009625163085327513,0.009625163085327513,0.009682946561517008,-0.002153260044606841,0.0021041978570353805,-0.0034727310359037493,0.0061170951005533195,0.003665178722463745,0.0001281537471723337,-0.007705225004430258,-0.00848575928714837,-0.010606424464713172,0.009077021369580671,0.0009081211753878468,0.005248595131467839,-0.008208648958935302,0.008208623286146272,0.0034782654007466155,-0.0034782654007466155,-0.006582678086232763,-0.011103640207168867,0.00670199818116741,0.00806119393840122,-0.020724312476710905,-0.0048958919405537845,-0.004553298976808085,0.0054581548979875626,0.017489304300616848,0.016159399221809163,0.0054581548979875626,0.017489304300616848,0.016159399221809163,-0.005248567119138288,-0.002516183067777472,0.009907680107030038,-0.004458856319491617,0.004458856319491617,-0.009735840633197025,0.009735840633197025,-0.003934188359211404,0.003934188359211404,8.01311994672186e-05,-8.01311994672186e-05
taylor_price_a4,0.009718258898713368,0.018967792168941545,-0.009210757157811007,-0.010416356781339814,-0.008344320154212832,0.00834906953216405,0.01298394511561387,-0.01648035631009079,0.013210623656479183,0.005507978001488924,-0.00024135702562368008,0.009280348768023885,0.0207258785686606,-0.0207258785686606,-0.009280348768023885,0.013073782781173689,0.019015972348261797,-0.019015972348261797,-0.013073782781173689,0.011524789120479714,0.014135902063143479,-0.014135902063143479,-0.011524789120479714,0.004131813744768239,-0.0020935174116878796,0.008311384307163449,-0.005024981036008393,-0.006275307864401934,0.00135412616094317,0.008755563544110523,0.007731768956656757,0.012486723451913059,-0.007618724450963918,-0.0011388260222136514,-0.006344086714412424,0.0005045521268328346,-0.0005045241434554206,0.004096331517544841,-0.004096331517544841,0.006214391823627543,0.009793882725223904,-0.0076468104491263815,-0.009104467734183238,0.019482211135617558,0.005887601885011485,0.005724174621163347,-4.910892966898703e-05,-0.016151942830343914,-0.018904363335958616,-4.910892966898703e-05,-0.016151942830343914,-0.018904363335958616,0.006858901032713729,0.0022555256219184893,-0.010650588675533437,0.009718258898713368,-0.009718258898713368,0.013210623656479183,-0.013210623656479183,0.005507978001488924,-0.005507978001488924,-0.00024135702562368008,0.00024135702562368008
