signal,raw_n,raw_mean,raw_wr,raw_net,delayed_n,delayed_mean,delayed_net,delay_cost,declust_n,declust_mean,declust_net,cluster_ratio,declust_delayed_n,declust_delayed_mean,declust_delayed_net,shuffle_p,shuffle_effect_size,ci95_lo,ci95_hi,ci95_lo_profitable,effective_n,n_inflation,t_stat_raw,t_stat_adj,months_tested,months_profitable,months_pct_profitable,worst_month_net,best_month_net,monthly_sharpe,symbol,horizon_m
SOLUSDT_Idea4_BTC_pump_30m,20,191.4547163198364,60.0,171.4547163198364,20.0,129.0363356141799,109.0363356141799,62.41838070565649,10.0,125.57397759354538,105.57397759354538,2.0,10.0,169.15076018421536,149.15076018421536,0.0,14.015391758668764,-12.602876629010353,375.51209702163084,False,20.0,1.0,1.816354435597811,1.816354435597811,5.0,4.0,80.0,-6.3615156462567,336.0332106567878,0.5779827759368481,SOLUSDT,30
SOLUSDT_Idea5_spot_lead_30m,24,400.74366527324537,58.333333333333336,380.74366527324537,24.0,347.6103507554282,327.6103507554282,53.133314517817155,3.0,368.61847591899,348.61847591899,8.0,3.0,325.79281052102505,305.79281052102505,0.0,33.295994650016944,98.37737303683603,724.6806823853927,True,24.0,1.0,2.4147990188814226,2.4147990188814226,1.0,1.0,100.0,380.74366527324537,380.74366527324537,,SOLUSDT,30
SOLUSDT_Idea3_high_IFR_30m,8,478.82859468134103,75.0,458.82859468134103,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLUSDT,30
SOLUSDT_Idea4_BTC_pump_60m,20,208.1378657381997,70.0,188.1378657381997,20.0,198.85882783731654,178.85882783731654,9.279037900883168,10.0,74.3333823812178,54.3333823812178,2.0,10.0,127.8120498643397,107.8120498643397,0.0,11.213350316758484,41.91980817931964,356.9417786669625,True,20.0,1.0,2.5128190253978384,2.5128190253978384,5.0,3.0,60.0,-321.57275919987734,401.4738616058868,0.1189278773147092,SOLUSDT,60
SOLUSDT_Idea5_spot_lead_60m,24,461.4832210765106,79.16666666666666,441.4832210765106,24.0,418.3728759275253,398.3728759275253,43.11034514898529,3.0,386.10342703682795,366.10342703682795,8.0,3.0,369.04899824615313,349.04899824615313,0.0,26.888286351596367,212.8893357427934,713.0282078384154,True,24.0,1.0,3.486104740984988,3.486104740984988,1.0,1.0,100.0,441.4832210765106,441.4832210765106,,SOLUSDT,60
SOLUSDT_Idea3_high_IFR_60m,8,429.8300370537013,75.0,409.8300370537013,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLUSDT,60
SOLUSDT_Idea4_BTC_pump_240m,20,83.80715849315463,60.0,63.80715849315463,20.0,67.5938586074205,47.5938586074205,16.21329988573413,10.0,-15.23458262178167,-35.23458262178167,2.0,10.0,45.11831527291922,25.11831527291922,0.01,2.375326600362909,-125.94318377783672,269.24465699038944,False,20.0,1.0,0.7860199545026461,0.7860199545026461,5.0,3.0,60.0,-695.6756756756754,331.0562783500034,-0.2990414006106202,SOLUSDT,240
SOLUSDT_Idea5_spot_lead_240m,24,278.37651236195023,62.5,258.37651236195023,24.0,241.05244099185555,221.05244099185555,37.324071370094686,3.0,147.7653993077736,127.7653993077736,8.0,3.0,158.30906960796437,138.30906960796437,0.0,8.185982540128252,-13.330207328854947,582.8622800150957,False,24.0,1.0,1.8630974695761182,1.8630974695761182,1.0,1.0,100.0,258.37651236195023,258.37651236195023,,SOLUSDT,240
SOLUSDT_Idea3_high_IFR_240m,8,473.29712921769897,75.0,453.29712921769897,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLUSDT,240
ETHUSDT_Idea4_BTC_pump_30m,20,267.2737744923139,75.0,247.27377449231392,20.0,254.51995143378954,234.51995143378954,12.753823058524375,10.0,138.22450492617776,118.22450492617776,2.0,10.0,156.81978849108822,136.81978849108822,0.0,22.93008134786075,121.10731510412319,389.6081865765449,True,20.0,1.0,3.78463047135417,3.78463047135417,5.0,4.0,80.0,-22.98714011779148,442.3203280874387,1.0196329675623452,ETHUSDT,30
ETHUSDT_Idea3_high_IFR_30m,8,224.05542966844104,100.0,204.05542966844104,,,,,,,,,,,,,,,,,,,,,,,,,,,ETHUSDT,30
ETHUSDT_Idea4_BTC_pump_60m,20,254.4542821958208,85.0,234.4542821958208,20.0,259.50305352807567,239.50305352807567,-5.048771332254859,10.0,88.0474180167914,68.0474180167914,2.0,10.0,116.88503804581174,96.88503804581174,0.0,14.870444141578249,107.26608106957707,367.5745325154136,True,20.0,1.0,3.776488414730935,3.776488414730935,5.0,3.0,60.0,-213.1565094148624,457.74447509761694,0.4247628663118954,ETHUSDT,60
ETHUSDT_Idea3_high_IFR_60m,8,247.8613010274018,87.5,227.8613010274018,,,,,,,,,,,,,,,,,,,,,,,,,,,ETHUSDT,60
ETHUSDT_Idea4_BTC_pump_240m,20,156.2601325530923,80.0,136.2601325530923,20.0,164.55257710783937,144.55257710783937,-8.292444554747078,10.0,69.97603874668378,49.976038746683784,2.0,10.0,107.93194406094376,87.93194406094376,0.0,4.72271565300861,33.491356475628095,226.36822038523167,True,20.0,1.0,3.0716770364406734,3.0716770364406734,5.0,4.0,80.0,-519.6962947965178,234.4768925119878,0.061052082899752926,ETHUSDT,240
ETHUSDT_Idea3_high_IFR_240m,8,218.5405767218665,87.5,198.5405767218665,,,,,,,,,,,,,,,,,,,,,,,,,,,ETHUSDT,240
XRPUSDT_Idea4_BTC_pump_30m,20,715.85634431242,80.0,695.85634431242,20.0,550.7731155715065,530.7731155715065,165.08322874091346,10.0,424.76911073009194,404.76911073009194,2.0,10.0,281.72128613021056,261.72128613021056,0.0,37.92956450517418,280.95205024334103,1190.292828694348,True,20.0,1.0,3.048662369752126,3.048662369752126,5.0,5.0,100.0,30.367061576687135,1318.4838581899417,0.5426824742774311,XRPUSDT,30
XRPUSDT_Idea5_spot_lead_30m,32,860.2397950446829,87.5,840.2397950446829,32.0,944.0720999072836,924.0720999072836,-83.83230486260072,4.0,535.0186179841144,515.0186179841144,8.0,4.0,1205.7318751217927,1185.7318751217927,0.0,89.14220077158149,387.76813375207155,1376.6429971432838,True,32.0,1.0,3.2510384291261922,3.2510384291261922,1.0,1.0,100.0,840.2397950446829,840.2397950446829,,XRPUSDT,30
XRPUSDT_Idea3_high_IFR_30m,35,402.2172439080293,60.0,382.2172439080293,35.0,338.323914766767,318.323914766767,63.89332914126226,12.0,321.3594299276882,301.3594299276882,2.9166666666666665,12.0,200.39280200192806,180.39280200192806,0.0,40.499410890507896,108.51294812953813,748.6052532130436,True,35.0,1.0,2.4015299188855503,2.4015299188855503,3.0,1.0,33.33333333333333,-99.45912037359726,1740.7928344490529,0.5207507233453837,XRPUSDT,30
XRPUSDT_Idea4_BTC_pump_60m,20,755.8917493216262,85.0,735.8917493216262,20.0,657.0267342959145,637.0267342959145,98.86501502571173,10.0,354.25234646010165,334.25234646010165,2.0,10.0,242.51043333183685,222.51043333183685,0.0,40.35195236551337,348.48419983399674,1154.803282352668,True,20.0,1.0,3.5512439369192554,3.5512439369192554,5.0,3.0,60.0,-212.30769230769164,1395.2384812299783,0.4248080238617232,XRPUSDT,60
XRPUSDT_Idea5_spot_lead_60m,32,1058.1768079264048,100.0,1038.1768079264048,32.0,1113.3751112728485,1093.3751112728485,-55.19830334644371,4.0,684.4505878258194,664.4505878258194,8.0,4.0,1381.1073161985587,1361.1073161985587,0.0,73.45477469534941,611.1054485419777,1546.1950489632825,True,32.0,1.0,4.1958928318128565,4.1958928318128565,1.0,1.0,100.0,1038.1768079264048,1038.1768079264048,,XRPUSDT,60
XRPUSDT_Idea3_high_IFR_60m,35,353.50888659690384,57.14285714285714,333.50888659690384,35.0,309.8120488254101,289.8120488254101,43.69683777149373,12.0,326.3025631231986,306.3025631231986,2.9166666666666665,12.0,228.49102778365068,208.49102778365068,0.0,24.26324625674886,83.14383739015257,639.7196541972024,True,35.0,1.0,2.3699583684201997,2.3699583684201997,3.0,1.0,33.33333333333333,-148.94681815013743,1607.3140779908053,0.4805171176009312,XRPUSDT,60
XRPUSDT_Idea4_BTC_pump_240m,20,1036.5362917322557,90.0,1016.5362917322557,20.0,925.8903766447722,905.8903766447722,110.64591508748344,10.0,445.9223911368358,425.9223911368358,2.0,10.0,337.38645848312154,317.38645848312154,0.0,27.45473988463681,528.7449057167935,1543.6041639206335,True,20.0,1.0,3.8313133609851446,3.8313133609851446,5.0,3.0,60.0,-499.9999999999993,1911.828161127188,0.37440871221603506,XRPUSDT,240
XRPUSDT_Idea5_spot_lead_240m,32,1336.4541818442467,100.0,1316.4541818442467,32.0,1404.7490123573948,1384.7490123573948,-68.2948305131481,4.0,884.8522367199506,864.8522367199506,8.0,4.0,1614.372400243467,1594.372400243467,0.0,47.23248820220906,831.0447423169123,1870.4639142309454,True,32.0,1.0,4.791650170218048,4.791650170218048,1.0,1.0,100.0,1316.4541818442467,1316.4541818442467,,XRPUSDT,240
XRPUSDT_Idea3_high_IFR_240m,35,575.0006403185416,77.14285714285715,555.0006403185416,35.0,535.3545656747234,515.3545656747234,39.646074643818224,12.0,500.55442421315837,480.55442421315837,2.9166666666666665,12.0,406.0891214530778,386.0891214530778,0.0,21.90780071729117,227.81125482950415,912.1410171763582,True,35.0,1.0,3.1662410741640805,3.1662410741640805,3.0,2.0,66.66666666666666,-86.91294347250354,2091.1198590834088,0.5838265075662111,XRPUSDT,240
