period,signal,horizon_m,n_signals,mean_ret,win_rate,net_fees,sharpe,symbol
full,BTC_pump,30,19,923.5046880605853,73.68421052631578,903.5046880605853,0.7554552937600653,0GUSDT
full,Coiled_spring,30,6745,-1.9549163850578812,46.908821349147516,-21.95491638505788,-0.011940390390495052,0GUSDT
full,High_IFR,30,44,-61.10579003668053,40.909090909090914,-81.10579003668053,-0.2570993212120266,0GUSDT
full,BTC_pump,60,19,761.8504346783766,84.21052631578947,741.8504346783766,0.7468934720288625,0GUSDT
full,Coiled_spring,60,6745,-0.07378484540777376,45.574499629355074,-20.073784845407772,-0.00027544141341892043,0GUSDT
full,High_IFR,60,44,-59.093602425448445,38.63636363636363,-79.09360242544844,-0.1533686093705304,0GUSDT
full,BTC_pump,240,19,737.3538261821748,57.89473684210527,717.3538261821748,0.6742365663523711,0GUSDT
full,Coiled_spring,240,6745,-32.71060340870181,44.41808747220163,-52.71060340870181,-0.06881542847854306,0GUSDT
full,High_IFR,240,44,-114.71869176673702,31.818181818181817,-134.71869176673704,-0.20846477463865637,0GUSDT
full,BTC_pump,30,20,1341.1887118743616,70.0,1321.1887118743616,0.5899125987112878,1000BONKUSDT
full,Coiled_spring,30,5186,1.85416707807725,52.4103355187042,-18.14583292192275,0.018920058691683953,1000BONKUSDT
full,High_IFR,30,26,284.62469391420893,46.15384615384615,264.62469391420893,0.1844581444944466,1000BONKUSDT
full,BTC_pump,60,20,1563.0475445127367,65.0,1543.0475445127367,0.7057725454715513,1000BONKUSDT
full,Coiled_spring,60,5186,14.305303639702732,54.897801774006936,-5.694696360297268,0.11018703530274036,1000BONKUSDT
full,High_IFR,60,26,253.5710686942736,38.46153846153847,233.5710686942736,0.1668707255973906,1000BONKUSDT
full,BTC_pump,240,20,2550.9750001444672,65.0,2530.9750001444672,0.7296603719154066,1000BONKUSDT
full,Coiled_spring,240,5186,-27.392316919206937,46.10489780177401,-47.392316919206934,-0.1262452432987786,1000BONKUSDT
full,High_IFR,240,26,293.0766595481017,38.46153846153847,273.0766595481017,0.1356262811952642,1000BONKUSDT
