pair,signal,direction,horizon_m,n_signals,mean_ret,median_ret,win_rate,net_fees,avg_corr
DOGEUSDT/1000PEPEUSDT,spread_z1.5_lb60,short_DOGE,15,54442,1.2065298760830427,1.5331315805078294,53.08034238271922,-38.793470123916954,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z1.5_lb60,long_DOGE,15,51957,1.226746684074438,1.7025648579749308,53.48461227553554,-38.773253315925565,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z1.5_lb60,short_DOGE,30,54442,2.0376382219892384,1.930689732149716,52.90217111788692,-37.96236177801076,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z1.5_lb60,long_DOGE,30,51957,2.43567900481612,3.2171031686512066,54.45464518736648,-37.56432099518388,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z1.5_lb60,short_DOGE,60,54442,2.8096340577485335,2.198275590122865,52.33826824877852,-37.19036594225147,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z1.5_lb60,long_DOGE,60,51938,3.1342715329976296,4.9275542147086995,54.70753590819824,-36.86572846700237,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z1.5_lb60,short_DOGE,240,54413,3.8278252020379813,2.7684912530756556,51.43439986767868,-36.17217479796202,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z1.5_lb60,long_DOGE,240,51927,6.7954864555267696,12.555190540555202,56.97806536098754,-33.20451354447323,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.0_lb60,short_DOGE,15,23103,1.9536987181252579,2.098249685154041,54.22672380210363,-38.04630128187474,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.0_lb60,long_DOGE,15,23071,2.150761981005149,1.8948797763029823,53.89883403406874,-37.84923801899485,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.0_lb60,short_DOGE,30,23103,3.505556512832019,2.6303835850938206,53.91074752196684,-36.494443487167985,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.0_lb60,long_DOGE,30,23071,3.752030050029133,3.4465655223669955,54.73971652724199,-36.247969949970866,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.0_lb60,short_DOGE,60,23103,5.0234500419986405,3.8322597156326133,53.92806129074146,-34.97654995800136,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.0_lb60,long_DOGE,60,23062,4.0805525087597365,5.490947411856958,55.2423900789177,-35.91944749124026,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.0_lb60,short_DOGE,240,23086,5.601396388517169,4.179280601086521,52.295763666291265,-34.398603611482834,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.0_lb60,long_DOGE,240,23059,7.564528966912229,13.521006407728464,57.31384708790493,-32.43547103308777,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.5_lb60,short_DOGE,15,7917,2.989277933018089,2.985691437067395,55.37451054692434,-37.01072206698191,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.5_lb60,long_DOGE,15,8213,2.848670731551088,1.7996735574721257,53.33008644831365,-37.15132926844891,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.5_lb60,short_DOGE,30,7917,5.223853356987793,3.449310900107694,54.768220285461666,-34.776146643012204,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.5_lb60,long_DOGE,30,8213,4.853056611972913,3.8156441624548343,54.632899062461945,-35.14694338802709,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.5_lb60,short_DOGE,60,7917,8.153912083399158,6.256293150228576,56.24605279777693,-31.846087916600844,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.5_lb60,long_DOGE,60,8207,6.198721713696088,6.654570349340361,56.683319117826244,-33.80127828630391,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.5_lb60,short_DOGE,240,7912,9.25505035631596,6.991805115978403,53.8675429726997,-30.744949643684038,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z2.5_lb60,long_DOGE,240,8207,10.28302816009345,14.9401641877933,58.0236383574997,-29.71697183990655,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z3.0_lb60,short_DOGE,15,2362,3.5246349063498363,3.759161496545982,56.68924640135479,-36.47536509365016,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z3.0_lb60,long_DOGE,15,2580,4.660139429371276,2.5609767355511135,54.14728682170543,-35.33986057062872,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z3.0_lb60,short_DOGE,30,2362,6.915897974197483,4.093215631553743,55.58848433530906,-33.084102025802515,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z3.0_lb60,long_DOGE,30,2580,7.944624427421602,5.776656722095153,56.97674418604651,-32.0553755725784,0.8229418716630373
DOGEUSDT/1000PEPEUSDT,spread_z3.0_lb60,short_DOGE,60,2362,10.822926928616258,6.8590920957534145,57.19729043183742,-29.17707307138374,0.8229418716630373
