variant,leader_dir,fwd_horizon_m,n_followers,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
BTC_3m>30bps,up,5,145,526141,5.220197817413168,-2.3301019586637577,46.78308127958853,0.04261334244497275,-14.779802182586831
BTC_5m>30bps,up,10,145,983713,5.164760642443172,-1.762998259021854,47.84651826629982,0.041199440252258974,-14.83523935755683
SOL_3m>100bps_lag,down,15,75,3266,5.1209642499164545,-2.4051735519564565,47.706734318080144,-0.003870537269625086,-14.879035750083546
BTC_5m>30bps_lag,up,15,145,65791,5.11416959241407,2.7560829753594067,51.17223794167428,0.059230424684776614,-14.88583040758593
ETH_1m>75bps,up,1,145,24632,5.095217749376963,-1.5064695557178516,47.076813650361245,0.02501514998858094,-14.904782250623038
ETH_3m>50bps_lag,up,10,145,33101,5.078385578742991,1.2265517680817641,50.48928642094083,0.05392575647014466,-14.92161442125701
BTC_3m>30bps_lag,up,10,145,33927,5.057254160187309,-1.7448152387846696,48.212094890030755,0.055970947706999334,-14.942745839812691
BTC_5m>30bps_lag,up,10,145,65793,5.057139770339682,1.8924112485024447,50.6189566644699,0.06393743362370548,-14.942860229660317
ETH_3m>75bps,up,1,145,133737,4.988287652268011,-0.16998695283292878,48.07309318020816,0.055750091604712504,-15.011712347731986
BTC_1m>50bps_lag,up,1,26,661,4.910552832395406,4.3865795294583165,52.9978579342636,0.14315457855428532,-15.089447167604593
SOL_1m>30bps_lag,up,5,145,56919,4.826990958234027,1.0113392641746766,50.0322400258711,0.07263313189816101,-15.173009041765974
SOL_3m>50bps,up,3,145,544772,4.807700843753588,-0.32556967830214883,48.23781223299139,0.05180420180589665,-15.192299156246413
BTC_5m>30bps,up,15,145,983682,4.801606207868026,-2.741936513482002,47.696505101304346,0.026209566480316214,-15.198393792131974
SOL_5m>50bps,up,15,145,1070993,4.80143800691157,-3.1301383583149476,47.40620844856129,0.027943709983495154,-15.19856199308843
ETH_5m>100bps,down,1,145,94428,4.782680022745303,-1.5550808618608316,46.38644435657713,0.02179119436245367,-15.217319977254697
SOL_5m>150bps_lag,up,3,92,2854,4.750350885037808,-3.4423559759139315,43.40003184809438,0.029420120159618687,-15.249649114962192
BTC_3m>50bps,down,1,145,108983,4.712286292509422,-0.3185163673875787,47.751326578888744,0.027232654442455703,-15.287713707490578
SOL_1m>30bps_lag,up,3,145,56919,4.693194773637097,2.11299327012189,51.686104124598394,0.09204914570043662,-15.306805226362902
BTC_3m>50bps,down,10,145,108983,4.693106732425585,-8.891653277587752,45.2248356501412,0.010383803239848244,-15.306893267574416
ETH_1m>30bps,up,5,145,377228,4.663735700019131,-1.2437420745791588,47.96256562582788,0.03234759577696422,-15.33626429998087
ETH_1m>100bps_lag,up,5,15,278,4.660733375441865,-7.566229627176457,49.477831692117405,-0.007751845526620935,-15.339266624558134
SOL_3m>30bps,up,15,145,1966304,4.644713089266069,-1.845911899297503,47.95627428453466,0.03266100119651019,-15.355286910733932
BTC_5m>150bps_lag,up,1,6,126,4.643955164106452,0.02714949516267436,48.17099567099567,0.1637670420843489,-15.356044835893547
ETH_3m>75bps_lag,up,1,133,10026,4.582839765171528,2.722728013119699,52.22342756735415,0.1263599057257525,-15.417160234828474
SOL_5m>50bps,up,10,145,1070999,4.514587859920495,-2.1050365407512834,47.490002027893844,0.03780396380584922,-15.485412140079506
SOL_3m>50bps_lag,up,5,145,55489,4.476130061668602,0.10095114981260532,49.115200531330906,0.07336498283824813,-15.5238699383314
BTC_5m>50bps,up,3,145,265618,4.467910232669589,-1.7111419030816788,47.19527386739368,0.04456804277897032,-15.532089767330412
ETH_1m>50bps_lag,up,1,135,7435,4.4533573783287475,0.3194622614217493,48.10432356413376,0.08752584530688495,-15.546642621671253
ETH_3m>75bps,down,1,145,108569,4.447245046483077,-1.803046144123682,45.8260822402704,0.021475090909088064,-15.552754953516922
SOL_3m>75bps,down,1,145,127487,4.42803028609011,-2.0036851568674794,45.409029512653184,0.027279521581553553,-15.571969713909889
ETH_1m>30bps,up,3,145,377228,4.416319956877998,-0.01566076805827953,48.80738004749536,0.03764564303559278,-15.583680043122001
SOL_5m>75bps,up,3,145,362685,4.357728577165855,-1.4343462944348022,47.11844692439682,0.04847862765940102,-15.642271422834146
ETH_3m>30bps_lag,up,30,145,126504,4.3338722512275485,-1.0835911427495426,48.953407583792284,0.0331971493564892,-15.666127748772453
ETH_3m>50bps,up,3,145,420298,4.320635678172967,-1.378349429305232,47.16708039196766,0.0392803967932601,-15.679364321827032
ETH_3m>50bps_lag,up,5,145,33101,4.29246480277321,0.7606500085148045,49.84131520806652,0.06343565059781857,-15.70753519722679
ETH_1m>30bps_lag,up,10,145,33960,4.227183862249089,1.413731269682185,50.633833131719925,0.03909564350384485,-15.772816137750912
BTC_1m>50bps_lag,down,1,23,472,4.224988143564611,0.13974838749295793,51.18281817633073,0.09415689387194659,-15.775011856435388
BTC_1m>75bps_lag,up,15,2,49,4.222565360803017,-0.3724532810570058,47.240802675585286,-0.037699589000646766,-15.777434639196981
