date,signal,n_trades,mean_ret,net_ret,win_rate
2024-01-02,idea3_ifr,16,-187.93661201153787,-207.93661201153787,18.75
2024-02-20,idea3_ifr,2,-293.0448965473259,-313.0448965473259,0.0
2024-02-25,idea3_ifr,1,-51.24839948783655,-71.24839948783655,0.0
2024-02-27,idea3_ifr,17,-2.1888249261820314,-22.188824926182033,47.05882352941176
2024-02-28,idea3_ifr,30,44.66012875099208,24.66012875099208,53.333333333333336
2024-02-29,idea3_ifr,64,118.46643324470367,98.46643324470367,60.9375
2024-03-04,idea3_ifr,51,164.34239504229905,144.34239504229905,64.70588235294117
2024-03-05,idea3_ifr,97,-264.8888161758645,-284.8888161758645,40.20618556701031
2024-03-06,idea3_ifr,16,3.413190933091574,-16.586809066908426,43.75
2024-03-08,idea3_ifr,28,-23.81829267419457,-43.818292674194566,39.285714285714285
2024-03-11,idea3_ifr,39,-14.215895731913557,-34.215895731913555,41.02564102564102
2024-03-12,idea3_ifr,26,-106.27245482867082,-126.27245482867082,30.76923076923077
2024-03-14,idea3_ifr,40,7.071293661738588,-12.928706338261412,45.0
2024-03-16,idea3_ifr,1,25.787256539615555,5.787256539615555,100.0
2024-03-25,idea3_ifr,1,-16.317163840283698,-36.3171638402837,0.0
2024-03-30,idea3_ifr,9,-32.06444946325369,-52.06444946325369,55.55555555555556
2024-04-08,idea3_ifr,2,92.18643649780701,72.18643649780701,50.0
2024-04-12,idea3_ifr,1,75.05419188312158,55.054191883121575,100.0
2024-05-20,idea3_ifr,4,514.0181842928404,494.0181842928404,100.0
2024-05-21,idea3_ifr,2,-254.97431785013956,-274.9743178501395,0.0
2024-05-23,idea3_ifr,2,28.309942345270954,8.309942345270954,50.0
2024-08-05,idea3_ifr,1,127.57439615675548,107.57439615675548,100.0
2024-11-11,idea3_ifr,13,333.8417047547296,313.8417047547296,76.92307692307693
2024-12-05,idea3_ifr,35,32.999735338862116,12.999735338862116,57.14285714285714
2025-03-02,idea3_ifr,24,406.4953107763428,386.4953107763428,66.66666666666666
2025-05-09,idea3_ifr,3,117.45754643966247,97.45754643966247,66.66666666666666
2025-05-18,idea3_ifr,1,563.3856727285091,543.3856727285091,100.0
2025-10-10,idea3_ifr,28,2435.211434088064,2415.211434088064,75.0
2026-01-14,idea3_ifr,1,74.38971762085744,54.38971762085744,100.0
2026-02-03,idea3_ifr,2,-265.38633519337276,-285.38633519337276,0.0
2026-02-07,idea3_ifr,2,-13.856906864556652,-33.85690686455665,50.0
2026-02-25,idea3_ifr,3,317.64212349833696,297.64212349833696,100.0
2024-01-04,idea6_coiled,8,16.838816626867093,-3.161183373132907,75.0
2024-01-11,idea6_coiled,18,76.29173733106231,56.29173733106231,61.111111111111114
2024-01-12,idea6_coiled,20,5.03943764928827,-14.96056235071173,55.00000000000001
2024-01-15,idea6_coiled,1,88.27037773359692,68.27037773359692,100.0
2024-01-16,idea6_coiled,10,-11.427077001131883,-31.427077001131885,40.0
2024-01-25,idea6_coiled,5,-17.48627024961458,-37.48627024961458,20.0
2024-02-13,idea6_coiled,8,-35.690215376973086,-55.690215376973086,37.5
2024-02-23,idea6_coiled,5,49.834054525947465,29.834054525947465,60.0
2024-02-24,idea6_coiled,26,11.24442564970399,-8.75557435029601,50.0
2024-03-01,idea6_coiled,21,-15.86631050900849,-35.86631050900849,42.857142857142854
2024-03-05,idea6_coiled,5,-163.20440160772563,-183.20440160772563,20.0
2024-03-08,idea6_coiled,9,67.34592885516577,47.345928855165766,66.66666666666666
2024-03-20,idea6_coiled,15,63.89141068378077,43.89141068378077,60.0
2024-03-21,idea6_coiled,10,12.044404709273591,-7.955595290726409,40.0
2024-03-23,idea6_coiled,7,9.640356199017557,-10.359643800982443,57.14285714285714
2024-03-28,idea6_coiled,6,232.77945576984757,212.77945576984757,66.66666666666666
2024-04-04,idea6_coiled,12,16.195527391214366,-3.804472608785634,66.66666666666666
2024-04-18,idea6_coiled,15,-52.182503989826095,-72.1825039898261,53.333333333333336
2024-04-21,idea6_coiled,5,-24.598449210440076,-44.59844921044008,40.0
2024-04-28,idea6_coiled,1,157.07723809699647,137.07723809699647,100.0
2024-05-02,idea6_coiled,14,36.02237884348397,16.02237884348397,64.28571428571429
2024-05-06,idea6_coiled,5,19.15104263143652,-0.8489573685634788,60.0
2024-05-23,idea6_coiled,12,3.9408985758717243,-16.059101424128276,58.333333333333336
2024-07-09,idea6_coiled,16,-25.976370165475757,-45.97637016547576,31.25
2024-07-17,idea6_coiled,4,-20.072276744184936,-40.07227674418493,50.0
2024-07-24,idea6_coiled,12,-26.186423285944798,-46.1864232859448,50.0
2024-07-26,idea6_coiled,40,1.5387243207130865,-18.461275679286913,50.0
2024-08-06,idea6_coiled,21,-22.47848677466778,-42.47848677466778,47.61904761904761
2024-08-07,idea6_coiled,20,46.33043834241618,26.33043834241618,60.0
2024-08-08,idea6_coiled,7,50.510921968962876,30.510921968962876,71.42857142857143
2024-08-13,idea6_coiled,12,1.279844307811589,-18.72015569218841,50.0
2024-08-16,idea6_coiled,10,5.268243494927274,-14.731756505072726,50.0
2024-08-20,idea6_coiled,13,94.95884657514078,74.95884657514078,76.92307692307693
2024-08-23,idea6_coiled,2,107.21750172638988,87.21750172638988,100.0
2024-09-02,idea6_coiled,11,-49.29812488190678,-69.29812488190677,27.27272727272727
2024-09-18,idea6_coiled,6,20.407653306368513,0.4076533063685126,66.66666666666666
2024-09-24,idea6_coiled,17,-18.353548589995754,-38.353548589995754,41.17647058823529
2024-10-18,idea6_coiled,7,-17.69670039075276,-37.69670039075276,42.857142857142854
2024-10-29,idea6_coiled,10,-7.399512502243579,-27.399512502243578,40.0
2024-11-06,idea6_coiled,13,21.926333647855305,1.926333647855305,46.15384615384615
2024-11-07,idea6_coiled,13,-19.9821777732955,-39.982177773295504,38.46153846153847
2024-11-08,idea6_coiled,4,-136.6445745756714,-156.6445745756714,0.0
2024-11-11,idea6_coiled,6,34.570513297852806,14.570513297852806,66.66666666666666
2024-11-27,idea6_coiled,10,94.28089166271891,74.28089166271891,80.0
2024-12-04,idea6_coiled,8,3.769897710075714,-16.230102289924286,50.0
2024-12-05,idea6_coiled,14,-59.222337528292094,-79.22233752829209,28.57142857142857
2024-12-06,idea6_coiled,14,22.083085624514897,2.083085624514897,64.28571428571429
2024-12-13,idea6_coiled,4,22.06823809066921,2.0682380906692117,50.0
2025-02-03,idea6_coiled,37,17.121344877477366,-2.878655122522634,56.75675675675676
2025-02-07,idea6_coiled,31,-27.163387808555953,-47.16338780855595,38.70967741935484
2025-02-22,idea6_coiled,21,37.6772371910322,17.677237191032198,57.14285714285714
2025-03-01,idea6_coiled,72,19.11066182161763,-0.8893381783823706,59.72222222222222
2025-03-04,idea6_coiled,23,77.40521583735959,57.40521583735959,56.52173913043478
2025-03-05,idea6_coiled,46,59.181256569246365,39.181256569246365,60.86956521739131
2025-03-06,idea6_coiled,39,6.759576885747635,-13.240423114252366,48.717948717948715
2025-03-14,idea6_coiled,43,-27.76606075009229,-47.766060750092294,51.162790697674424
2025-03-19,idea6_coiled,44,-58.88373590531605,-78.88373590531606,31.818181818181817
2025-04-08,idea6_coiled,103,0.9055734369371076,-19.094426563062893,47.57281553398058
2025-04-11,idea6_coiled,22,31.04520125435515,11.045201254355149,63.63636363636363
2025-04-15,idea6_coiled,76,2.0230728624373016,-17.976927137562697,55.26315789473685
2025-04-16,idea6_coiled,23,-58.60241118765581,-78.6024111876558,17.391304347826086
2025-04-17,idea6_coiled,45,5.808449845793985,-14.191550154206016,51.11111111111111
2025-04-18,idea6_coiled,39,19.218013431289034,-0.7819865687109662,56.41025641025641
2025-04-21,idea6_coiled,19,-16.22703421939136,-36.227034219391356,52.63157894736842
2025-04-25,idea6_coiled,21,-22.594271068551798,-42.5942710685518,38.095238095238095
2025-04-26,idea6_coiled,52,5.450538943796088,-14.549461056203912,48.07692307692308
2025-05-07,idea6_coiled,59,14.440465185082287,-5.559534814917713,52.54237288135594
2025-05-09,idea6_coiled,19,50.0207268146261,30.0207268146261,52.63157894736842
2025-05-10,idea6_coiled,15,-25.255209153446593,-45.25520915344659,66.66666666666666
2025-05-11,idea6_coiled,71,-33.579584229123974,-53.579584229123974,36.61971830985916
2025-05-12,idea6_coiled,11,-106.63567933260839,-126.63567933260839,27.27272727272727
2025-05-16,idea6_coiled,72,-6.652610307173055,-26.652610307173056,48.61111111111111
2025-05-19,idea6_coiled,48,-6.6394763213048265,-26.639476321304826,50.0
2025-05-20,idea6_coiled,40,17.836250778151037,-2.1637492218489633,62.5
2025-05-21,idea6_coiled,34,-11.318873573677251,-31.31887357367725,44.11764705882353
2025-05-22,idea6_coiled,50,-13.690199114629788,-33.69019911462979,46.0
2025-05-24,idea6_coiled,100,-6.477224236515586,-26.477224236515585,45.0
2025-05-30,idea6_coiled,11,136.1083333323845,116.10833333238449,72.72727272727273
2025-06-05,idea6_coiled,20,-16.091030086844096,-36.0910300868441,45.0
2025-06-07,idea6_coiled,33,3.220447902195741,-16.77955209780426,42.42424242424242
2025-06-10,idea6_coiled,5,69.68948828305298,49.68948828305298,60.0
2025-06-23,idea6_coiled,41,-57.82400389444515,-77.82400389444516,34.146341463414636
2025-06-24,idea6_coiled,12,-33.99855450373727,-53.99855450373727,41.66666666666667
2025-06-26,idea6_coiled,46,30.337408158308513,10.337408158308513,58.69565217391305
2025-06-27,idea6_coiled,16,-49.29971243848981,-69.29971243848982,31.25
2025-07-09,idea6_coiled,11,-19.900579976078948,-39.900579976078944,36.36363636363637
2025-07-10,idea6_coiled,13,63.65521428384338,43.65521428384338,69.23076923076923
2025-07-11,idea6_coiled,5,-16.93054140629058,-36.93054140629058,40.0
2025-07-16,idea6_coiled,109,8.205591234209468,-11.794408765790532,53.21100917431193
2025-07-18,idea6_coiled,35,-63.148366509081136,-83.14836650908114,37.142857142857146
2025-07-19,idea6_coiled,52,-9.168457740683793,-29.16845774068379,53.84615384615385
2025-07-20,idea6_coiled,32,63.57936773039485,43.57936773039485,75.0
2025-07-21,idea6_coiled,63,-12.65043857485232,-32.650438574852316,49.2063492063492
2025-07-22,idea6_coiled,57,-20.809600160958812,-40.80960016095881,43.859649122807014
2025-07-25,idea6_coiled,64,39.393883863377724,19.393883863377724,64.0625
2025-07-26,idea6_coiled,45,-10.267140293539574,-30.267140293539576,48.888888888888886
