symbol,signal,direction,horizon_m,n_signals,mean_ret,median_ret,win_rate,net_fees
AAVEUSDT,basis_z2.0_lb60,short,5,11961,-0.01084745477407275,0.0,49.97073823258925,-20.010847454774073
AAVEUSDT,basis_z2.0_lb60,long,5,11723,1.1473746431404694,0.0,49.05740851317922,-18.85262535685953
AAVEUSDT,basis_z2.0_lb60,short,15,11961,0.4421133961101325,0.7811279487590639,50.689741660396294,-19.557886603889866
AAVEUSDT,basis_z2.0_lb60,long,15,11723,1.7679718637514827,0.0,49.54363217606414,-18.232028136248516
AAVEUSDT,basis_z2.0_lb60,short,30,11961,0.726614269181097,1.557450453606446,51.12448791907032,-19.2733857308189
AAVEUSDT,basis_z2.0_lb60,long,30,11723,1.5314181451119442,-0.6438735432356957,49.19389234837499,-18.468581854888058
AAVEUSDT,basis_z2.0_lb60,short,60,11958,0.9483906242402248,1.096222438626282,50.49339354407092,-19.051609375759774
AAVEUSDT,basis_z2.0_lb60,long,60,11722,2.2335693735076103,-1.111627252894376,49.129841324006144,-17.76643062649239
AAVEUSDT,basis_z2.0_lb60,short,240,11956,-0.056496011686426345,3.183613754931258,51.03713616594179,-20.056496011686427
AAVEUSDT,basis_z2.0_lb60,long,240,11717,-1.0353709598594998,0.0,49.95305965690876,-21.0353709598595
AAVEUSDT,basis_z2.5_lb60,short,5,5890,0.3251317686835635,0.5664575763336677,50.44142614601018,-19.674868231316438
AAVEUSDT,basis_z2.5_lb60,long,5,5582,2.225441164484498,-0.5764891362608493,48.28018631314941,-17.774558835515503
AAVEUSDT,basis_z2.5_lb60,short,15,5890,-0.38157427465301985,0.8078598462391007,50.78098471986417,-20.38157427465302
AAVEUSDT,basis_z2.5_lb60,long,15,5582,2.7479176657754927,-1.1280960187681766,48.548907201719814,-17.252082334224507
AAVEUSDT,basis_z2.5_lb60,short,30,5890,-0.4245753482188878,1.1349502073759732,50.69609507640068,-20.424575348218887
AAVEUSDT,basis_z2.5_lb60,long,30,5582,3.5672593388115055,-1.698545943129015,48.26227158724471,-16.432740661188493
AAVEUSDT,basis_z2.5_lb60,short,60,5889,0.48226506511109724,1.206563706562802,50.483953132959755,-19.517734934888903
AAVEUSDT,basis_z2.5_lb60,long,60,5581,3.429509626295024,-2.746174970575943,47.96631428059487,-16.570490373704978
AAVEUSDT,basis_z2.5_lb60,short,240,5888,0.15918583177094703,3.0685866981022825,50.93410326086957,-19.840814168229052
AAVEUSDT,basis_z2.5_lb60,long,240,5577,1.3581208655438026,0.0,49.919311457773,-18.641879134456197
AAVEUSDT,basis_z3.0_lb60,short,5,2813,-1.6955525597570311,0.6196938712266231,50.65766086029151,-21.695552559757033
AAVEUSDT,basis_z3.0_lb60,long,5,2653,5.372379379386874,-0.3886211720816046,48.66189219751225,-14.627620620613126
AAVEUSDT,basis_z3.0_lb60,short,15,2813,-1.8007908933263073,1.2756729174645542,51.22644863135443,-21.800790893326308
AAVEUSDT,basis_z3.0_lb60,long,15,2653,4.844140556137534,-1.5112588786470038,47.90802864681493,-15.155859443862466
AAVEUSDT,basis_z3.0_lb60,short,30,2813,-1.860062106738727,1.8641066268987316,51.546391752577314,-21.860062106738727
AAVEUSDT,basis_z3.0_lb60,long,30,2653,8.222616958808475,-1.7828489926907665,48.20957406709386,-11.777383041191525
AAVEUSDT,basis_z3.0_lb60,short,60,2812,-2.0528358089526337,1.5023632691102407,50.71123755334281,-22.052835808952633
AAVEUSDT,basis_z3.0_lb60,long,60,2653,7.119502637535387,-3.6017157264012223,47.229551451187334,-12.880497362464613
AAVEUSDT,basis_z3.0_lb60,short,240,2811,-4.051728563396449,2.4699489543866804,50.622554251156174,-24.05172856339645
AAVEUSDT,basis_z3.0_lb60,long,240,2652,6.117852004790441,0.0,49.886877828054295,-13.882147995209559
AAVEUSDT,basis_z2.0_lb240,short,5,11799,0.14003815534116468,0.41461088768124377,50.31782354436817,-19.859961844658834
AAVEUSDT,basis_z2.0_lb240,long,5,11583,1.2633832792442505,0.0,49.089182422515755,-18.736616720755748
AAVEUSDT,basis_z2.0_lb240,short,15,11799,0.5170755099132862,0.6861063464835837,50.63988473599458,-19.482924490086713
AAVEUSDT,basis_z2.0_lb240,long,15,11583,1.8971712045652542,-0.3249601923760448,49.417249417249415,-18.102828795434746
AAVEUSDT,basis_z2.0_lb240,short,30,11799,0.9382231672396165,1.819174094961351,51.32638359182982,-19.061776832760383
AAVEUSDT,basis_z2.0_lb240,long,30,11583,1.2972930620110192,-0.6438735432356957,49.201415868082535,-18.70270693798898
AAVEUSDT,basis_z2.0_lb240,short,60,11798,1.433148779696806,1.7277872172166697,50.94931344295644,-18.566851220303192
AAVEUSDT,basis_z2.0_lb240,long,60,11583,1.417676989995507,-1.329433661261259,48.985582318915654,-18.582323010004494
AAVEUSDT,basis_z2.0_lb240,short,240,11795,0.8238735898653675,5.064145847401003,51.47944044086478,-19.176126410134632
AAVEUSDT,basis_z2.0_lb240,long,240,11575,-1.7159337673834199,0.3333333333332966,50.01295896328294,-21.71593376738342
AAVEUSDT,basis_z2.5_lb240,short,5,5926,-0.1589717224540719,0.5685426255758186,50.42186972662842,-20.158971722454073
AAVEUSDT,basis_z2.5_lb240,long,5,5765,2.1024903006921494,-0.4934129372868856,48.430182133564614,-17.89750969930785
AAVEUSDT,basis_z2.5_lb240,short,15,5926,-0.12577251054011737,0.8738585239731478,50.75936550793115,-20.125772510540116
AAVEUSDT,basis_z2.5_lb240,long,15,5765,2.262682628642712,-0.737272827808777,49.01994796183868,-17.73731737135729
AAVEUSDT,basis_z2.5_lb240,short,30,5926,-1.3058599261832105,1.5524110093845245,51.19811002362471,-21.30585992618321
AAVEUSDT,basis_z2.5_lb240,long,30,5765,2.6818843611464436,-1.063433827829252,48.98525585429315,-17.318115638853556
AAVEUSDT,basis_z2.5_lb240,short,60,5925,-0.32403311985763433,0.778725226803223,50.32911392405063,-20.324033119857635
AAVEUSDT,basis_z2.5_lb240,long,60,5765,2.7277343707039865,-1.3443570612359235,48.86383347788378,-17.272265629296015
AAVEUSDT,basis_z2.5_lb240,short,240,5923,-2.0515049222483857,5.084961227170837,51.392875232145876,-22.051504922248384
AAVEUSDT,basis_z2.5_lb240,long,240,5759,-1.2707210029088207,2.1855057260244948,50.68588296579267,-21.27072100290882
AAVEUSDT,basis_z3.0_lb240,short,5,3002,0.25188074984338443,0.5482880204660256,50.26648900732845,-19.748119250156616
AAVEUSDT,basis_z3.0_lb240,long,5,2974,4.479793650767582,-0.5226370697591909,48.52051109616678,-15.520206349232417
AAVEUSDT,basis_z3.0_lb240,short,15,3002,-1.5203936267610696,0.9645908219790833,50.99933377748168,-21.52039362676107
AAVEUSDT,basis_z3.0_lb240,long,15,2974,4.562958905521175,-1.1271627439118914,48.55413584398117,-15.437041094478825
AAVEUSDT,basis_z3.0_lb240,short,30,3002,-2.6434669113802407,1.5524110093845245,51.53231179213857,-22.64346691138024
AAVEUSDT,basis_z3.0_lb240,long,30,2974,7.110045818671371,-2.045318196823853,47.81439139206456,-12.88995418132863
AAVEUSDT,basis_z3.0_lb240,short,60,3001,0.6275310417278614,2.674154298704101,51.58280573142285,-19.372468958272137
AAVEUSDT,basis_z3.0_lb240,long,60,2974,7.631379069586551,-2.4122916465019184,48.35238735709482,-12.36862093041345
AAVEUSDT,basis_z3.0_lb240,short,240,3000,-1.9265819497321999,6.695185125875636,51.76666666666667,-21.9265819497322
