follower,direction,horizon_m,n_signals,raw_alt_ret,raw_btc_fwd,excess_ret,beta_adj_ret,alt_already_moved,raw_net_fees,excess_net_fees,beta_adj_net_fees,raw_wr,excess_wr,lag_1m,lag_2m,lag_3m,lag_5m
0GUSDT,up,1,19,33.4951306586422,0.08778243421825241,33.40734822442395,49.142464574426086,97.32273429165704,13.495130658642204,13.407348224423949,29.142464574426086,52.63157894736842,63.1578947368421,62.22225195958245,114.19677376768435,75.84395737954377,37.03982654765705
0GUSDT,up,3,19,212.44051380794374,-10.870658165935629,223.31117197387937,232.96667242944324,97.32273429165704,192.44051380794374,203.31117197387937,212.96667242944324,68.42105263157895,78.94736842105263,245.01482986356896,246.78283919027518,167.60531591390767,57.60072778031927
0GUSDT,up,5,19,345.67633761367836,26.30798144259115,319.36835617108716,366.5319876388237,97.32273429165704,325.67633761367836,299.36835617108716,346.5319876388237,63.1578947368421,68.42105263157895,339.58227996758643,237.6614606285698,189.2371187164335,204.56336634083934
0GUSDT,up,10,19,553.8884337008534,49.60638768231805,504.28204601853537,589.2717178955032,97.32273429165704,533.8884337008534,484.28204601853537,569.2717178955032,57.89473684210527,73.68421052631578,486.02659308572026,470.3706398659955,373.2380494479984,418.2615692814463
0GUSDT,up,15,19,786.9649018464728,96.83479799561651,690.1301038508561,819.9705434536748,97.32273429165704,766.9649018464728,670.1301038508561,799.9705434536748,73.68421052631578,84.21052631578947,754.156942559383,629.5137452448382,514.002761337043,435.72927840847643
0GUSDT,up,30,19,923.5046880605853,135.9579340677874,787.546753992798,961.9738546483037,97.32273429165704,903.5046880605853,767.546753992798,941.9738546483037,73.68421052631578,78.94736842105263,,,,
0GUSDT,down,1,13,144.07406204091063,-10.333839577431403,154.40790161834204,129.86809739118542,613.2813803908666,124.07406204091063,134.40790161834204,109.86809739118542,61.53846153846154,53.84615384615385,151.67763634351985,146.20842162235547,135.53540536498156,0.4908765243838458
0GUSDT,down,3,13,426.8977806899194,9.101580408708418,417.79620028121104,326.3865611800929,613.2813803908666,406.8977806899194,397.79620028121104,306.3865611800929,69.23076923076923,61.53846153846154,422.4716641229583,407.8318387706459,263.62508669445884,-9.326520949765381
0GUSDT,down,5,13,680.5477975629462,-5.044880141123004,685.592677704069,618.6416007950272,613.2813803908666,660.5477975629462,665.592677704069,598.6416007950272,61.53846153846154,69.23076923076923,545.4894268336553,431.0576463563429,248.30725746213042,-140.37850482339897
0GUSDT,down,10,13,548.7611630244207,-71.90438975592625,620.6655527803468,516.4525940807486,613.2813803908666,528.7611630244207,600.6655527803468,496.45259408074855,46.15384615384615,53.84615384615385,328.53737657473357,113.40914259594157,-109.81456497172016,-528.002964442312
0GUSDT,down,15,13,211.42403851851407,-187.51714040481508,398.9411789233292,271.33803313941183,613.2813803908666,191.42403851851407,378.9411789233292,251.33803313941183,46.15384615384615,53.84615384615385,10.152727283592837,-389.3686430214714,-579.0154883933064,-1017.7494882748301
0GUSDT,down,30,13,-615.3369762293207,-331.51961572223985,-283.81736050708093,-409.0798617512361,613.2813803908666,-635.3369762293207,-303.81736050708093,-429.0798617512361,15.384615384615385,38.46153846153847,,,,
1000BONKUSDT,up,1,20,102.15777671052095,-2.380852355945096,104.53862906646607,78.96161928922592,674.6291925086022,82.15777671052095,84.53862906646607,58.96161928922592,65.0,75.0,31.055160247239865,42.0958461831123,91.26282195606761,107.75219865927095
1000BONKUSDT,up,3,20,178.23400596279814,-13.225277502998017,191.45928346579618,179.65508866012073,674.6291925086022,158.23400596279814,171.45928346579618,159.65508866012073,55.00000000000001,70.0,167.9986865837046,199.7127376853826,268.55141859625314,322.5814282514124
