ts,btc_vol_7d,btc_vol_30d,btc_trend_7d,btc_trend_30d,btc_trend_90d,btc_vol_ratio,btc_vol_trend,alt_dispersion_7d,alt_dispersion_30d,btc_alt_corr,alt_alt_corr,alt_avg_mom_30d,avg_fr_bps,avg_oi_growth_7d,avg_premium_bps,xexch_spread_bps,taker_ratio,bn_oi_growth_7d
2024-01-07,,,,,,,,,,,,,2.4706790476190474,,4.52646917989418,,,
2024-01-08,68.04319544570271,,6.188016412157671,,,,,5.014357665483566,,,,,2.073915238095238,-14.45811821302291,3.214700472883598,,,
2024-01-09,70.23869746685413,,2.531729978439179,,,,,5.001820064822139,,,,,1.3359390476190476,-13.910517049645648,1.8629549900793652,,,
2024-01-10,55.436120223700826,,8.835624266710829,,,,,5.378072037882013,,,,,1.0,1.0450187872213035,1.4123631415343918,,,
2024-01-11,54.734634082612054,,4.962825236715918,,,,,5.23154503548313,,,,,1.0009533333333334,2.927976593536852,1.2754764484126984,,,
2024-01-12,82.05646846568408,,-3.0774422059569595,,,,,5.566964452860056,,,,,1.0009533333333334,4.79732481461072,1.5603019113756615,,,
2024-01-13,82.13182840398734,,-2.541139442013629,,,,,5.383846721646901,,,,,1.0009533333333334,5.5555555205761085,1.698977251984127,,,
2024-01-14,83.77835361727163,,-5.019095870830881,,,,,5.241168877466377,,,,,1.0009533333333334,4.666203887564671,1.9786952976190477,,,
2024-01-15,60.85158628878579,,-9.504862388446089,,,,,4.644754240237427,,,,,1.0009533333333334,5.1239628030692534,2.1281536871693123,,,
2024-01-16,63.92865230282225,,-6.50342525147416,,,,,4.497192988211588,,,,,1.0009533333333334,4.776362026522071,2.0824436574074077,,,
2024-01-17,61.61424514112406,,-8.310776491162652,,,,,3.0182539438642926,,,,,1.0009533333333334,6.429532985576917,1.8791739583333338,,,
2024-01-18,63.340590072861005,,-10.825132638728563,,,,,3.473582689323524,,,,,1.0,3.897830030597496,1.6676574206349208,,,
2024-01-19,38.49496984700248,,-2.6517656240142684,,,,,2.9724556511567264,,,,,1.0,1.2327106503039542,1.2821036441798943,,,
2024-01-20,38.44720442604058,,-2.714035701785089,,,,,3.4008524367418786,,,,,1.0,0.8200989536757577,1.0630272718253968,,,
2024-01-21,33.509876330760115,,-0.34842203637583946,,,,,3.344703720908397,,,,,1.0,2.010211299868506,0.7377367096560846,,,
2024-01-22,43.956566394459294,,-6.937030824713397,,,,,4.080541904462963,,,,,1.0,0.8266063801082106,0.4898740509259259,,,
2024-01-23,42.0983840191515,,-7.484679362179181,,,,,4.04501724246196,,,,,1.0,-1.5088219355713666,0.23386381944444443,,,
2024-01-24,43.54671573142212,,-6.320400354353806,,,,,4.039022033929458,,,,,1.0,-2.301616404233914,0.012531279761904697,,,
2024-01-25,38.19565523392563,,-3.330470233846672,,,,,3.719448111967371,,,,,1.0,-1.6782947161636224,-0.3345448974867725,,,
2024-01-26,53.0581744437049,,0.3420300986486824,,,,,3.9910746788686104,,,,,1.0,5.226995034566417,-0.7482875132275132,,,
2024-01-27,53.24079048028544,,0.9687733108829422,,,,,3.6204508841975924,,,,,1.0,4.11807460028015,-1.070178181216931,,,
2024-01-28,53.210925980328824,,1.0352141125774317,,,,,3.637688457349998,,,,,0.9686780952380953,1.164412634702483,-1.512731435185185,,,
2024-01-29,35.03834420565001,,9.421046378474829,,,,,2.521699550654813,,,,,0.9637819047619048,4.375312864339842,-1.8574634226190476,,,
2024-01-30,38.381307762636794,,7.566146450760769,,,,,2.5970528862485134,,,,,0.9620685714285715,9.36767820717479,-2.133316378968254,,,
2024-01-31,40.73004989064425,53.58305760114954,6.174444397314249,-3.804184422014001,,0.7601292593980388,-12.853007710505288,3.1284614280567444,4.134683753297715,0.7097448125309194,0.7157451385553044,-13.929201031874053,0.9517495238095239,3.9091613072565092,-2.4922569014550264,,,
2024-02-01,39.49114448221619,53.400273530210626,7.785453271261944,-4.2774900531241,,0.739530752775536,-13.909129047994433,3.2330739343260846,4.188878203274216,0.718118961155129,0.7126611484021562,-10.55423514906006,0.9273561904761906,2.7349639185649,-2.872058842592593,,,
2024-02-02,25.95241824869545,50.762605211205766,3.283300044252546,0.7142207366596764,,0.5112507157722964,-24.810186962510315,2.9484049390764673,3.997327372521768,0.6843267055082446,0.6821592095777841,-0.9373504323842822,0.9120019047619048,-0.13416871175697054,-2.981894464285714,,,
2024-02-03,26.625887035720325,49.661858709240605,2.128478375514886,-2.6372227745531163,,0.5361435864011678,-23.03597167352028,3.109047881416716,3.9521604641295704,0.6744073314218255,0.6723695351020329,-5.300818164583167,0.8849761904761905,0.35311621747690136,-3.1753576322751322,,,
2024-02-04,28.163506602536653,49.771198379771555,1.2935517575405564,-3.6171099355025826,,0.5658595235670096,-21.6076917772349,3.1331741346167528,3.893108078251585,0.685939525788953,0.6692383431203872,-2.847036580607967,0.9014228571428571,2.570404111067384,-3.213367923280423,,,
2024-02-05,15.589553136407764,49.77581517448802,-1.3713377473652089,-2.9104620170834483,,0.3131953355612345,-34.18626203808025,2.647078300693458,3.8446877151045986,0.6915152790721206,0.6637880699435477,1.7533644741246224,0.8828971428571429,2.5338128267771354,-3.3247986937830687,,,
2024-02-06,16.27868535466307,49.893339034119535,0.3842121205060778,-1.9398582490065097,,0.32626971194553445,-33.61465367945647,2.7303053053005177,3.8043456780002294,0.6969553579584342,0.6484283324908411,4.644728787586336,0.8791619047619047,1.0491542854617175,-3.3673876322751326,,,
2024-02-07,23.947728769341133,44.51139469097785,4.148502915208674,-5.6517814565024915,,0.538013444323621,-20.56366592163672,2.6009728665463716,3.6639511210373543,0.6708231348863747,0.6227937339763066,1.327294447274078,0.8716095238095238,5.518700987610586,-3.3717534093915345,,,
