symbol,signal,direction,horizon_m,n_signals,mean_ret_bps,median_ret_bps,win_rate,sharpe,net_fees_bps
0GUSDT,ifr_revert_z2.0_w60,short,5,1663,6.2510982321369815,3.2583903551641757,53.57787131689717,0.0928499820838013,-13.748901767863018
0GUSDT,ifr_revert_z2.0_w60,long,5,11362,5.0072025106005125,1.1296245764658153,50.58968491462771,0.05493136352749266,-14.992797489399488
0GUSDT,ifr_revert_z2.0_w60,short,15,1663,10.724578577605534,6.313928526330281,54.60012026458209,0.09863948594092979,-9.275421422394466
0GUSDT,ifr_revert_z2.0_w60,long,15,11362,9.340681469119145,0.9844480176823822,50.29924309100511,0.06085322777869691,-10.659318530880855
0GUSDT,ifr_revert_z2.0_w60,short,30,1663,16.17781275172567,12.390238646770024,55.44197233914612,0.10702225548056751,-3.8221872482743287
0GUSDT,ifr_revert_z2.0_w60,long,30,11362,13.070682327513754,0.0,49.7007569089949,0.058228818251216855,-6.9293176724862455
0GUSDT,ifr_revert_z2.0_w60,short,60,1663,30.16099305970249,21.522366915489588,56.70475045099218,0.15534241609497781,10.160993059702491
0GUSDT,ifr_revert_z2.0_w60,long,60,11362,24.230711516853965,-5.926467151219916,47.56204893504665,0.06272971588462674,4.230711516853965
0GUSDT,ifr_revert_z2.0_w60,short,240,1663,55.56055951478579,65.45454545454521,61.334936861094405,0.15192423351259715,35.56055951478579
0GUSDT,ifr_revert_z2.0_w60,long,240,11362,7.5936668547334305,-32.17887898231852,44.14715719063545,0.015410597013802018,-12.406333145266569
0GUSDT,ifr_revert_z2.5_w60,short,5,418,6.853770520384741,4.426357023156191,54.54545454545454,0.09889255359861666,-13.146229479615258
0GUSDT,ifr_revert_z2.5_w60,long,5,5799,6.007008481143163,1.1757789535571384,50.80186239006726,0.05671680960722131,-13.992991518856837
0GUSDT,ifr_revert_z2.5_w60,short,15,418,9.641239750106891,9.780533863094632,54.54545454545454,0.08521291311540294,-10.358760249893109
0GUSDT,ifr_revert_z2.5_w60,long,15,5799,11.248669161347255,1.688618709896339,50.922572857389206,0.06919776104845231,-8.751330838652745
0GUSDT,ifr_revert_z2.5_w60,short,30,418,19.52200426108848,17.39838871412658,59.09090909090909,0.13448696884756586,-0.47799573891152036
0GUSDT,ifr_revert_z2.5_w60,long,30,5799,16.81815027635408,-1.001502253381581,49.33609242972926,0.07294678864414135,-3.1818497236459216
0GUSDT,ifr_revert_z2.5_w60,short,60,418,34.91954812015717,23.238352252423766,58.133971291866025,0.18344135331554795,14.919548120157167
0GUSDT,ifr_revert_z2.5_w60,long,60,5799,32.76093681216382,-6.790595025888413,47.663390239696504,0.07523355073113254,12.76093681216382
0GUSDT,ifr_revert_z2.5_w60,short,240,418,58.30097369297815,81.39643578988608,63.1578947368421,0.1561411544215067,38.30097369297815
0GUSDT,ifr_revert_z2.5_w60,long,240,5799,20.150410588656776,-27.603974972395527,45.214692188308334,0.03826428204395061,0.1504105886567757
0GUSDT,ifr_revert_z3.0_w60,short,5,191,1.0371164586224515,3.2583903551641757,53.92670157068062,0.014072324176049774,-18.962883541377547
0GUSDT,ifr_revert_z3.0_w60,long,5,2975,6.0705593185231566,0.8892841262775342,50.18487394957983,0.04734670770406399,-13.929440681476844
0GUSDT,ifr_revert_z3.0_w60,short,15,191,-4.011666878156266,10.17869260348303,52.879581151832454,-0.03404140479633445,-24.011666878156266
0GUSDT,ifr_revert_z3.0_w60,long,15,2975,15.193765804927088,2.6315789473696505,51.39495798319328,0.08017133514298228,-4.806234195072912
0GUSDT,ifr_revert_z3.0_w60,short,30,191,8.096032863385599,6.243171531138403,53.92670157068062,0.05724085949767185,-11.903967136614401
0GUSDT,ifr_revert_z3.0_w60,long,30,2975,24.12049735124281,-1.026588645929305,49.411764705882355,0.09452458472993693,4.120497351242811
0GUSDT,ifr_revert_z3.0_w60,short,60,191,14.925776897090829,11.295788284654273,54.45026178010471,0.0836839874227935,-5.074223102909171
0GUSDT,ifr_revert_z3.0_w60,long,60,2975,39.96578071089197,-8.147745790331173,47.05882352941176,0.08826959039862935,19.96578071089197
0GUSDT,ifr_revert_z3.0_w60,short,240,191,42.148211829529274,65.70512820512798,58.63874345549738,0.11251437370646869,22.148211829529274
0GUSDT,ifr_revert_z3.0_w60,long,240,2975,29.84870912690128,-29.492525170343733,45.24369747899159,0.05284875377147795,9.84870912690128
0GUSDT,ifr_revert_z2.0_w240,short,5,920,3.57730337355906,3.7593241270750255,54.02173913043479,0.06402564328309363,-16.42269662644094
0GUSDT,ifr_revert_z2.0_w240,long,5,12272,7.91571898141797,1.6937673749939375,51.53194263363755,0.07581953308592036,-12.084281018582029
0GUSDT,ifr_revert_z2.0_w240,short,15,920,7.58032571222949,5.465862521632503,53.04347826086957,0.0841179910791272,-12.41967428777051
0GUSDT,ifr_revert_z2.0_w240,long,15,12272,18.529760305337046,1.6458893704718314,50.94524119947849,0.09183468301991894,-1.4702396946629541
0GUSDT,ifr_revert_z2.0_w240,short,30,920,13.423929264020321,7.315312482529257,53.91304347826087,0.10930517541293337,-6.576070735979679
0GUSDT,ifr_revert_z2.0_w240,long,30,12272,30.64568565727561,0.0,49.934810951760106,0.09133323936459274,10.64568565727561
0GUSDT,ifr_revert_z2.0_w240,short,60,920,20.43024830500178,12.306815605545584,54.347826086956516,0.12416864424156422,0.43024830500177913
0GUSDT,ifr_revert_z2.0_w240,long,60,12272,42.97209737837681,-4.784240674527429,48.0606258148631,0.08966625301022518,22.97209737837681
0GUSDT,ifr_revert_z2.0_w240,short,240,920,44.43429534877031,55.29674853767152,59.2391304347826,0.14939915724798372,24.434295348770313
0GUSDT,ifr_revert_z2.0_w240,long,240,12272,22.425397654813292,-31.067871967042638,45.1271186440678,0.041453042202510476,2.425397654813292
0GUSDT,ifr_revert_z2.5_w240,short,5,266,5.282547793312558,1.160056202778037,50.75187969924813,0.08105070599029866,-14.717452206687442
0GUSDT,ifr_revert_z2.5_w240,long,5,6728,12.606211219197952,2.34072970498711,52.06599286563615,0.09805658949140342,-7.393788780802048
0GUSDT,ifr_revert_z2.5_w240,short,15,266,19.258931753537514,12.783381252030047,59.02255639097744,0.20443034253203252,-0.7410682464624863
0GUSDT,ifr_revert_z2.5_w240,long,15,6728,28.84156800210731,3.27316439281522,51.99167657550535,0.11794182543458466,8.841568002107309
0GUSDT,ifr_revert_z2.5_w240,short,30,266,39.01979322989755,15.670947153461068,57.89473684210527,0.2891264804557053,19.01979322989755
0GUSDT,ifr_revert_z2.5_w240,long,30,6728,51.641290818028715,0.9508482715570032,50.10404280618312,0.12043218643494773,31.641290818028715
0GUSDT,ifr_revert_z2.5_w240,short,60,266,53.93338500187036,35.85519191573794,62.40601503759399,0.2896590835552475,33.93338500187036
0GUSDT,ifr_revert_z2.5_w240,long,60,6728,74.14535701321003,-4.529072524305788,48.30558858501783,0.12140322558085435,54.14535701321003
0GUSDT,ifr_revert_z2.5_w240,short,240,266,98.71154307481957,125.19953292118302,66.16541353383458,0.3279454525180105,78.71154307481957
0GUSDT,ifr_revert_z2.5_w240,long,240,6728,43.1862108744755,-38.02371731513598,44.812722948870395,0.06792325186059092,23.1862108744755
0GUSDT,ifr_revert_z3.0_w240,short,5,126,5.198060251382247,1.1841380024296688,51.587301587301596,0.11205443698424106,-14.801939748617752
0GUSDT,ifr_revert_z3.0_w240,long,5,3882,17.933097180397866,2.9049893685551,52.39567233384853,0.1155725363822819,-2.0669028196021344
