ts,btc_vol_30d,btc_trend_30d,btc_trend_7d,btc_vol_of_vol,btc_log_price,alt_dispersion,btc_alt_corr_30d,alt_avg_mom_30d,avg_basis_bps,avg_fr_bps
2024-01-01,,,,,10.69728291312025,,,,,
2024-01-02,,,,,10.7141732944266,,,,,
2024-01-03,,,,,10.665971878647241,,,,,
2024-01-04,,,,,10.69549089120883,,,,,
2024-01-05,,,,,10.695502214557235,,,,,
2024-01-06,,,,,10.691317443355278,,,,,
2024-01-07,,,,,10.690493860633083,,,,4.01137724749875,2.4752011904761906
2024-01-08,,,6.188016412157671,,10.757323989762915,,,,2.2864334028676367,2.0989166666666668
2024-01-09,,,2.531729978439179,,10.739175419878183,,,,1.9993435436360674,1.347104761904762
2024-01-10,,,8.835624266710829,,10.750640402409815,,,,1.9839492785521187,1.0
2024-01-11,,,4.962825236715918,,10.743926947324795,,,,1.828029120457859,1.0011916666666667
2024-01-12,,,-3.0774422059569595,,10.66424431494558,,,,2.2864931850392307,1.0011916666666667
2024-01-13,,,-2.541139442013629,,10.665577603332983,,,,3.152166676032892,1.0011916666666667
2024-01-14,,,-5.019095870830881,,10.638999536873841,,,,4.268213390667012,1.0011916666666667
2024-01-15,,,-9.504862388446089,,10.657449924988171,,,,4.379312235871196,1.0011916666666667
2024-01-16,,,-6.50342525147416,,10.671930035808098,,,,3.4736563616163556,1.0011916666666667
2024-01-17,,,-8.310776491162652,,10.663875069790649,,,,3.3627998447578142,1.0011916666666667
2024-01-18,,,-10.825132638728563,,10.62935600518242,,,,3.213545619291658,1.0
2024-01-19,,,-2.6517656240142684,,10.637368723744101,,,,2.5111640383560347,1.0
2024-01-20,,,-2.714035701785089,,10.63806214431465,,,,1.7896800885360988,1.0
2024-01-21,,,-0.34842203637583946,,10.635509232478128,,,,0.7080580028741489,1.0
2024-01-22,,,-6.937030824713397,,10.585556090939045,,,,0.6033963874794791,1.0
2024-01-23,,,-7.484679362179181,,10.594134109140478,,,,0.0012215492815683046,1.0
2024-01-24,,,-6.320400354353806,,10.598585329445465,,,,-0.7937692604036746,1.0
2024-01-25,,,-3.330470233846672,,10.595484071338678,,,,-1.7341109099133778,1.0
2024-01-26,,,0.3420300986486824,,10.640783188804466,,,,-2.057104830465966,1.0
2024-01-27,,,0.9687733108829422,,10.647703252223558,,,,-2.6637233456743608,1.0
2024-01-28,,,1.0352141125774317,,10.645808157145387,,,,-3.257805581181447,0.9832035714285714
2024-01-29,,,9.421046378474829,,10.675589156495349,,,,-3.960518343498119,0.9770833333333334
2024-01-30,,,7.566146450760769,,10.667069897311976,,,,-4.007019169993211,0.9770833333333334
2024-01-31,53.58305760114954,-3.804184422014001,6.174444397314249,,10.65849858674746,2.20574318211927,0.7097448125309194,-13.929201031874053,-4.626790950236057,0.9745392857142857
2024-02-01,53.400273530210626,-4.2774900531241,7.785453271261944,,10.670456592894988,2.261285288881998,0.7181189611551287,-10.55423514906006,-5.005495969389833,0.9494857142857143
2024-02-02,50.762605211205766,0.7142207366596764,3.283300044252546,,10.673088701247979,2.293257768609557,0.6843267055082448,-0.9373504323842822,-5.321147325089307,0.9335095238095238
