variant,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
LS>0.68_OI>2.5σ,long,240,23,1131,389.45930248731383,342.65669596178304,48.54371519899458,0.1797207992481652,369.45930248731383
LS>0.72_OI>1.5σ_extended,long,240,20,1020,351.05898088713354,287.95217393664836,56.82854581989918,0.25881786392793366,331.05898088713354
LS>0.72_OI>2.5σ,long,240,19,435,350.9865279848859,294.0020799289802,58.99540716918914,0.11263783447644693,330.9865279848859
LS>0.75_OI>1.5σ_extended,long,240,15,429,347.14250438110605,219.96150298990923,59.00509666293447,0.3908338076053019,327.14250438110605
LS>0.68_OI>2.5σ_extended,long,240,20,423,335.9415828669201,406.49770245506835,53.498439851914895,-0.3277843201863404,315.9415828669201
LS>0.75_OI>1.5σ,long,240,15,839,334.77379629220417,255.26664995044175,54.38109056904113,0.24090664521287472,314.77379629220417
LS>0.68_OI>3.0σ,long,240,20,487,313.9625021503671,238.44168044165608,59.35763465762234,0.5084671407405421,293.9625021503671
LS>0.75_OI>2.0σ,long,240,15,364,306.625585052444,337.81018096619977,60.677293421047516,0.3640313473471753,286.625585052444
LS>0.75_OI>2.0σ_extended,long,240,14,203,294.2332444812442,326.6147763448119,62.60412659555867,0.22877092791627535,274.2332444812442
LS>0.72_noOI_extended,long,240,23,10894,277.16497683654717,154.98844855630858,54.93450017408971,0.1872219251105302,257.16497683654717
LS>0.75_noOI,long,240,22,8651,262.0200104697931,134.27964477083387,62.43905741992387,0.5205908467596868,242.02001046979305
LS>0.68_OI>2.0σ_extended,long,240,23,1001,257.3058432376969,220.88089663184678,50.55848024888132,-0.02093473546987556,237.30584323769685
LS>0.68_OI>1.5σ_extended,long,240,29,2073,249.4539823136613,200.61714267186855,50.82850672957289,0.000936823154386495,229.4539823136613
LS>0.7_OI>2.0σ,long,240,23,1690,237.85042503136506,157.50527764855,49.25203241096409,0.03926415482093493,217.850425031365
LS>0.72_OI>1.5σ,long,240,21,2151,236.01126451403866,118.08246013999897,53.819446632695,0.13434027732557766,216.01126451403866
LS>0.7_OI>2.5σ,long,240,20,721,233.10122744479,120.39431688599738,52.85957125734939,-0.4542400745692839,213.10122744479
LS>0.65_OI>1.5σ_extended,long,240,35,3067,232.1472294929315,156.7868104470384,52.686043669728896,1.7743994513431236,212.1472294929315
LS>0.68_OI>2.0σ,long,240,25,2483,231.74967004131997,128.95435230759816,45.35480950944715,-0.4042812353669651,211.74967004131997
LS>0.7_OI>3.0σ,long,240,17,300,223.85777513257034,190.72554993002672,59.460848763337765,0.05356868539136927,203.85777513257034
LS>0.75_noOI_extended,long,240,21,4397,222.2617832394911,112.61109804376817,63.52907703422652,0.566136597228701,202.2617832394911
