date,signal,n_trades,mean_ret,net_ret,win_rate
2024-01-03,idea4,7,853.043237387668,833.043237387668,100.0
2024-01-09,idea4,7,21.16730355065258,1.16730355065258,57.14285714285714
2024-02-27,idea4,7,-39.25639931325252,-59.25639931325252,28.57142857142857
2024-02-28,idea4,14,-154.52741767309348,-174.52741767309348,42.857142857142854
2024-03-05,idea4,7,581.9610101597734,561.9610101597734,100.0
2024-04-13,idea4,7,865.6025781711296,845.6025781711296,100.0
2024-04-14,idea4,7,-19.04928635717483,-39.04928635717483,42.857142857142854
2024-05-15,idea4,7,154.9461480607677,134.9461480607677,85.71428571428571
2024-06-12,idea4,7,208.6096375445894,188.6096375445894,100.0
2024-07-27,idea4,7,-0.9983199347537618,-20.998319934753763,42.857142857142854
2024-08-05,idea4,28,295.07091918877074,275.07091918877074,78.57142857142857
2024-08-08,idea4,7,105.91649302943922,85.91649302943922,85.71428571428571
2024-11-10,idea4,7,-7.389436078121734,-27.389436078121733,42.857142857142854
2024-12-05,idea4,14,112.3509065958125,92.3509065958125,57.14285714285714
2024-12-09,idea4,7,514.3231118154908,494.32311181549085,100.0
2025-01-20,idea4,138,-41.39976939494768,-61.39976939494768,28.985507246376812
2025-01-23,idea4,46,116.41124321456704,96.41124321456704,82.6086956521739
2025-01-29,idea4,46,-128.871799073924,-148.871799073924,8.695652173913043
2025-02-03,idea4,92,568.2732037839279,548.2732037839279,97.82608695652173
2025-03-02,idea4,46,84.64844943360968,64.64844943360968,65.21739130434783
2025-03-04,idea4,46,-32.51972355971546,-52.51972355971546,30.434782608695656
2025-04-02,idea4,46,-703.5303619661642,-723.5303619661642,0.0
2025-04-07,idea4,46,-77.1101642447179,-97.1101642447179,26.08695652173913
2025-04-09,idea4,46,688.9419370756917,668.9419370756917,100.0
2025-04-22,idea4,46,137.00344714372787,117.00344714372787,86.95652173913044
2025-07-10,idea4,46,216.12836281278942,196.12836281278942,91.30434782608695
2025-10-10,idea4,46,5620.17086387042,5600.17086387042,100.0
2025-10-26,idea4,46,102.50717004399101,82.50717004399101,100.0
2025-12-17,idea4,46,-628.6216077053439,-648.6216077053439,0.0
2026-01-13,idea4,46,27.88793050522453,7.887930505224531,73.91304347826086
2026-01-31,idea4,46,178.50696574691935,158.50696574691935,95.65217391304348
2026-02-02,idea4,46,141.33684313898473,121.33684313898473,91.30434782608695
2026-02-05,idea4,92,-189.4262720860971,-209.4262720860971,13.043478260869565
2026-02-25,idea4,46,-94.60020180501378,-114.60020180501378,10.869565217391305
2024-01-03,idea5,3,1176.0191283865836,1156.0191283865836,100.0
2025-02-03,idea5,21,349.15979935317847,329.15979935317847,61.904761904761905
2025-03-04,idea5,30,53.60927686151713,33.60927686151713,60.0
2025-10-10,idea5,144,2558.5791870955613,2538.5791870955613,84.02777777777779
2026-02-07,idea5,49,29.942237684141904,9.942237684141904,67.3469387755102
2025-01-13,idea5,1,177.69006303274938,157.69006303274938,100.0
2026-01-31,idea5,44,-39.54290445371606,-59.54290445371606,40.909090909090914
2024-04-13,idea5,2,763.8698005110218,743.8698005110218,50.0
2026-02-06,idea5,74,241.36791307510362,221.36791307510362,77.02702702702703
2024-02-28,idea5,1,723.7952372023249,703.7952372023249,100.0
2024-04-12,idea5,1,29.54209748892156,9.54209748892156,100.0
2025-10-11,idea5,31,250.13979665718907,230.13979665718907,90.32258064516128
2025-01-14,idea5,9,67.32857829158371,47.32857829158371,77.77777777777779
2025-03-03,idea5,37,-109.40352523312217,-129.40352523312217,37.83783783783784
2025-01-29,idea5,11,273.69858456221357,253.69858456221357,100.0
2025-09-13,idea5,1,271.32194276416,251.32194276415999,100.0
2025-02-28,idea5,28,125.28119568094293,105.28119568094293,67.85714285714286
2025-03-05,idea5,3,-17.990719358738456,-37.99071935873846,33.33333333333333
2025-03-07,idea5,12,-10.938854587190425,-30.938854587190427,50.0
2025-03-08,idea5,2,270.81421738538893,250.81421738538893,100.0
2025-03-10,idea5,17,-286.6953233820303,-306.6953233820303,29.411764705882355
2025-03-11,idea5,24,230.39556676966467,210.39556676966467,70.83333333333334
2026-01-19,idea5,47,157.7714481642217,137.7714481642217,80.85106382978722
2025-04-08,idea5,36,-112.15463041935064,-132.15463041935064,22.22222222222222
2025-03-02,idea5,5,-136.02960461229128,-156.02960461229128,40.0
2025-10-29,idea5,10,102.33714931313287,82.33714931313287,60.0
2025-02-26,idea5,18,28.517581447940238,8.517581447940238,50.0
2025-03-13,idea5,8,-146.67381502749265,-166.67381502749265,25.0
2025-03-28,idea5,1,16.286644951140072,-3.7133550488599276,100.0
2025-04-06,idea5,24,-119.45418097860191,-139.45418097860193,33.33333333333333
2025-04-07,idea5,44,87.43834076370337,67.43834076370337,68.18181818181817
2025-04-09,idea5,45,241.91395198470232,221.91395198470232,73.33333333333333
2025-04-10,idea5,19,-32.11465092510691,-52.11465092510691,47.368421052631575
2025-04-12,idea5,3,447.0970346286784,427.0970346286784,100.0
2025-04-14,idea5,8,-40.956093452858,-60.956093452858,37.5
2025-04-15,idea5,11,-120.81278267557985,-140.81278267557985,27.27272727272727
2025-04-18,idea5,13,-4.4757128609115195,-24.47571286091152,53.84615384615385
2025-04-20,idea5,8,89.52203256965983,69.52203256965983,62.5
2025-04-26,idea5,3,102.60448356109286,82.60448356109286,100.0
2025-05-07,idea5,6,112.54247332982118,92.54247332982118,66.66666666666666
2025-05-17,idea5,5,-25.594444511437555,-45.59444451143756,80.0
2025-05-21,idea5,6,62.333699963422,42.333699963422,66.66666666666666
2025-05-25,idea5,1,373.17784256559736,353.17784256559736,100.0
2025-05-31,idea5,2,9.185951381267543,-10.814048618732457,50.0
2025-06-06,idea5,2,-133.34537258213985,-153.34537258213985,50.0
2025-10-12,idea5,9,88.3357485414656,68.3357485414656,55.55555555555556
2025-10-13,idea5,9,103.4218019149934,83.4218019149934,66.66666666666666
2025-10-16,idea5,6,104.54303376555231,84.54303376555231,66.66666666666666
2025-11-04,idea5,25,-81.6766320537223,-101.6766320537223,52.0
2025-11-07,idea5,23,646.4186632814487,626.4186632814487,73.91304347826086
2025-12-19,idea5,42,132.46048261124758,112.46048261124758,71.42857142857143
2026-02-04,idea5,42,-15.89345828497737,-35.89345828497737,52.38095238095239
2026-02-05,idea5,72,-317.8462775631463,-337.8462775631463,9.722222222222223
2026-02-09,idea5,44,-2.029887495707761,-22.02988749570776,43.18181818181818
2026-02-10,idea5,43,-74.03616851955196,-94.03616851955196,30.23255813953488
2026-02-12,idea5,46,36.917074024315696,16.917074024315696,67.3913043478261
2026-02-15,idea5,40,-102.85410647948554,-122.85410647948554,40.0
2026-02-20,idea5,49,48.52245935229027,28.52245935229027,55.10204081632652
2026-02-27,idea5,48,-45.579422878832105,-65.5794228788321,35.41666666666667
2026-02-28,idea5,56,1.3760100911373112,-18.62398990886269,46.42857142857143
2026-03-03,idea5,52,42.448459080853134,22.448459080853134,63.46153846153846
2025-01-07,idea5,3,-222.6642327978105,-242.6642327978105,33.33333333333333
2025-11-03,idea5,15,-20.70555408287142,-40.705554082871416,46.666666666666664
2025-02-04,idea5,5,73.3347219603775,53.33472196037749,60.0
2025-02-05,idea5,4,13.455565011382955,-6.544434988617045,50.0
2025-02-10,idea5,7,262.9726058283469,242.9726058283469,71.42857142857143
2025-12-08,idea5,14,79.76736539223808,59.76736539223808,71.42857142857143
2025-12-18,idea5,42,-19.966957305422703,-39.9669573054227,52.38095238095239
2026-02-13,idea5,41,84.35243914514413,64.35243914514413,65.85365853658537
2026-02-16,idea5,45,29.865948085670297,9.865948085670297,60.0
2026-02-17,idea5,37,-16.081848010242577,-36.08184801024258,32.432432432432435
2026-02-25,idea5,44,125.70598218012027,105.70598218012027,59.09090909090909
2026-02-26,idea5,50,-50.19048030475221,-70.19048030475221,38.0
2026-03-01,idea5,55,-41.88475813891376,-61.88475813891376,43.63636363636363
2026-03-02,idea5,46,18.066114415160644,-1.9338855848393557,30.434782608695656
2026-03-04,idea5,36,106.94802356781378,86.94802356781378,55.55555555555556
2025-03-17,idea5,1,-113.72251705837667,-133.72251705837667,0.0
2026-02-08,idea5,42,-21.85356980905538,-41.85356980905538,42.857142857142854
2025-02-12,idea5,7,-45.84140182700306,-65.84140182700307,42.857142857142854
2025-02-24,idea5,24,-202.51960412499668,-222.51960412499668,20.833333333333336
2025-02-25,idea5,36,-42.776830149218,-62.776830149218,47.22222222222222
2025-02-27,idea5,7,-53.50144598912825,-73.50144598912826,42.857142857142854
2025-03-06,idea5,4,89.63263733801463,69.63263733801463,75.0
2025-03-12,idea5,9,29.41058283539459,9.410582835394589,33.33333333333333
2025-03-14,idea5,1,83.96946564885432,63.969465648854325,100.0
2025-03-30,idea5,4,112.96391438906096,92.96391438906096,100.0
2025-04-27,idea5,2,-141.40326696087112,-161.40326696087112,0.0
2025-05-04,idea5,1,88.23529411764675,68.23529411764675,100.0
2025-05-20,idea5,6,-115.8608027234659,-135.8608027234659,33.33333333333333
2025-05-23,idea5,3,-97.25046629534512,-117.25046629534512,33.33333333333333
2025-05-29,idea5,1,-404.7720494247986,-424.7720494247986,0.0
2025-05-30,idea5,6,-73.258789304881,-93.258789304881,33.33333333333333
2025-10-21,idea5,4,-56.24187858575297,-76.24187858575297,25.0
2025-11-17,idea5,17,-60.81514016992536,-80.81514016992536,41.17647058823529
2025-11-18,idea5,14,135.17636111810197,115.17636111810197,71.42857142857143
2025-11-20,idea5,18,-156.47851028523297,-176.47851028523297,33.33333333333333
2025-11-21,idea5,47,-168.6607541461588,-188.6607541461588,34.04255319148936
2025-12-10,idea5,15,-226.7079949392743,-246.7079949392743,13.333333333333334
2025-12-11,idea5,15,80.11994446321101,60.11994446321101,73.33333333333333
2025-12-14,idea5,8,48.327881805555336,28.327881805555336,37.5
2025-12-22,idea5,33,21.427553394658037,1.4275533946580374,57.57575757575758
2025-12-26,idea5,55,39.79706713362952,19.79706713362952,69.0909090909091
2026-01-05,idea5,16,54.222362029135994,34.222362029135994,81.25
2026-01-08,idea5,16,-21.06361975166268,-41.063619751662685,43.75
2026-01-16,idea5,24,-37.697673631197496,-57.697673631197496,29.166666666666668
