symbol,lookback,zscore_thresh,direction,horizon_m,n_signals,mean_ret_bps,median_ret_bps,win_rate,sharpe,net_of_fees_bps,avg_premium_bps
0GUSDT,60,1.5,short,5,7888,2.4336000601054737,2.022551577929299,52.23123732251521,0.0403243237359581,-17.566399939894527,-9.551803777890468
0GUSDT,60,1.5,long,5,22146,3.6937389305281996,0.9102704663110917,50.3341461211957,0.04551160988968305,-16.3062610694718,-33.89104037297932
0GUSDT,60,1.5,short,15,7888,4.9168331203078,4.627629188553861,53.3975659229209,0.047299488060892,-15.0831668796922,-9.551803777890468
0GUSDT,60,1.5,long,15,22146,6.634439053929755,0.0,49.24139799512327,0.044919364528255824,-13.365560946070245,-33.89104037297932
0GUSDT,60,1.5,short,30,7888,10.854840125314926,8.09864002168148,54.563894523326574,0.0735755246103988,-9.145159874685074,-9.551803777890468
0GUSDT,60,1.5,long,30,22146,11.088863568618391,-1.5294028487100597,48.880158945181975,0.046826540950487695,-8.911136431381609,-33.89104037297932
0GUSDT,60,1.5,short,60,7888,20.05177298274048,15.767693234451375,55.65415821501014,0.10523999169090176,0.0517729827404807,-9.551803777890468
0GUSDT,60,1.5,long,60,22143,18.060661265518135,-6.372132540357622,47.35130741091993,0.050858087986121424,-1.939338734481865,-33.89272643724879
0GUSDT,60,1.5,short,240,7886,43.94586344452671,50.71718417562432,60.22064417955871,0.11585170486544522,23.945863444526708,-9.554226249048948
0GUSDT,60,1.5,long,240,22127,1.5624081129903322,-33.88371967944948,43.60283816152212,0.0033579896054279626,-18.437591887009667,-33.902350738916255
0GUSDT,60,2.0,short,5,1663,6.2510982321369815,3.2583903551641757,53.57787131689717,0.0928499820838013,-13.748901767863018,-9.125590438965723
0GUSDT,60,2.0,long,5,11374,5.0115623041914565,1.1319290212796762,50.5978547564621,0.05500719065257487,-14.988437695808543,-39.275402057323724
0GUSDT,60,2.0,short,15,1663,10.724578577605534,6.313928526330281,54.60012026458209,0.09863948594092979,-9.275421422394466,-9.125590438965723
0GUSDT,60,2.0,long,15,11374,9.325890305764453,0.9844480176823822,50.29892737823105,0.06078586293072382,-10.674109694235547,-39.275402057323724
0GUSDT,60,2.0,short,30,1663,16.17781275172567,12.390238646770024,55.44197233914612,0.10702225548056751,-3.8221872482743287,-9.125590438965723
0GUSDT,60,2.0,long,30,11374,13.022036267364651,0.0,49.70986460348163,0.05803763739931472,-6.977963732635349,-39.275402057323724
0GUSDT,60,2.0,short,60,1663,30.16099305970249,21.522366915489588,56.70475045099218,0.15534241609497781,10.160993059702491,-9.125590438965723
0GUSDT,60,2.0,long,60,11372,24.19619796451731,-5.910415090374377,47.57298628209637,0.0626667043416473,4.19619796451731,-39.27820889025677
0GUSDT,60,2.0,short,240,1663,55.56055951478579,65.45454545454521,61.334936861094405,0.15192423351259715,35.56055951478579,-9.125590438965723
0GUSDT,60,2.0,long,240,11362,7.5936668547334305,-32.17887898231852,44.14715719063545,0.015410597013802018,-12.406333145266569,-39.29379469283577
0GUSDT,60,2.5,short,5,418,6.853770520384741,4.426357023156191,54.54545454545454,0.09889255359861666,-13.146229479615258,-3.8494114832535877
0GUSDT,60,2.5,long,5,5800,6.004604209353368,1.1742621752652838,50.793103448275865,0.056698913170951715,-13.995395790646633,-44.241425448275855
0GUSDT,60,2.5,short,15,418,9.641239750106891,9.780533863094632,54.54545454545454,0.08521291311540294,-10.358760249893109,-3.8494114832535877
0GUSDT,60,2.5,long,15,5800,11.239886832267999,1.6778510737114338,50.91379310344828,0.06914911238081001,-8.760113167732001,-44.241425448275855
0GUSDT,60,2.5,short,30,418,19.52200426108848,17.39838871412658,59.09090909090909,0.13448696884756586,-0.47799573891152036,-3.8494114832535877
0GUSDT,60,2.5,long,30,5800,16.78787898182482,-1.014045449655443,49.32758620689655,0.0728181284951185,-3.2121210181751785,-44.241425448275855
0GUSDT,60,2.5,short,60,418,34.91954812015717,23.238352252423766,58.133971291866025,0.18344135331554795,14.919548120157167,-3.8494114832535877
0GUSDT,60,2.5,long,60,5800,32.732022503352354,-6.792036643378796,47.6551724137931,0.07517267130015835,12.732022503352354,-44.241425448275855
0GUSDT,60,2.5,short,240,418,58.30097369297815,81.39643578988608,63.1578947368421,0.1561411544215067,38.30097369297815,-3.8494114832535877
0GUSDT,60,2.5,long,240,5799,20.150410588656776,-27.603974972395527,45.214692188308334,0.03826428204395061,0.1504105886567757,-44.24507328849801
