symbol,signal,direction,horizon_m,n_signals,mean_abs_ret,mean_ret,median_ret,win_rate,net_fees
0GUSDT,coiled_v0.1_oi1.0,abs_move,15,1345,57.985732351187906,0.6985821627483042,-1.0640561821662065,48.773234200743495,37.985732351187906
0GUSDT,coiled_v0.1_oi1.0_momup,long,15,542,65.06561353633259,9.962581332147058,0.7657583470555007,50.184501845018445,-10.037418667852942
0GUSDT,coiled_v0.1_oi1.0_momdn,short,15,698,55.46729838767396,6.0680469427362125,4.768671704648009,53.15186246418339,-13.931953057263787
0GUSDT,coiled_v0.1_oi1.0,abs_move,30,1345,85.2994944262793,6.861631226360978,-3.9032006245132145,47.43494423791822,65.2994944262793
0GUSDT,coiled_v0.1_oi1.0_momup,long,30,542,98.98780309662725,25.274600361135757,1.68217904233936,50.3690036900369,5.274600361135757
0GUSDT,coiled_v0.1_oi1.0_momdn,short,30,698,78.55898071987644,6.085219996890139,8.960484170038585,54.44126074498568,-13.914780003109861
0GUSDT,coiled_v0.1_oi1.0,abs_move,60,1345,126.49374162948986,13.060617033181689,-6.1785603954267465,48.62453531598513,106.49374162948986
0GUSDT,coiled_v0.1_oi1.0_momup,long,60,542,153.9857299092692,39.42708830709757,2.3686458446969816,50.55350553505535,19.42708830709757
0GUSDT,coiled_v0.1_oi1.0_momdn,short,60,698,111.52899875495658,2.5598344372201036,11.27672944145508,52.865329512893986,-17.440165562779896
0GUSDT,coiled_v0.1_oi1.0,abs_move,240,1345,254.90641099375648,-35.195966231238465,-37.99283154121924,43.048327137546465,234.90641099375648
0GUSDT,coiled_v0.1_oi1.0_momup,long,240,542,282.7011969409374,-4.821492538056493,-24.550035067040234,46.309963099631,-24.821492538056493
0GUSDT,coiled_v0.1_oi1.0_momdn,short,240,698,247.10931183871972,52.504919305376134,41.92040944466624,58.59598853868195,32.504919305376134
0GUSDT,coiled_v0.1_oi2.0,abs_move,15,679,69.13285977487212,3.1137176371320003,0.0,49.48453608247423,49.13285977487212
0GUSDT,coiled_v0.1_oi2.0_momup,long,15,276,82.45807218956986,19.206742792512085,7.275642586577202,53.62318840579711,-0.7932572074879154
0GUSDT,coiled_v0.1_oi2.0_momdn,short,15,351,63.1782573455114,9.015759750352878,6.028246641405222,54.131054131054135,-10.984240249647122
0GUSDT,coiled_v0.1_oi2.0,abs_move,30,679,101.40821761408507,18.5033430487758,3.900156006240163,51.69366715758469,81.40821761408507
0GUSDT,coiled_v0.1_oi2.0_momup,long,30,276,123.73652188328154,51.11521343409859,23.779367196584687,60.14492753623188,31.115213434098592
0GUSDT,coiled_v0.1_oi2.0_momdn,short,30,351,90.46466768535647,4.328333290484683,9.745657449696798,54.41595441595442,-15.671666709515318
0GUSDT,coiled_v0.1_oi2.0,abs_move,60,679,156.10918809213342,39.82430698976704,6.991920447483313,53.01914580265096,136.10918809213342
0GUSDT,coiled_v0.1_oi2.0_momup,long,60,276,201.44139733986063,90.25869005645818,22.09657707362256,59.42028985507246,70.25869005645818
0GUSDT,coiled_v0.1_oi2.0_momdn,short,60,351,130.32569435551892,-8.291286158465951,10.303967027305294,52.42165242165242,-28.29128615846595
0GUSDT,coiled_v0.1_oi2.0,abs_move,240,679,292.90784124578835,22.66447015206311,11.137857938416929,51.546391752577314,272.90784124578835
0GUSDT,coiled_v0.1_oi2.0_momup,long,240,276,337.38252681822166,83.08348906248028,31.279309474726567,55.072463768115945,63.08348906248028
0GUSDT,coiled_v0.1_oi2.0_momdn,short,240,351,278.6646263846362,17.06023808089816,1.659934709234978,50.427350427350426,-2.9397619191018407
0GUSDT,coiled_v0.1_oi3.0,abs_move,15,352,84.93723375122823,1.951872777153046,-3.8469966957321855,47.159090909090914,64.93723375122823
0GUSDT,coiled_v0.1_oi3.0_momup,long,15,143,103.53502989534864,20.592710359752967,10.112796577206318,53.84615384615385,0.5927103597529673
0GUSDT,coiled_v0.1_oi3.0_momdn,short,15,184,77.06973859521466,12.369359066848341,13.351871223971079,59.78260869565217,-7.630640933151659
0GUSDT,coiled_v0.1_oi3.0,abs_move,30,352,124.168898534755,17.352638394227423,-9.779305273893147,46.875,104.168898534755
0GUSDT,coiled_v0.1_oi3.0_momup,long,30,143,154.3145166793978,65.12109881542304,19.51905059337955,58.74125874125874,45.12109881542304
0GUSDT,coiled_v0.1_oi3.0_momdn,short,30,184,110.00722352668294,18.84000208191444,28.494817803314533,64.13043478260869,-1.1599979180855584
0GUSDT,coiled_v0.1_oi3.0,abs_move,60,352,201.1164128169511,67.23402284563339,3.0847986906235025,51.13636363636363,181.1164128169511
0GUSDT,coiled_v0.1_oi3.0_momup,long,60,143,269.843530431199,143.14882539362648,25.937572172183287,60.13986013986013,123.14882539362648
0GUSDT,coiled_v0.1_oi3.0_momdn,short,60,184,163.2681287943335,-18.62706990341832,29.488846203045703,55.97826086956522,-38.62706990341832
0GUSDT,coiled_v0.1_oi3.0,abs_move,240,352,351.5718724950243,122.29782733875295,59.870709815811324,58.52272727272727,331.5718724950243
