config,n_trades,n_symbols,avg_net,wr,pf,total_sized,pos_months,total_months,no_oct_n,no_oct_wr,no_oct_avg,no_oct_pf
aggressive_maker,267,109,1222.9630235591208,0.6853932584269663,3.6386660047483423,279122.81469999545,7,7,115,0.6869565217391305,130.6796027080336,3.4500668376058883
aggressive_hybrid,267,109,1216.9630235591208,0.6779026217228464,3.6149715718340154,416697.76620943745,7,7,115,0.6695652173913044,124.67960270803358,3.2563989716181267
aggressive_sized,267,109,1210.9630235591208,0.6704119850187266,3.5912121429104515,422709.1816931589,7,7,115,0.6521739130434783,118.67960270803358,3.071813137394718
aggressive_taker,267,109,1210.9630235591208,0.6704119850187266,3.5912121429104515,278775.35550524824,7,7,115,0.6521739130434783,118.67960270803358,3.071813137394718
moderate_maker,618,113,372.80999390943407,0.5453074433656958,2.153220119577365,226718.56376152055,7,7,392,0.548469387755102,75.9960011641207,1.9849861380294405
moderate_hybrid,612,113,370.93281131648814,0.5196078431372549,2.128623798078862,319939.4196796173,7,7,386,0.5129533678756477,71.91900711397876,1.8963515363253647
moderate_taker,607,113,367.9995139582637,0.5074135090609555,2.1022289605749305,235167.8322540444,7,7,381,0.49868766404199477,66.88073803929422,1.8002368109724476
moderate_sized,607,113,367.9995139582637,0.5074135090609555,2.1022289605749305,321391.4555526138,7,7,381,0.49868766404199477,66.88073803929422,1.8002368109724476
wide_taker,537,111,375.90741933581216,0.553072625698324,2.0695885002711636,338130.88034667756,6,7,327,0.5443425076452599,46.99286965503207,1.5345070064528512
conservative_maker,353,111,689.5532367508795,0.5892351274787535,2.5125310815068507,218890.6022516727,6,7,180,0.5944444444444444,38.950388183583506,1.4610753140270534
conservative_taker,352,111,678.2730214537565,0.5511363636363636,2.4668015256582927,214156.8691460195,6,7,179,0.5307262569832403,24.731177942496664,1.2737850198200933
conservative_sized,352,111,678.2730214537565,0.5511363636363636,2.4668015256582927,294200.41468509584,6,7,179,0.5307262569832403,24.731177942496664,1.2737850198200933
