symbol,gross_bps,sig_str,hold,entry_time,exit_time,strategy,net_tk,net_mk,month
0GUSDT,1632.8783038048234,3.7969331504514736,3,2025-10-10 21:20:00,2025-10-10 21:35:00,long_vg,1612.8783038048234,1624.8783038048234,2025-10
0GUSDT,-392.01773835920164,6.171562785822542,9,2025-10-10 21:50:00,2025-10-10 22:35:00,long_vg,-412.01773835920164,-400.01773835920164,2025-10
2ZUSDT,3290.8687205106867,5.088781721671946,7,2025-10-10 21:20:00,2025-10-10 21:55:00,long_vg,3270.8687205106867,3282.8687205106867,2025-10
2ZUSDT,350.02645036148914,4.478938650837621,3,2026-01-26 10:05:00,2026-01-26 10:20:00,long_vg,330.02645036148914,342.02645036148914,2026-01
1000PEPEUSDT,10584.32727329571,10.529186289442077,23,2025-10-10 21:15:00,2025-10-10 23:10:00,long_vg,10564.32727329571,10576.32727329571,2025-10
1000PEPEUSDT,234.85933719348262,4.389688270388913,5,2025-11-21 07:30:00,2025-11-21 07:55:00,long_vg,214.85933719348262,226.85933719348262,2025-11
AAVEUSDT,8899.87107864203,5.383503154745275,17,2025-10-10 21:15:00,2025-10-10 22:40:00,long_vg,8879.87107864203,8891.87107864203,2025-10
AAVEUSDT,-151.33601324190172,4.332584046379929,11,2025-11-02 16:30:00,2025-11-02 17:25:00,long_vg,-171.33601324190172,-159.33601324190172,2025-11
AAVEUSDT,-101.41987829614618,4.332241817198621,5,2025-11-30 03:55:00,2025-11-30 04:20:00,long_vg,-121.41987829614618,-109.41987829614618,2025-11
AAVEUSDT,48.439365512535915,2.724937905488963,21,2026-01-29 15:50:00,2026-01-29 17:35:00,long_vg,28.439365512535915,40.439365512535915,2026-01
AAVEUSDT,157.67814598224072,2.8897621094776054,10,2026-02-20 13:55:00,2026-02-20 14:45:00,long_vg,137.67814598224072,149.67814598224072,2026-02
ADAUSDT,59.60993113027335,4.465312323114601,3,2025-09-17 17:55:00,2025-09-17 18:10:00,long_vg,39.60993113027335,51.60993113027335,2025-09
ADAUSDT,89.08275480739914,3.6842044630939186,9,2025-09-22 06:05:00,2025-09-22 06:50:00,long_vg,69.08275480739914,81.08275480739914,2025-09
ADAUSDT,-3035.5896720167484,5.773841062611127,7,2025-10-10 20:55:00,2025-10-10 21:30:00,long_vg,-3055.5896720167484,-3043.5896720167484,2025-10
ADAUSDT,912.6444595513261,4.079272220007838,20,2025-10-10 21:45:00,2025-10-10 23:25:00,long_vg,892.6444595513261,904.6444595513261,2025-10
ADAUSDT,96.1625691735457,2.6269611252785334,12,2025-11-03 15:25:00,2025-11-03 16:25:00,long_vg,76.1625691735457,88.1625691735457,2025-11
1000RATSUSDT,60.00000000000006,3.5633518024012303,4,2025-07-07 12:40:00,2025-07-07 13:00:00,long_vg,40.00000000000006,52.00000000000006,2025-07
1000RATSUSDT,-410.7648725212443,4.068416944609744,6,2025-08-16 03:30:00,2025-08-16 04:00:00,long_vg,-430.7648725212443,-418.7648725212443,2025-08
1000RATSUSDT,17.944116893104933,2.780836175017835,6,2025-09-22 06:05:00,2025-09-22 06:35:00,long_vg,-2.0558831068950667,9.944116893104933,2025-09
