config,fee_mode,fee_bps,n_trades,n_symbols,avg_gross_bps,avg_net_bps,win_rate,total_net_bps,daily_net_bps,profit_factor,avg_hold_bars
adaptive_thr1.5,taker,10.0,121898,116,4.226127149235869,-15.773872850764128,0.347036046530706,-1922803.5527624572,-7848.177766377376,0.6662723708285977,7.2573134916077375
adaptive_thr1.5,maker,4.0,121898,116,4.226127149235869,-3.7738728507641306,0.43828446734154786,-460027.5527624456,-1877.6634806630432,0.9055479704438743,7.2573134916077375
adaptive_thr2.0,taker,10.0,24764,116,10.902620668118542,-9.09737933188146,0.38874979809400745,-225287.50177471197,-919.540823570253,0.8736978653589129,9.289654336940721
adaptive_thr2.0,maker,4.0,24764,116,10.902620668118542,2.9026206681185434,0.4645453077047327,71880.49822528772,293.3897886746438,1.0445631836015001,9.289654336940721
adaptive_thr2.5,taker,10.0,5663,116,46.92324648619047,26.923246486190468,0.4289245982694685,152466.34485129607,622.3116116379432,1.2020687508215586,11.047148154688328
adaptive_thr2.5,maker,4.0,5663,116,46.92324648619047,38.92324648619047,0.480663959032315,220422.34485129613,899.6830402093719,1.3072172937663002,11.047148154688328
adaptive_thr3.0,taker,10.0,2086,116,92.50167177205964,72.50167177205964,0.4520613614573346,151238.4873165164,617.2999482306792,1.3019341375541689,12.464046021093
adaptive_thr3.0,maker,4.0,2086,116,92.50167177205964,84.50167177205964,0.49041227229146694,176270.4873165162,719.471376802107,1.3614727148859151,12.464046021093
adaptive_thr3.5,taker,10.0,1130,116,229.71923841870782,209.71923841870782,0.48584070796460177,236982.7394131398,967.2764874005705,1.6356962395647707,13.560176991150442
adaptive_thr3.5,maker,4.0,1130,116,229.71923841870782,221.71923841870782,0.5106194690265486,250542.7394131399,1022.6234261760812,1.6846177673147564,13.560176991150442
fixed_thr1.5_h12,taker,10.0,109958,116,1.8822763401579703,-18.117723659842028,0.4011713563360556,-1992188.658188881,-8131.382278321963,0.6936882192571902,12.0
fixed_thr1.5_h12,maker,4.0,109958,116,1.8822763401579703,-6.11772365984203,0.46369522908746974,-672692.6581889096,-2745.684319138407,0.8830981024845441,12.0
fixed_thr1.5_h24,taker,10.0,90339,116,3.694017877259075,-16.30598212274093,0.4305670861975448,-1473066.1189862785,-6012.5147713725655,0.7846596157890777,24.0
fixed_thr1.5_h24,maker,4.0,90339,116,3.694017877259075,-4.305982122740926,0.47776707734201174,-388998.11898629746,-1587.747424433867,0.9377454813739956,24.0
fixed_thr1.5_h3,taker,10.0,141419,116,1.5802103760560997,-18.419789623943895,0.316718404174828,-2604908.2288285224,-10632.278485014376,0.5180288949503277,3.0
fixed_thr1.5_h3,maker,4.0,141419,116,1.5802103760560997,-6.419789623943899,0.4252045340442232,-907880.2288285214,-3705.6335870551898,0.7904968088867429,3.0
fixed_thr1.5_h6,taker,10.0,127144,116,0.67101868966847,-19.32898131033153,0.36529446926319764,-2457563.9997207667,-10030.873468248028,0.5947229047597561,6.0
fixed_thr1.5_h6,maker,4.0,127144,116,0.67101868966847,-7.32898131033153,0.44926225382243756,-931835.9997207839,-3803.4122437583014,0.8193306018972475,6.0
fixed_thr2.0_h12,taker,10.0,24408,116,1.9339670162432252,-18.066032983756777,0.42014913143231725,-440955.7330675362,-1799.8193186430049,0.7722445616340972,12.0
fixed_thr2.0_h12,maker,4.0,24408,116,1.9339670162432252,-6.066032983756774,0.47336938708620124,-148059.7330675341,-604.3254410919759,0.9165232985084721,12.0
fixed_thr2.0_h24,taker,10.0,22733,116,1.7539382713173726,-18.246061728682626,0.44006510359389434,-414787.721278144,-1693.0111072577306,0.8146027811068858,24.0
fixed_thr2.0_h24,maker,4.0,22733,116,1.7539382713173726,-6.246061728682627,0.4830422733471165,-141991.72127814248,-579.5580460332346,0.9320708145238282,24.0
fixed_thr2.0_h3,taker,10.0,28013,116,2.614346393737781,-17.38565360626222,0.35094420447649305,-487024.3144722253,-1987.8543447845932,0.6849871267780232,3.0
fixed_thr2.0_h3,maker,4.0,28013,116,2.614346393737781,-5.38565360626222,0.44365116196051835,-150868.3144722227,-615.7890386621335,0.8876470289642341,3.0
fixed_thr2.0_h6,taker,10.0,26220,116,-2.5795132003407004,-22.5795132003407,0.3880244088482075,-592034.8361129317,-2416.468718828293,0.6806314555065812,6.0
fixed_thr2.0_h6,maker,4.0,26220,116,-2.5795132003407004,-10.579513200340699,0.4610602593440122,-277394.8361129326,-1132.2238208691126,0.8341357607028066,6.0
fixed_thr2.5_h12,taker,10.0,5711,116,11.629256720930764,-8.370743279069236,0.4372264051829802,-47805.31486676449,-195.12373415005916,0.9385693660056198,12.0
fixed_thr2.5_h12,maker,4.0,5711,116,11.629256720930764,3.6292567209307616,0.4801260724916827,20726.685133235555,84.59871482953288,1.0279692461394052,12.0
fixed_thr2.5_h24,taker,10.0,5402,116,15.847263270795185,-4.152736729204816,0.45223991114402073,-22433.083811164375,-91.56360739250765,0.9745163589343104,24.0
fixed_thr2.5_h24,maker,4.0,5402,116,15.847263270795185,7.847263270795186,0.48963346908552385,42390.916188835574,173.02414770953297,1.0501080593740175,24.0
fixed_thr2.5_h3,taker,10.0,6666,116,6.709137819119983,-13.290862180880016,0.38898889888988897,-88596.88729774619,-361.6199481540661,0.8711737163485309,3.0
fixed_thr2.5_h3,maker,4.0,6666,116,6.709137819119983,-1.2908621808800167,0.45244524452445245,-8604.887297746187,-35.1219889703926,0.9865820998024949,3.0
fixed_thr2.5_h6,taker,10.0,6167,116,-2.0507655994999032,-22.0507655994999,0.4217609858926544,-135987.07145211572,-555.0492712331254,0.8333252544028794,6.0
fixed_thr2.5_h6,maker,4.0,6167,116,-2.0507655994999032,-10.0507655994999,0.4752716069401654,-61983.07145211605,-252.99212837598387,0.9200354139157403,6.0
fixed_thr3.0_h12,taker,10.0,2121,116,27.069263053554874,7.069263053554872,0.454974068835455,14993.906936589867,61.199620149346394,1.0305745911523718,12.0
fixed_thr3.0_h12,maker,4.0,2121,116,27.069263053554874,19.069263053554874,0.4827911362564828,40445.90693658986,165.08533443506064,1.084812061555286,12.0
fixed_thr3.0_h24,taker,10.0,1987,116,28.555805250972096,8.55580525097209,0.4620030196275793,17000.38503368158,69.38932666808809,1.0312494664078349,24.0
fixed_thr3.0_h24,maker,4.0,1987,116,28.555805250972096,20.555805250972096,0.4886763965777554,40844.38503368157,166.71177564767987,1.07684448585586,24.0
fixed_thr3.0_h3,taker,10.0,2637,116,19.460895095756648,-0.5391049042433511,0.4273795980280622,-1421.6196324897273,-5.8025291122029685,0.9967707514309162,3.0
fixed_thr3.0_h3,maker,4.0,2637,116,19.460895095756648,11.460895095756651,0.46985210466439137,30222.380367510315,123.3566545612666,1.0714933327764529,3.0
fixed_thr3.0_h6,taker,10.0,2346,116,3.3054692480126437,-16.694530751987354,0.44501278772378516,-39165.369144162425,-159.8586495680099,0.9248750243026388,6.0
fixed_thr3.0_h6,maker,4.0,2346,116,3.3054692480126437,-4.6945307519873545,0.47868712702472294,-11013.369144162387,-44.95252711903015,0.9782429485295003,6.0
fixed_thr3.5_h12,taker,10.0,1129,116,166.44640388420382,146.44640388420382,0.479185119574845,165337.98998526618,674.8489387153721,1.4558116588020655,12.0
fixed_thr3.5_h12,maker,4.0,1129,116,166.44640388420382,158.44640388420382,0.4977856510186005,178885.98998526606,730.1468978990451,1.5027489727062024,12.0
fixed_thr3.5_h24,taker,10.0,1060,116,208.20857624973786,188.20857624973786,0.47358490566037736,199501.09082472217,814.290166631519,1.5077663066076143,24.0
fixed_thr3.5_h24,maker,4.0,1060,116,208.20857624973786,200.20857624973786,0.4981132075471698,212221.09082472225,866.2085339784581,1.5492955966770086,24.0
fixed_thr3.5_h3,taker,10.0,1449,116,79.79748703054364,59.797487030543635,0.4575569358178054,86646.55870725779,353.65942329492975,1.253253363588575,3.0
fixed_thr3.5_h3,maker,4.0,1449,116,79.79748703054364,71.79748703054364,0.4858523119392685,104034.55870725782,424.63085186635846,1.312482825837337,3.0
fixed_thr3.5_h6,taker,10.0,1277,116,123.09635521476604,103.09635521476605,0.47376664056382145,131654.04560925614,537.3634514663515,1.3442682614973476,6.0
fixed_thr3.5_h6,maker,4.0,1277,116,123.09635521476604,115.09635521476605,0.4941268598277212,146978.04560925614,599.9103902418618,1.3924550340591413,6.0
