config,fee,n,nsym,avg_gross,avg_net,wr,pf,total,daily,avg_hold,pos_m,tot_m,is_avg,oos_avg,is_wr,oos_wr,oos_pf
sig_base_thr2.5_h12_ts0,taker,2298,115,96.84823399258988,76.84823399258988,0.4456048738033072,1.513846606770146,176597.24171497155,720.8050682243737,7.96431679721497,6,9,139.54586363832772,14.150604346852035,0.45082680591818974,0.44038294168842473,1.175373118799054
sig_base_thr2.5_h12_ts0,maker,2298,115,96.84823399258988,88.84823399258988,0.4960835509138381,1.6204971323267945,204173.24171497155,833.3601702651899,7.96431679721497,7,9,151.54586363832772,26.150604346852035,0.5013054830287206,0.4908616187989556,1.3521537868886753
sig_base_thr2.5_h12_ts0_novg,taker,2311,115,96.322541470292,76.322541470292,0.44353093898745133,1.5128884529651785,176381.3933378448,719.9240544401829,7.974037213327564,6,9,138.71086591839088,13.988186160989011,0.4484848484848485,0.43858131487889274,1.1742396242312816
sig_base_thr2.5_h12_ts0_novg,maker,2311,115,96.322541470292,88.32254147029198,0.4950237992211164,1.6201497423742786,204113.39333784478,833.1158911748767,7.974037213327564,7,9,150.7108659183909,25.98818616098901,0.49956709956709955,0.49048442906574397,1.3519683750456997
sig_base_thr2.5_h12_ts150,taker,2364,115,127.86626035808716,107.86626035808716,0.4357021996615905,1.9192726843205146,254995.83948651806,1040.7993448429309,6.680203045685279,5,9,219.06707404198124,-3.3345533258069118,0.4500846023688663,0.4213197969543147,0.9603694662188851
sig_base_thr2.5_h12_ts150,maker,2364,115,127.86626035808716,119.86626035808716,0.4847715736040609,2.081421010085922,283363.83948651806,1156.5870999449717,6.680203045685279,5,9,231.06707404198124,8.665446674193085,0.4957698815566836,0.47377326565143824,1.111824073457148
sig_base_thr2.5_h12_ts150_novg,taker,2377,115,127.18552423617643,107.18552423617642,0.4337400084139672,1.9177627074808536,254779.99110939135,1039.9183310587403,6.696676482961716,5,9,217.89871362049638,-3.434550607029695,0.44865319865319864,0.4188393608074012,0.9589920430886347
sig_base_thr2.5_h12_ts150_novg,maker,2377,115,127.18552423617643,119.1855242361764,0.4838031131678586,2.0808303758569053,283303.9911093913,1156.3428208546584,6.696676482961716,5,9,229.89871362049638,8.565449392970303,0.494949494949495,0.4726661059714045,1.1111233326655034
sig_base_thr2.5_h12_ts300,taker,2347,115,136.9221216182075,116.92212161820753,0.443971026842778,1.9760749812747396,274416.21943793306,1120.066201787482,7.29995739241585,5,9,230.61216629891103,3.328916839276305,0.45268542199488493,0.4352640545144804,1.0384465587164038
sig_base_thr2.5_h12_ts300,maker,2347,115,136.9221216182075,128.9221216182075,0.4933958244567533,2.136859266314907,302580.21943793306,1235.0213038282982,7.29995739241585,6,9,242.61216629891103,15.328916839276307,0.5012787723785166,0.4855195911413969,1.1913637238592716
sig_base_thr2.5_h12_ts300_novg,taker,2360,115,136.18659790712132,116.18659790712132,0.4419491525423729,1.9745404953533652,274200.3710608063,1119.1851880032912,7.313135593220339,5,9,229.21153919082693,3.1616566234157366,0.4516949152542373,0.4322033898305085,1.036655299991645
sig_base_thr2.5_h12_ts300_novg,maker,2360,115,136.18659790712132,128.18659790712132,0.4923728813559322,2.136259498166796,302520.3710608063,1234.777024737985,7.313135593220339,6,9,241.21153919082693,15.161656623415737,0.5008474576271187,0.48389830508474574,1.1901348296728822
