entry_i,exit_i,entry_month,gross_bps,net_bps,fee_bps,sig_strength,hold_bars,exit_reason,position_size,pnl_sized,rvol_ratio,symbol,tier,month,entry_time,exit_time
22233,22236,2025-09,59.60993113027335,51.60993113027335,8.0,4.465312323114601,3,cross,1.5,77.41489669541002,2.041034297447916,ADAUSDT,A,2025-09,2025-09-17 17:55:00,2025-09-17 18:10:00
23531,23540,2025-09,89.08275480739914,81.08275480739914,8.0,3.6842044630939186,9,cross,1.5,121.62413221109871,2.2553336510869944,ADAUSDT,A,2025-09,2025-09-22 06:05:00,2025-09-22 06:50:00
21543,21548,2025-09,-111.35589825756131,-119.35589825756131,8.0,4.142312242047541,5,cross,1.5,-179.03384738634196,2.102856258094902,AEROUSDT,A,2025-09,2025-09-15 14:25:00,2025-09-15 14:50:00
23530,23534,2025-09,248.62202415855572,240.62202415855572,8.0,2.546610160756985,4,cross,1.5,360.93303623783356,2.1331175565380818,ARBUSDT,A,2025-09,2025-09-22 06:00:00,2025-09-22 06:20:00
23530,23537,2025-09,249.92547546652366,241.92547546652366,8.0,3.7827948459045957,7,cross,1.5,362.88821319978547,2.0410203421268127,APTUSDT,A,2025-09,2025-09-22 06:00:00,2025-09-22 06:35:00
22233,22236,2025-09,43.66591361230077,35.66591361230077,8.0,3.71197158653779,3,cross,1.5,53.498870418451155,2.102850155848027,AVAXUSDT,A,2025-09,2025-09-17 17:55:00,2025-09-17 18:10:00
20343,20367,2025-09,-49.19461624847132,-57.19461624847132,8.0,3.1586526643176307,24,maxhold,1.5,-85.79192437270697,2.0211073326976763,BCHUSDT,A,2025-09,2025-09-11 04:25:00,2025-09-11 06:25:00
7813,7824,2025-09,-35.39823008849585,-43.39823008849585,8.0,3.5123790382054505,11,cross,1.5,-65.09734513274378,2.4372643269846166,BTRUSDT,A,2025-09,2025-09-25 03:35:00,2025-09-25 04:30:00
22233,22240,2025-09,90.54960169637471,82.54960169637471,8.0,4.1774292644262285,7,cross,1.0,82.54960169637471,2.1205390062337224,DOGEUSDT,B,2025-09,2025-09-17 17:55:00,2025-09-17 18:30:00
23464,23467,2025-09,-103.11326565076607,-111.11326565076607,8.0,3.3774457383368675,3,cross,1.0,-111.11326565076607,2.106278083868026,DOGEUSDT,B,2025-09,2025-09-22 00:30:00,2025-09-22 00:45:00
23530,23554,2025-09,141.9603038945594,133.9603038945594,8.0,3.1031722981022667,24,maxhold,1.0,133.9603038945594,2.010629886999494,ETHUSDT,B,2025-09,2025-09-22 06:00:00,2025-09-22 08:00:00
23531,23555,2025-09,111.73031743429985,103.73031743429985,8.0,3.546279372829713,24,maxhold,1.0,103.73031743429985,2.2534865720328168,ETCUSDT,B,2025-09,2025-09-22 06:05:00,2025-09-22 08:05:00
22171,22177,2025-09,173.53800176594493,165.53800176594493,8.0,2.704520724787248,6,cross,1.0,165.53800176594493,2.2283663437043333,ETHFIUSDT,B,2025-09,2025-09-17 18:45:00,2025-09-17 19:15:00
24079,24091,2025-09,179.0123456790149,171.0123456790149,8.0,2.598681634260209,12,cross,1.0,171.0123456790149,2.05967964061684,FARTCOINUSDT,B,2025-09,2025-09-24 03:45:00,2025-09-24 04:45:00
23530,23552,2025-09,214.94708994709066,206.94708994709066,8.0,2.599588175805579,22,cross,1.0,206.94708994709066,2.2282984209178207,GALAUSDT,B,2025-09,2025-09-22 06:00:00,2025-09-22 07:50:00
23530,23537,2025-09,261.3964630451626,253.3964630451626,8.0,3.891402316717085,7,cross,1.0,253.3964630451626,2.1685619941938286,HBARUSDT,B,2025-09,2025-09-22 06:00:00,2025-09-22 06:35:00
21922,21925,2025-09,76.4016141468149,68.4016141468149,8.0,2.504328492821445,3,cross,1.0,68.4016141468149,2.054856144092016,HUSDT,B,2025-09,2025-09-16 16:00:00,2025-09-16 16:15:00
23459,23469,2025-09,128.75536480686733,120.75536480686733,8.0,4.0518473995900885,10,cross,1.0,120.75536480686733,2.265822262456033,ICPUSDT,B,2025-09,2025-09-22 06:05:00,2025-09-22 06:55:00
25980,26001,2025-09,-287.7753796496141,-295.7753796496141,8.0,2.614271281479916,21,cross,1.0,-295.7753796496141,2.1191294456499006,JELLYJELLYUSDT,B,2025-09,2025-09-30 18:10:00,2025-09-30 19:55:00
17199,17223,2025-09,146.0623400090344,138.0623400090344,8.0,2.588336570906944,24,maxhold,1.0,138.0623400090344,2.083642716396006,KAVAUSDT,B,2025-09,2025-09-19 11:50:00,2025-09-19 13:50:00
23531,23540,2025-09,145.20032266738258,137.20032266738258,8.0,2.7771269126866467,9,cross,1.0,137.20032266738258,2.18930513855267,LDOUSDT,B,2025-09,2025-09-22 06:05:00,2025-09-22 06:50:00
23530,23537,2025-09,326.6845049866229,318.6845049866229,8.0,3.6356628532666884,7,cross,1.0,318.6845049866229,2.1925111281220797,LINKUSDT,B,2025-09,2025-09-22 06:00:00,2025-09-22 06:35:00
23531,23535,2025-09,44.210328285203545,36.210328285203545,8.0,3.396830650264442,4,cross,1.0,36.210328285203545,2.2672526930381163,LTCUSDT,B,2025-09,2025-09-22 06:05:00,2025-09-22 06:25:00
11735,11748,2025-09,66.98240866035209,58.98240866035209,8.0,3.9327854335006105,13,cross,1.0,58.98240866035209,2.350085424351219,MYXUSDT,B,2025-09,2025-09-16 16:40:00,2025-09-16 17:45:00
13067,13073,2025-09,1.5686930695135715,-6.4313069304864285,8.0,3.485134321086048,6,cross,1.0,-6.4313069304864285,2.1901431431421043,MYXUSDT,B,2025-09,2025-09-21 07:40:00,2025-09-21 08:10:00
23531,23535,2025-09,36.27569528415808,28.275695284158083,8.0,2.684881713615466,4,cross,1.0,28.275695284158083,2.439622746908793,NOTUSDT,B,2025-09,2025-09-22 06:05:00,2025-09-22 06:25:00
23532,23538,2025-09,139.22329779044506,131.22329779044506,8.0,2.8528887646498475,6,cross,0.5,65.61164889522253,2.0831242782209842,PENGUUSDT,C,2025-09,2025-09-22 06:10:00,2025-09-22 06:40:00
17367,17384,2025-09,748.3576121108238,740.3576121108238,8.0,2.517371311426922,17,cross,0.5,370.1788060554119,2.0144348144093134,PIPPINUSDT,C,2025-09,2025-09-05 17:15:00,2025-09-05 18:40:00
23531,23539,2025-09,238.51351351351414,230.51351351351414,8.0,3.3926708199985938,8,cross,0.5,115.25675675675707,2.172484934043933,POLUSDT,C,2025-09,2025-09-22 06:05:00,2025-09-22 06:45:00
23531,23534,2025-09,108.18713450292172,100.18713450292172,8.0,3.0261135441240405,3,cross,0.5,50.09356725146086,2.3194619922201567,SOLUSDT,C,2025-09,2025-09-22 06:05:00,2025-09-22 06:20:00
23530,23541,2025-09,345.18668259364784,337.18668259364784,8.0,3.7578652430695585,11,cross,0.5,168.59334129682392,2.120363981875788,SUIUSDT,C,2025-09,2025-09-22 06:00:00,2025-09-22 06:55:00
23530,23538,2025-09,291.1040238854579,283.1040238854579,8.0,3.801773439820679,8,cross,0.5,141.55201194272894,2.1552193163025013,TIAUSDT,C,2025-09,2025-09-22 06:00:00,2025-09-22 06:40:00
23530,23533,2025-09,162.50416250416234,154.50416250416234,8.0,2.9827331332636255,3,cross,0.5,77.25208125208117,2.3257460059675905,TRUMPUSDT,C,2025-09,2025-09-22 06:00:00,2025-09-22 06:15:00
23530,23540,2025-09,444.1890213381283,436.1890213381283,8.0,3.418382181950611,10,cross,0.5,218.09451066906416,2.3535312572513747,TONUSDT,C,2025-09,2025-09-22 06:00:00,2025-09-22 06:50:00
23531,23555,2025-09,11.66111019749172,3.6611101974917197,8.0,4.324356202289657,24,maxhold,0.5,1.8305550987458599,2.015128573100984,TRXUSDT,C,2025-09,2025-09-22 06:05:00,2025-09-22 08:05:00
23530,23537,2025-09,311.6120918533705,303.6120918533705,8.0,3.275863558383968,7,cross,0.5,151.80604592668524,2.1168625897546285,VIRTUALUSDT,C,2025-09,2025-09-22 06:00:00,2025-09-22 06:35:00
22243,22251,2025-09,125.3165548390478,117.3165548390478,8.0,2.8682197718572873,8,cross,0.5,58.6582774195239,2.1998481553700997,XLMUSDT,C,2025-09,2025-09-17 18:45:00,2025-09-17 19:25:00
23531,23539,2025-09,145.1232467275232,137.1232467275232,8.0,3.521642444884465,8,cross,0.5,68.5616233637616,2.300110868522912,XRPUSDT,C,2025-09,2025-09-22 06:05:00,2025-09-22 06:45:00
2023,2030,2025-10,3290.8687205106867,3282.8687205106867,8.0,5.088781721671946,7,cross,1.5,4924.30308076603,2.381387472453232,2ZUSDT,A,2025-10,2025-10-10 21:20:00,2025-10-10 21:55:00
5320,5323,2025-10,1632.8783038048234,1624.8783038048234,8.0,3.7969331504514736,3,cross,1.5,2437.3174557072352,2.167788533836685,0GUSDT,A,2025-10,2025-10-10 21:20:00,2025-10-10 21:35:00
5326,5335,2025-10,-392.01773835920164,-400.01773835920164,8.0,6.171562785822542,9,cross,1.5,-600.0266075388024,2.500801436385642,0GUSDT,A,2025-10,2025-10-10 21:50:00,2025-10-10 22:35:00
28893,28899,2025-10,-3598.04605722261,-3606.04605722261,8.0,5.773841062611127,6,reversal,1.5,-5409.069085833915,2.161868563991788,ADAUSDT,A,2025-10,2025-10-10 20:55:00,2025-10-10 21:25:00
28903,28923,2025-10,912.6444595513261,904.6444595513261,8.0,4.079272220007838,20,cross,1.5,1356.9666893269891,2.5382294634440985,ADAUSDT,A,2025-10,2025-10-10 21:45:00,2025-10-10 23:25:00
28462,28465,2025-10,-5391.897842360194,-5399.897842360194,8.0,2.618519026820511,3,cross,1.5,-8099.84676354029,2.0651357387841833,1000RATSUSDT,A,2025-10,2025-10-10 21:00:00,2025-10-10 21:15:00
28897,28903,2025-10,6728.192914557907,6720.192914557907,8.0,9.99569646916515,6,reversal,1.5,10080.289371836861,2.3834897363776766,1000BONKUSDT,A,2025-10,2025-10-10 21:15:00,2025-10-10 21:45:00
28906,28924,2025-10,2132.8494648353158,2124.8494648353158,8.0,7.373482496003772,18,cross,1.5,3187.274197252974,2.5269510479922084,1000BONKUSDT,A,2025-10,2025-10-10 22:00:00,2025-10-10 23:30:00
28897,28903,2025-10,8048.130640309412,8040.130640309412,8.0,5.383503154745275,6,reversal,1.5,12060.195960464118,2.396381318090307,AAVEUSDT,A,2025-10,2025-10-10 21:15:00,2025-10-10 21:45:00
28906,28914,2025-10,575.6745058433132,567.6745058433132,8.0,2.9112187251966923,8,cross,1.5,851.5117587649698,2.5324222927413382,AAVEUSDT,A,2025-10,2025-10-10 22:00:00,2025-10-10 22:40:00
28897,28920,2025-10,10584.32727329571,10576.32727329571,8.0,10.529186289442077,23,cross,1.5,15864.490909943564,2.3873040593659414,1000PEPEUSDT,A,2025-10,2025-10-10 21:15:00,2025-10-10 23:10:00
28893,28899,2025-10,-6027.59876716167,-6035.59876716167,8.0,7.3947663113652835,6,reversal,1.5,-9053.398150742505,2.1372748043037038,AIXBTUSDT,A,2025-10,2025-10-10 20:55:00,2025-10-10 21:25:00
