signal,n_symbols,mean_corr_6,std_corr_6,pct_positive_corr_6,mean_corr_12,std_corr_12,mean_edge_6,std_edge_6,pct_positive_edge_6,mean_edge_12,std_edge_12,mean_extreme_edge_6,std_extreme_edge_6,pct_positive_extreme_edge_6,mean_high_fwd6,std_high_fwd6,mean_low_fwd6,std_low_fwd6,mean_high_hit_rate,std_high_hit_rate,mean_low_hit_rate,std_low_hit_rate,mean_high_win_mean,std_high_win_mean,mean_low_win_mean,std_low_win_mean,abs_corr_6
bb_ret,116,-0.0667001229279678,0.05565440685836,0.07758620689655173,-0.05786820716704722,0.050278406922993964,-1.6491706239035504,4.657685479138028,0.2672413793103448,-2.207357737753588,7.559553373829962,-1.6056339615590123,10.009673177528143,0.3793103448275862,0.9675531057130232,3.9082331633563165,2.6167237296165724,3.913923003366745,0.46915982697998077,0.014420156029857245,0.4841781145513958,0.013821476352015288,106.94707727964366,56.43937146836968,-98.83258134288191,49.82009029295838,0.0667001229279678
bn_ret,116,-0.0639041906370292,0.053233063225561025,0.07758620689655173,-0.055926496998686674,0.04827180812565726,-1.5259235191709868,5.23761005855042,0.28448275862068967,-2.090187869553807,7.716810154243888,-1.4024581861667142,10.317847947985818,0.33620689655172414,1.0259183138820842,3.927067248184851,2.5518418330530706,4.091435999981498,0.4695016026355248,0.01476305409909071,0.4846081403906459,0.013932618030117982,106.70599095001918,56.222420059411576,-98.56379895626988,49.67221480200404,0.0639041906370292
price_div_bps,116,-0.04510130432345005,0.09248537161820879,0.21551724137931033,-0.05035026866570607,0.07855098081753031,-6.089238437977945,11.42327570977181,0.15517241379310345,-10.839138802162323,20.77664110799705,-9.255371503770244,17.388948051010825,0.1810344827586207,-1.5913351174374522,7.301566320198112,4.497903320540492,6.142170155327954,0.4812686229006953,0.01938254873328843,0.49373206803853537,0.02100985822655697,84.89172245874244,56.05279569597228,-69.72523436442954,30.9464396503081,0.04510130432345005
oi_div,116,-0.0347259850913948,0.039533894534240825,0.18446601941747573,-0.0227520761582894,0.03334011445092358,-2.9512224929449955,9.563805621088356,0.27586206896551724,-2.1847154169006338,14.839154252394378,-4.2893500990814495,14.057706687689107,0.2672413793103448,-0.0056860961704779354,5.849003680709246,2.945536396774518,6.838844984313518,0.48610455647914724,0.01386890916258529,0.5045012097926004,0.013791834161885366,93.06646897436627,48.84727112370282,-90.39556928738642,44.70163088584877,0.0347259850913948
price_div_ma6,116,-0.034543819089836746,0.06106010004049304,0.1896551724137931,-0.0455163410826244,0.0606199564343948,-5.805437707309211,11.225803700255039,0.1724137931034483,-10.539679074950662,21.36403830450189,-9.078402245336845,16.2164818341027,0.1896551724137931,-1.8290385733196366,7.3156448014893956,3.976399133989575,5.881135307377642,0.48287629731591164,0.01633409412195134,0.4986464132210498,0.018357684893466758,84.5122915291165,56.369703342255555,-69.52782616061522,31.834960781115893,0.034543819089836746
price_div_ma12,116,-0.0320957120117756,0.04369052531326701,0.15517241379310345,-0.04156613747963888,0.05102944238026321,-5.736724718762203,11.015215058942214,0.25,-9.791661997282109,20.96711556787762,-9.211702271693921,17.278411384554342,0.2413793103448276,-1.980096503661352,7.150637818635622,3.756628215100852,5.683659093450507,0.4832397632191989,0.016461591029556227,0.5003010026605342,0.01775576308764161,84.08134976773397,56.51611516459878,-68.8082335611824,31.72130561810164,0.0320957120117756
premium_spread_ma12,116,-0.025212258032188805,0.04538795443488005,0.22413793103448276,-0.03511287201248478,0.05274990660932066,-4.012027401841356,12.869682084396745,0.3620689655172414,-8.41679104099599,24.976600178087132,-7.125167614166252,21.454913936767575,0.3879310344827586,-0.5505300797861932,6.4763188268184955,3.461497322055163,8.517979119904373,0.484985491044083,0.016656951483952333,0.5000558983078142,0.01506188858103484,88.24006577792521,55.75416930251214,-71.80317300884748,36.14920362372246,0.025212258032188805
premium_spread_ma6,116,-0.02122872559860348,0.062285732513829586,0.25862068965517243,-0.03411484892774393,0.05935028309513129,-4.387136573790975,12.883662743935915,0.3103448275862069,-8.911286440813395,24.755362963139724,-6.974438322115589,19.263528647500554,0.31896551724137934,-0.7644601375115471,6.080571585458905,3.622676436279428,8.437752603576104,0.4841232947385935,0.016094779934246642,0.4997374821262229,0.015555015891918121,88.51854660096535,55.333757246089476,-72.85295587215735,35.198031175722285,0.02122872559860348
ret_diff_sum12,116,-0.02030124033190369,0.048596044822113604,0.27586206896551724,-0.025472985269532143,0.0450099291610631,-1.3199829891813781,10.594734674513004,0.33620689655172414,-2.927267804370903,15.384642975369173,-0.7681484627751073,17.96068206138675,0.3706896551724138,0.4762231963588968,6.52173779522971,1.7962061855402751,5.899315556010681,0.4833261834538488,0.01628397860883277,0.5000658956943352,0.020319912868906276,82.78673621554448,48.124390229934114,-76.50501679740684,43.38377673772383,0.02030124033190369
bb_lead_12,116,-0.020301240331903673,0.04859604482211364,0.27586206896551724,-0.0254729852695321,0.04500992916106312,-1.3199829891813781,10.594734674513004,0.33620689655172414,-2.927267804370903,15.384642975369173,-0.7681484627751073,17.96068206138675,0.3706896551724138,0.4762231963588968,6.52173779522971,1.7962061855402751,5.899315556010681,0.4833261834538488,0.01628397860883277,0.5000658956943352,0.020319912868906276,82.78673621554448,48.124390229934114,-76.50501679740684,43.38377673772383,0.020301240331903673
flow_momentum,116,-0.01976924228985517,0.07745957120466444,0.3706896551724138,-0.021873060120903967,0.06465507477048422,-0.6653823513058128,5.980450091844267,0.4224137931034483,-1.2783654985615507,9.252348079941845,-0.6548441409136291,8.881141647913994,0.43103448275862066,0.7668883188291094,5.934458084859715,1.432270670134922,4.012156351870904,0.48766701169923476,0.013211100003276929,0.5018937382055837,0.013398619365770286,77.10897186865756,40.24943524126089,-71.84964820625858,37.01713349457889,0.01976924228985517
