symbol,gross_bps,signal_strength,hold_bars,direction,entry_time,exit_time,net_bps_taker,net_bps_maker
2ZUSDT,3290.8687205106867,5.088781721671946,7,1,2025-10-10 21:20:00,2025-10-10 21:55:00,3270.8687205106867,3282.8687205106867
2ZUSDT,-117.7939173853848,4.032811838567644,1,-1,2025-10-29 18:35:00,2025-10-29 18:40:00,-137.79391738538482,-125.7939173853848
2ZUSDT,1663.5450366082073,5.72007150143018,24,-1,2025-11-21 16:10:00,2025-11-21 18:10:00,1643.5450366082073,1655.5450366082073
2ZUSDT,176.74352707823914,4.618753437780339,24,-1,2025-12-03 09:40:00,2025-12-03 11:40:00,156.74352707823914,168.74352707823914
2ZUSDT,-24.498216357933256,4.466305009523165,24,-1,2025-12-25 11:45:00,2025-12-25 13:45:00,-44.49821635793326,-32.49821635793326
2ZUSDT,289.63145829659754,4.478938650837621,2,1,2026-01-26 10:05:00,2026-01-26 10:15:00,269.63145829659754,281.63145829659754
0GUSDT,648.1591097431038,4.275983661061116,20,-1,2025-09-26 00:40:00,2025-09-26 02:20:00,628.1591097431038,640.1591097431038
0GUSDT,-579.8503376528563,3.8293996009224505,24,-1,2025-09-29 17:15:00,2025-09-29 19:15:00,-599.8503376528563,-587.8503376528563
0GUSDT,-178.7509775444085,8.266430039745043,24,-1,2025-10-01 00:30:00,2025-10-01 02:30:00,-198.7509775444085,-186.7509775444085
0GUSDT,700.9767709102844,4.939744804853917,24,-1,2025-10-03 03:00:00,2025-10-03 05:00:00,680.9767709102844,692.9767709102844
0GUSDT,24.60392665370015,3.6939383836752158,11,-1,2025-10-05 13:50:00,2025-10-05 14:45:00,4.6039266537001495,16.60392665370015
0GUSDT,-212.13212426752114,5.224769179160411,24,-1,2025-10-06 00:05:00,2025-10-06 02:05:00,-232.13212426752114,-220.13212426752114
0GUSDT,641.301190821959,3.7969331504514736,1,1,2025-10-10 21:20:00,2025-10-10 21:25:00,621.301190821959,633.301190821959
0GUSDT,-553.2807350444413,3.677823334638566,1,-1,2025-10-10 21:35:00,2025-10-10 21:40:00,-573.2807350444413,-561.2807350444413
0GUSDT,-392.01773835920164,6.171562785822542,9,1,2025-10-10 21:50:00,2025-10-10 22:35:00,-412.01773835920164,-400.01773835920164
0GUSDT,-272.78425473235666,6.1294174589654356,24,-1,2025-10-21 00:00:00,2025-10-21 02:00:00,-292.78425473235666,-280.78425473235666
0GUSDT,-363.1298568007435,4.226517976687375,24,-1,2025-11-03 01:00:00,2025-11-03 03:00:00,-383.1298568007435,-371.1298568007435
0GUSDT,-2319.146346411327,3.8564071902344756,24,-1,2025-11-03 06:45:00,2025-11-03 08:45:00,-2339.146346411327,-2327.146346411327
0GUSDT,-428.06431405303823,6.210371196584465,24,-1,2025-11-08 00:15:00,2025-11-08 02:15:00,-448.06431405303823,-436.06431405303823
0GUSDT,-299.65028529357784,3.9128472853601806,24,-1,2025-11-12 00:00:00,2025-11-12 02:00:00,-319.65028529357784,-307.65028529357784
0GUSDT,-96.05778836548228,5.03799921832216,24,-1,2025-11-15 16:00:00,2025-11-15 18:00:00,-116.05778836548228,-104.05778836548228
0GUSDT,237.3005684944074,6.990058972970469,24,-1,2025-11-16 00:30:00,2025-11-16 02:30:00,217.3005684944074,229.3005684944074
0GUSDT,180.26724934868454,5.17988551885773,24,-1,2025-11-22 00:05:00,2025-11-22 02:05:00,160.26724934868454,172.26724934868454
0GUSDT,-414.62237593501203,3.8119873522523657,24,-1,2025-11-22 12:35:00,2025-11-22 14:35:00,-434.62237593501203,-422.62237593501203
0GUSDT,-93.60839494395367,3.835989447176222,24,-1,2025-12-22 08:30:00,2025-12-22 10:30:00,-113.60839494395367,-101.60839494395367
0GUSDT,50.51971430230506,5.160290394904662,24,-1,2025-12-25 00:10:00,2025-12-25 02:10:00,30.51971430230506,42.51971430230506
0GUSDT,-967.5101370425488,6.287859102861898,24,-1,2025-12-25 11:35:00,2025-12-25 13:35:00,-987.5101370425488,-975.5101370425488
0GUSDT,86.10297916307962,3.8699972603008996,24,-1,2025-12-26 00:35:00,2025-12-26 02:35:00,66.10297916307962,78.10297916307962
0GUSDT,-443.9263684491679,4.733954770793679,24,-1,2025-12-29 03:25:00,2025-12-29 05:25:00,-463.9263684491679,-451.9263684491679
0GUSDT,-89.82938445770694,7.257572780703032,24,-1,2026-01-22 13:25:00,2026-01-22 15:25:00,-109.82938445770694,-97.82938445770694
0GUSDT,52.8889899909013,3.8931193449797474,24,-1,2026-01-23 00:00:00,2026-01-23 02:00:00,32.8889899909013,44.8889899909013
0GUSDT,-86.02711157455589,3.9069709221329463,24,-1,2026-01-23 07:45:00,2026-01-23 09:45:00,-106.02711157455589,-94.02711157455589
0GUSDT,84.31907794965277,3.6210775111561846,21,-1,2026-01-28 15:05:00,2026-01-28 16:50:00,64.31907794965277,76.31907794965277
0GUSDT,93.0754505247866,3.847411924609678,16,-1,2026-01-30 01:30:00,2026-01-30 02:50:00,73.0754505247866,85.0754505247866
0GUSDT,-42.74298457535686,4.725024227608247,24,-1,2026-01-30 04:20:00,2026-01-30 06:20:00,-62.74298457535686,-50.74298457535686
0GUSDT,150.63361759783288,3.9560708340979107,24,-1,2026-02-04 06:55:00,2026-02-04 08:55:00,130.63361759783288,142.63361759783288
0GUSDT,293.5648438199223,9.216777877019222,12,-1,2026-02-07 02:25:00,2026-02-07 03:25:00,273.5648438199223,285.5648438199223
0GUSDT,-114.84823625922846,3.9290293705898285,24,-1,2026-02-07 21:35:00,2026-02-07 23:35:00,-134.84823625922846,-122.84823625922846
0GUSDT,-518.8679245283034,3.8662218797018415,24,-1,2026-02-12 01:35:00,2026-02-12 03:35:00,-538.8679245283034,-526.8679245283034
0GUSDT,-753.7909310673218,3.8542891980370757,24,-1,2026-02-12 05:45:00,2026-02-12 07:45:00,-773.7909310673218,-761.7909310673218
0GUSDT,-247.24860545755956,3.912921519357444,24,-1,2026-02-15 06:15:00,2026-02-15 08:15:00,-267.24860545755956,-255.24860545755956
0GUSDT,100.19296422740132,5.481755233622222,12,-1,2026-02-17 11:40:00,2026-02-17 12:40:00,80.19296422740132,92.19296422740132
0GUSDT,44.17919702371709,4.857118191646463,24,-1,2026-02-20 00:15:00,2026-02-20 02:15:00,24.179197023717087,36.17919702371709
0GUSDT,-10.344318013890685,3.5214487891795256,14,-1,2026-02-20 04:30:00,2026-02-20 05:40:00,-30.344318013890685,-18.344318013890685
