feature,target,is_binary,full_r,mean_r,std_r,sign_pct,snr,max_wrong_streak,regime_high_r,regime_low_r,regime_consistent,n_windows,tier2_pass
open,tgt_ret_1,False,-0.039179498011395385,-0.07211808868168022,0.025767498266142316,1.0,2.798800564059458,0,-0.08223549871230929,-0.0037909497251224604,True,10,True
high,tgt_ret_1,False,-0.037003722125990214,-0.06812911974849489,0.024177888412245652,1.0,2.817827536750015,0,-0.07937075421602106,-0.003286717068240764,True,10,True
low,tgt_ret_1,False,-0.03904724808308794,-0.07243307625033646,0.02610126414006452,1.0,2.7750792399037194,0,-0.08137575822207485,-0.003318782669116418,True,10,True
close,tgt_ret_1,False,-0.038099180482531386,-0.07032431946100011,0.025196882504852323,1.0,2.7909928717355137,0,-0.08102419480308701,-0.002967150276450364,True,10,True
range,tgt_ret_1,False,-0.006302303737803904,-0.008160700645611498,0.017837793912607206,0.7,0.45749495064206147,2,-0.030981532155293548,-0.017563665764091282,True,10,False
return,tgt_ret_1,False,0.02034291121432097,0.02398883870294759,0.031440226292105654,0.8,0.7629982837932361,1,0.013318723437619863,0.047014399855363855,True,10,True
total_volume,tgt_ret_1,False,0.018949528886857046,0.014688840464947932,0.016426720828580325,0.8,0.894204060459303,1,0.009724512684452485,0.008917202992358814,True,10,True
total_notional,tgt_ret_1,False,0.005401363198533412,0.0015994187388667694,0.018059935695245905,0.6,0.08856170729820484,3,-0.02339007296797539,0.005458806157614352,False,10,False
total_trades,tgt_ret_1,False,0.01205039111773938,0.01343951468082821,0.018269688960659787,0.7,0.7356181437881939,2,-0.023689408633542,0.019430533008690964,False,10,False
buy_volume,tgt_ret_1,False,0.022589459129854564,0.019120520081956367,0.017892868789885295,0.9,1.0686112051950583,1,0.009664709946055904,0.018412521790645665,True,10,True
sell_volume,tgt_ret_1,False,0.015899118027972583,0.01201638045515192,0.015671579666871237,0.7,0.7667625542914359,1,0.011905581193903472,0.0011385092600863067,True,10,True
net_volume_delta,tgt_ret_1,False,0.020934689962532744,0.023300423089387887,0.03356051606040258,0.8,0.6942808342831063,2,0.00838016579948881,0.04557029896834633,True,10,True
buy_sell_volume_ratio,tgt_ret_1,False,0.023795074043631872,0.024410859731670946,0.02873139787933296,0.8,0.8496231138558747,2,0.0113280999531203,0.04700993863368278,True,10,True
buy_trades,tgt_ret_1,False,0.012422021481220876,0.014615246330353743,0.020049015581023552,0.7,0.7289757580011615,2,-0.024219764739905426,0.021901246602492506,False,10,False
sell_trades,tgt_ret_1,False,0.012339318822752136,0.013434191504940778,0.016884929384156228,0.7,0.7956320810880377,1,-0.02163106384849518,0.019900943700069014,False,10,False
buy_sell_trade_ratio,tgt_ret_1,False,-0.012561056809847088,-0.009330538384936794,0.033043082398332944,0.7,0.28237493925226326,3,-0.023163526017047853,0.0019300230311479645,False,10,False
order_flow_imbalance,tgt_ret_1,False,0.023795074043631872,0.024410859731670946,0.02873139787933296,0.8,0.8496231138558747,2,0.0113280999531203,0.04700993863368278,True,10,True
trade_imbalance,tgt_ret_1,False,-0.012561056809847088,-0.009330538384936794,0.033043082398332944,0.7,0.28237493925226326,3,-0.023163526017047853,0.0019300230311479645,False,10,False
avg_trade_size,tgt_ret_1,False,0.006834398575609476,0.001887812977145617,0.016874155986055833,0.6,0.11187599419524358,2,0.04048975813855768,-0.02511716848453766,False,10,False
std_trade_size,tgt_ret_1,False,0.007076702292313574,-0.004804291781872616,0.02604405700583605,0.5,0.18446787229793163,3,0.016711148673834275,-0.010561003243568843,False,10,False
avg_buy_size,tgt_ret_1,False,0.01422438403201255,0.0113026070074236,0.017445360871003495,0.8,0.647886110869167,1,0.0408599966472121,-0.007861857341037651,False,10,False
size_imbalance,tgt_ret_1,False,0.03024565079999871,0.02932473543725315,0.02078996577803948,0.9,1.4105235068847002,1,0.014886421811136537,0.04895675030701878,True,10,True
large_trade_count,tgt_ret_1,False,0.012173215648752629,0.01343007928912964,0.018025902688244305,0.7,0.7450433701657638,2,-0.0230623644068665,0.019485217432200302,False,10,False
large_trade_volume_pct,tgt_ret_1,False,0.029823830197422522,0.03176274127546832,0.028644213748870453,0.9,1.108871116307769,1,0.03944770199422484,0.019048405211229892,True,10,True
large_buy_pct,tgt_ret_1,False,0.021816789458634835,0.02351803559844713,0.024037129406264318,0.7,0.9784045008435197,2,0.01942349339790391,0.03295789966252993,True,10,True
vwap,tgt_ret_1,False,-0.03804327445389052,-0.06975390596593878,0.02448905045977987,1.0,2.8483711967722325,0,-0.0803119275299411,-0.003442822921526834,True,10,True
vwap_buy,tgt_ret_1,False,-0.037904762577038856,-0.06949036672843117,0.024428566053784066,1.0,2.8446355211941263,0,-0.08016260198677941,-0.0033041126577902052,True,10,True
vwap_sell,tgt_ret_1,False,-0.03815471216928847,-0.07002917744786323,0.024599059044345128,1.0,2.846823422051245,0,-0.0804245664455007,-0.003474537319310227,True,10,True
vwap_spread,tgt_ret_1,False,0.04520619695329117,0.05987953497124965,0.03965865743775379,0.9,1.509872972004499,1,0.024214484130321953,0.06528519605067226,True,10,True
vwap_spread_bps,tgt_ret_1,False,0.05509135369580359,0.0705683120075589,0.03815669776165948,0.9,1.8494344675305519,1,0.04537130510187047,0.0627128306855713,True,10,True
twap,tgt_ret_1,False,-0.03838425897352256,-0.07047768911789783,0.024440096001541796,1.0,2.883691173449227,0,-0.08090040025477852,-0.003743980522201695,True,10,True
twap_vwap_spread_bps,tgt_ret_1,False,-0.04806040824342562,-0.05530945702390744,0.03243920968108613,1.0,1.7050186354002312,0,-0.051820736274100436,-0.04836240336510928,True,10,True
