feature,n_cont_positive_r2,n_bin_significant,avg_r2,avg_auc_dev,total_useful
is_swing_high,14,50,-0.06345935859094294,0.06251119863310337,64
is_swing_low,14,49,-0.06085903869299273,0.07327246939976614,63
golden_ratio_half_dist,8,49,-0.07642702301071004,0.04642283417408007,57
resistance_touches_20,6,51,-0.08456152012213765,0.049559624721822626,57
range_compression_5_z,6,50,-0.07852813080785429,0.05179305046036226,56
vol_price_feedback,6,50,-0.0736359558845948,0.08327710743295362,56
dist_to_swing_high_bps,4,51,-0.07452718546427287,0.07457430982117735,55
ofi_second_half,4,51,-0.07887446210915372,0.056664552929626875,55
ll_count_5,4,50,-0.0797262318040556,0.05607793016284092,54
dist_to_swing_low_bps,4,50,-0.07490896411179303,0.0645915197341898,54
activity_peak_to_mean_z,4,50,-0.07937056115530612,0.08407058263365376,54
liq_void_down_bps_z,5,49,-0.0781794029711096,0.0862290937334076,54
fvg_bearish_count_10,6,48,-0.08313236674749938,0.04608855692666474,54
fib_vol_ratio_z,4,50,-0.07908187687385193,0.05237006959701651,54
support_touches_20,6,47,-0.07516296382818026,0.04605900431932605,53
vol_price_feedback_z,4,49,-0.07864043532417168,0.09200273952806512,53
area_above_vwap_pct_z,2,51,-0.07870005769495668,0.047326007475035604,53
volume_autocorr,2,51,-0.07764040359098758,0.07784888921949328,53
max_monotonic_run,5,48,-0.06472727207256299,0.10574130581671698,53
ew_wave_symmetry_z,7,46,-0.07888040909385896,0.03956894332318428,53
bullish_patterns_5,6,47,-0.08740896050053444,0.043584649499472,53
breakout_down_count_10,6,47,-0.07619036744324566,0.04578581999400127,53
stackelberg_buy_leader,4,49,-0.08591624208622382,0.03803704636317184,53
dist_to_resistance_20_bps_z,4,48,-0.08661934125044002,0.06018408310365437,52
stackelberg_buy_leader_z,4,48,-0.08384855751307359,0.041738574287211734,52
range_atr_ratio_14_z,0,52,-0.07826418827206384,0.11122696811289969,52
avg_trade_size_z,2,50,-0.08120507013543148,0.05908944181055086,52
atr_percentile_14_z,2,50,-0.08246665085403071,0.07658605082359442,52
turbulence,2,50,-0.0804013522450273,0.06476012566335251,52
close,6,46,-0.08231944486753073,0.07377956999027661,52
donchian_mid_dist_bps_20,6,46,-0.07504321227157694,0.05691001991555129,52
consecutive_direction_z,2,50,-0.07744960053847828,0.05656555406678971,52
hilbert_std_amplitude,4,47,-0.05295586700154235,0.06226635265978893,51
max_drawup_z,0,51,-0.08285818612873593,0.09716641961837406,51
pv_principal_angle,4,47,-0.07886939910354052,0.043791425745050336,51
rqa_recurrence_rate,0,51,-0.06413848103962956,0.04797756166938432,51
volume_pct_q4_z,2,49,-0.07922792029395773,0.08373260493885161,51
trade_pct_q2,4,47,-0.07958963110388742,0.04900653129253412,51
large_buy_pct,4,47,-0.07947964640877785,0.05950162967284919,51
ew_impulse_correction_ratio_z,1,49,-0.07877096948250116,0.057228931516487454,50
time_to_high_pct,2,48,-0.07876234504073144,0.09415770030793937,50
heat_capacity,0,50,-0.11152920098821928,0.05693954092595713,50
taylor_ofi_r2,2,48,-0.07975863358251524,0.0344475688246212,50
mi_side_return_z,0,50,-0.08293105883259047,0.08048885700445216,50
taylor_price_rmse_z,2,48,-0.08081822855242891,0.06079633303184416,50
path_hull_ratio_z,2,48,-0.07943921686412718,0.061737885738976955,50
downtick_pct,0,50,-0.08015712221791518,0.07482844277209953,50
micro_greed_score_z,4,46,-0.07885275813168771,0.04179958556544302,50
taylor_price_rate_divergence,0,50,-0.08138155973113197,0.0406707136465473,50
breakout_vol_confirm_20,0,50,-0.08305718479197373,0.045340010653932734,50
volume_skewness,2,48,-0.08268299598657709,0.09328299097220334,50
donchian_width_bps_10_z,0,50,-0.0852892809486564,0.07905653215374184,50
atr_percentile_14,0,49,-0.0989664460861745,0.07820981946376095,49
cvd_max,2,47,-0.08473360180709051,0.08072465037186477,49
choch_net_z,5,44,-0.07894012640300246,0.03602231617850987,49
buy_volume_z,0,49,-0.08281133661959517,0.12505582608955731,49
hilbert_mean_amplitude,4,45,-0.04668265894749006,0.06996547282666711,49
breakout_down_bps_10_z,4,45,-0.08150118022359149,0.054303164216378555,49
eigen_ratio_z,0,49,-0.08274491708898285,0.1043741734964039,49
