bucket,trades,mean_score,gross_bps_per_trade,mean_gap_close_bps,net_bps_per_trade
9,7352,0.5996357693256639,-0.46310267931262206,0.9682529900580924,-8.463102679312621
8,7351,0.5355566548322489,-0.8479356236101688,0.8925642932218222,-8.84793562361017
7,7351,0.5154639297091732,-0.7076158539061177,0.7115145825935855,-8.707615853906118
6,7352,0.5021336274123975,-0.029260808089050114,0.5722240189805844,-8.02926080808905
5,7351,0.4916652491013125,-0.13438838387253063,0.3765640813349347,-8.134388383872531
4,7351,0.4823382452717873,0.2641000993944203,0.17416039693570978,-7.735899900605579
3,7352,0.47322965133917994,-0.232165715109725,-0.02108515785568772,-8.232165715109725
2,7351,0.46347603843533325,-0.19667368446682124,-0.25237085554049504,-8.196673684466822
1,7351,0.45154160762498374,-0.5823778810328898,-0.5708918996345428,-8.58237788103289
0,7352,0.4303598990678973,-1.3123211417872842,-1.0290970999409796,-9.312321141787285
