variant,folds,mean_events,median_events,mean_fast_pair_net_15m_bps,median_fast_pair_net_15m_bps,mean_fast_gap_close_15m_bps,mean_fast_pair_win_15m,mean_fast_entry_decay_bps,mean_entry_fill_lag_ms,positive_folds
active_fast_exec_baseline,155,12.0,12.0,-11.295920029056903,-11.374760707374845,0.2653510664166078,0.20967741935483872,19.185865600077747,10519.447311827958,10
active_fast_exec_state_top_quantile,155,11.961290322580645,12.0,-10.984014945479169,-11.131797348877837,0.659962083202594,0.19124423963133638,18.033983660235478,12109.085078899596,4
active_fast_exec_model_top_quantile,155,11.8,12.0,-7.038300034765976,-6.897913936098408,3.4193521265991613,0.2931455104035749,15.957589816203173,8454.06286831448,20
