test_day,active_symbols,active_symbol_count,baseline_events,baseline_pair_net_15m_bps,baseline_pair_net_30m_bps,baseline_pair_win_15m,active_events,active_pair_net_15m_bps,active_pair_net_30m_bps,active_pair_win_15m
2026-01-31,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,BREVUSDT,GALAUSDT",6,444.0,2.825118086888365,2.7521525507126197,0.5,78.0,15.207527510942713,14.611951371218415,0.7435897435897436
2026-02-01,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,BREVUSDT,GALAUSDT",6,378.0,2.16767991918012,2.4570287123895302,0.5211640211640212,84.0,12.81164145503698,14.862166178512386,0.7142857142857143
2026-02-02,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,BREVUSDT,GALAUSDT",6,445.0,1.7079239907096977,2.2250627743222005,0.5078651685393258,82.0,12.122404814343867,15.953660178306222,0.6829268292682927
2026-02-03,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT",5,442.0,1.7543745533455772,2.84060175620212,0.4796380090497738,88.0,10.765810291215521,16.992515041370403,0.5909090909090909
2026-02-04,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT",5,463.0,2.804662431127718,3.5520978031750725,0.5140388768898488,87.0,18.650274356086527,20.835446736987524,0.735632183908046
2026-02-05,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT",5,523.0,4.86551863626154,4.650608972875962,0.6042065009560229,86.0,21.819931996069233,22.627532470730735,0.7906976744186046
2026-02-06,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT",5,555.0,3.127483784937673,2.7828332140206946,0.5243243243243243,87.0,19.060414804374467,17.143515391012496,0.7586206896551724
2026-02-07,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT",5,562.0,3.1105464408994545,2.369687007523927,0.5124555160142349,98.0,18.555413408649514,10.926817188256107,0.7142857142857143
2026-02-08,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,AIXBTUSDT,GIGGLEUSDT",7,469.0,3.3205241457224712,3.4324633915973726,0.5330490405117271,121.0,15.287401999517918,15.340780038647123,0.6942148760330579
2026-02-09,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,AIXBTUSDT,GIGGLEUSDT,AEROUSDT",8,495.0,4.469231563771005,3.9600366366049538,0.5212121212121212,141.0,17.146743858056723,14.031246303361815,0.75177304964539
