test_day,train_start_day,train_end_day,variant,events,pair_net_15m_bps,pair_net_max_15m_bps,pair_win_15m,pair_win_max_15m,gap_close_15m_bps
2025-10-01,2025-09-01,2025-09-30,active_baseline,65.0,4.899203975482293,16.978111770342363,0.7076923076923077,1.0,12.899203975482294
2025-10-01,2025-09-01,2025-09-30,active_state_top_quantile,29.0,4.498541440231787,17.806065181255736,0.6896551724137931,1.0,12.49854144023179
2025-10-01,2025-09-01,2025-09-30,active_model_top_quantile,30.0,5.499863498652065,19.71495198449225,0.7333333333333333,1.0,13.499863498652063
2025-10-02,2025-09-02,2025-10-01,active_baseline,58.0,3.7863435032739186,15.84228319842183,0.6551724137931034,1.0,11.786343503273919
2025-10-02,2025-09-02,2025-10-01,active_state_top_quantile,25.0,3.980428943656075,15.818051533818352,0.64,1.0,11.980428943656074
2025-10-02,2025-09-02,2025-10-01,active_model_top_quantile,22.0,5.3734442849998585,17.28600963222635,0.7727272727272727,1.0,13.373444284999861
2025-10-03,2025-09-03,2025-10-02,active_baseline,40.0,3.9818683566058346,17.22136626369081,0.7,1.0,11.981868356605835
2025-10-03,2025-09-03,2025-10-02,active_state_top_quantile,14.0,2.637731123404286,15.950769403934576,0.6428571428571429,1.0,10.637731123404288
2025-10-03,2025-09-03,2025-10-02,active_model_top_quantile,23.0,5.399086659965461,17.847389321273866,0.782608695652174,1.0,13.39908665996546
2025-10-04,2025-09-04,2025-10-03,active_baseline,35.0,4.907786164018742,16.40347156363165,0.7428571428571429,1.0,12.907786164018743
2025-10-04,2025-09-04,2025-10-03,active_state_top_quantile,16.0,2.1606700308657514,16.75435611292161,0.625,1.0,10.16067003086575
2025-10-04,2025-09-04,2025-10-03,active_model_top_quantile,12.0,2.7371826349840025,16.904036850187012,0.5833333333333334,1.0,10.737182634984002
2025-10-05,2025-09-05,2025-10-04,active_baseline,37.0,6.485111819925628,18.03502323846864,0.7837837837837838,1.0,14.48511181992563
2025-10-05,2025-09-05,2025-10-04,active_state_top_quantile,14.0,4.726291745029688,19.311823750662864,0.7142857142857143,1.0,12.726291745029688
2025-10-05,2025-09-05,2025-10-04,active_model_top_quantile,22.0,7.6761109386587885,19.962542324672455,0.7727272727272727,1.0,15.676110938658786
2025-10-06,2025-09-06,2025-10-05,active_baseline,21.0,3.7474353348374323,17.05333659318963,0.7142857142857143,1.0,11.747435334837434
2025-10-06,2025-09-06,2025-10-05,active_state_top_quantile,7.0,2.4578713483590877,17.94889166469756,0.7142857142857143,1.0,10.457871348359088
2025-10-06,2025-09-06,2025-10-05,active_model_top_quantile,10.0,1.2800693146936069,19.074412871578744,0.5,1.0,9.280069314693607
2025-10-07,2025-09-07,2025-10-06,active_baseline,30.0,5.058446980349266,15.684621128314154,0.7666666666666667,1.0,13.058446980349265
2025-10-07,2025-09-07,2025-10-06,active_state_top_quantile,18.0,6.44351414713157,15.05721882317085,0.8888888888888888,1.0,14.44351414713157
2025-10-07,2025-09-07,2025-10-06,active_model_top_quantile,14.0,5.971409526237053,16.313346224482746,0.8571428571428571,1.0,13.971409526237052
2025-10-08,2025-09-08,2025-10-07,active_baseline,33.0,6.871353172469825,17.823134589302164,0.7272727272727273,1.0,14.871353172469826
2025-10-08,2025-09-08,2025-10-07,active_state_top_quantile,11.0,6.507122089535216,15.897847130062958,0.7272727272727273,1.0,14.507122089535217
2025-10-08,2025-09-08,2025-10-07,active_model_top_quantile,19.0,5.350884419184598,19.149778723437077,0.6842105263157895,1.0,13.350884419184597
2025-10-09,2025-09-09,2025-10-08,active_baseline,54.0,5.1033190578403,14.902895553624214,0.7592592592592593,1.0,13.103319057840302
2025-10-09,2025-09-09,2025-10-08,active_state_top_quantile,19.0,4.727467655512422,12.750925554215163,0.7368421052631579,1.0,12.727467655512424
2025-10-09,2025-09-09,2025-10-08,active_model_top_quantile,21.0,9.78850647945183,19.380580212605498,0.8571428571428571,1.0,17.78850647945183
2025-10-10,2025-09-10,2025-10-09,active_baseline,77.0,6.508720854068661,33.26067764362037,0.6363636363636364,0.974025974025974,14.50872085406866
2025-10-10,2025-09-10,2025-10-09,active_state_top_quantile,30.0,3.032048050856224,33.58302919308991,0.6,1.0,11.032048050856226
2025-10-10,2025-09-10,2025-10-09,active_model_top_quantile,36.0,20.0140294519828,45.9904621108702,0.75,1.0,28.0140294519828
2025-10-11,2025-09-11,2025-10-10,active_baseline,99.0,5.634171554615127,20.147973054655562,0.7070707070707071,0.98989898989899,13.634171554615126
2025-10-11,2025-09-11,2025-10-10,active_state_top_quantile,23.0,7.565836896767678,18.292555844648163,0.8695652173913043,0.9565217391304348,15.565836896767678
2025-10-11,2025-09-11,2025-10-10,active_model_top_quantile,15.0,6.243648612405124,23.680518007611475,0.6,1.0,14.243648612405128
2025-10-12,2025-09-12,2025-10-11,active_baseline,97.0,6.260073039533305,21.453305345238135,0.7010309278350515,0.9896907216494846,14.260073039533303
2025-10-12,2025-09-12,2025-10-11,active_state_top_quantile,39.0,9.26582731206223,22.410896057781226,0.7692307692307693,1.0,17.26582731206223
2025-10-12,2025-09-12,2025-10-11,active_model_top_quantile,65.0,9.527843775478086,24.519092478950064,0.8307692307692308,1.0,17.52784377547809
2025-10-13,2025-09-13,2025-10-12,active_baseline,100.0,4.1461819469170225,19.81288348156855,0.63,1.0,12.146181946917022
2025-10-13,2025-09-13,2025-10-12,active_state_top_quantile,42.0,5.55151271436745,19.808338130365836,0.7142857142857143,1.0,13.551512714367451
2025-10-13,2025-09-13,2025-10-12,active_model_top_quantile,55.0,6.50461823065129,23.617783049411,0.6909090909090909,1.0,14.50461823065129
2025-10-14,2025-09-14,2025-10-13,active_baseline,99.0,4.161608710473436,18.704931801714515,0.6060606060606061,0.9797979797979798,12.161608710473432
2025-10-14,2025-09-14,2025-10-13,active_state_top_quantile,39.0,4.295119671741379,19.19084882679906,0.6410256410256411,0.9743589743589743,12.29511967174138
2025-10-14,2025-09-14,2025-10-13,active_model_top_quantile,54.0,7.126202110705124,25.665775132889074,0.7037037037037037,1.0,15.126202110705124
2025-10-15,2025-09-15,2025-10-14,active_baseline,95.0,4.4761836447929175,19.167423819952468,0.6526315789473685,0.9894736842105263,12.476183644792918
2025-10-15,2025-09-15,2025-10-14,active_state_top_quantile,36.0,3.0029778902376,19.741724762450744,0.6388888888888888,1.0,11.002977890237599
2025-10-15,2025-09-15,2025-10-14,active_model_top_quantile,43.0,8.417567621645826,26.37938782971547,0.6976744186046512,1.0,16.41756762164583
2025-10-16,2025-09-16,2025-10-15,active_baseline,82.0,8.224390105496452,22.072498322344362,0.8048780487804879,1.0,16.22439010549645
2025-10-16,2025-09-16,2025-10-15,active_state_top_quantile,38.0,6.962720616542024,20.441416464020676,0.868421052631579,1.0,14.962720616542027
2025-10-16,2025-09-16,2025-10-15,active_model_top_quantile,50.0,10.650610178416139,25.65944785107995,0.78,1.0,18.650610178416137
2025-10-17,2025-09-17,2025-10-16,active_baseline,73.0,8.274773861663308,25.04114491996148,0.7671232876712328,1.0,16.27477386166331
2025-10-17,2025-09-17,2025-10-16,active_state_top_quantile,30.0,5.927340016496056,21.62210964435052,0.7666666666666667,1.0,13.927340016496055
2025-10-17,2025-09-17,2025-10-16,active_model_top_quantile,50.0,9.909227190838827,27.465368748954607,0.82,1.0,17.90922719083883
2025-10-18,2025-09-18,2025-10-17,active_baseline,80.0,9.967784403766965,24.168360423815546,0.9,1.0,17.967784403766963
2025-10-18,2025-09-18,2025-10-17,active_state_top_quantile,33.0,12.454392029094292,24.520465302098625,0.9393939393939394,1.0,20.45439202909429
2025-10-18,2025-09-18,2025-10-17,active_model_top_quantile,51.0,12.100531667597178,28.39125729073246,0.9215686274509803,1.0,20.100531667597178
2025-10-19,2025-09-19,2025-10-18,active_baseline,61.0,8.370924291477122,27.21900775230318,0.7213114754098361,1.0,16.370924291477124
2025-10-19,2025-09-19,2025-10-18,active_state_top_quantile,17.0,6.219827900588498,20.43333361495925,0.8235294117647058,1.0,14.219827900588498
2025-10-19,2025-09-19,2025-10-18,active_model_top_quantile,46.0,9.113829505007244,30.35160892389683,0.6956521739130435,1.0,17.113829505007242
2025-10-20,2025-09-20,2025-10-19,active_baseline,73.0,7.504158537100956,23.803302911578367,0.6986301369863014,1.0,15.504158537100958
2025-10-20,2025-09-20,2025-10-19,active_state_top_quantile,23.0,6.170150972292992,23.001058209590788,0.6521739130434783,1.0,14.170150972292992
2025-10-20,2025-09-20,2025-10-19,active_model_top_quantile,45.0,10.685669802975564,28.97232543225949,0.7111111111111111,1.0,18.685669802975564
2025-10-21,2025-09-21,2025-10-20,active_baseline,78.0,5.964700908926211,22.2896894573131,0.717948717948718,0.9871794871794872,13.964700908926211
2025-10-21,2025-09-21,2025-10-20,active_state_top_quantile,25.0,6.793135784771705,24.111315689309805,0.84,1.0,14.793135784771705
2025-10-21,2025-09-21,2025-10-20,active_model_top_quantile,38.0,12.563593680952492,32.89090570454843,0.8947368421052632,1.0,20.563593680952494
2025-10-22,2025-09-22,2025-10-21,active_baseline,75.0,5.692146129362309,22.820131812364675,0.6533333333333333,1.0,13.692146129362309
2025-10-22,2025-09-22,2025-10-21,active_state_top_quantile,27.0,8.805695093120123,22.883727620669955,0.7777777777777778,1.0,16.805695093120125
2025-10-22,2025-09-22,2025-10-21,active_model_top_quantile,34.0,10.833777034079887,30.634509240663533,0.7352941176470589,1.0,18.833777034079887
2025-10-23,2025-09-23,2025-10-22,active_baseline,73.0,12.224586681015879,25.963412803374627,0.7808219178082192,1.0,20.22458668101588
2025-10-23,2025-09-23,2025-10-22,active_state_top_quantile,26.0,11.896989926007636,23.109852733900045,0.7692307692307693,1.0,19.896989926007638
2025-10-23,2025-09-23,2025-10-22,active_model_top_quantile,43.0,18.543252163319796,34.93280892743721,0.9069767441860465,1.0,26.543252163319796
2025-10-24,2025-09-24,2025-10-23,active_baseline,77.0,5.861783483503031,22.241927787444244,0.6103896103896104,1.0,13.861783483503029
2025-10-24,2025-09-24,2025-10-23,active_state_top_quantile,19.0,4.276163435166465,18.563633171097635,0.5789473684210527,1.0,12.276163435166469
2025-10-24,2025-09-24,2025-10-23,active_model_top_quantile,40.0,10.970611957850965,31.122398059769136,0.725,1.0,18.970611957850963
2025-10-25,2025-09-25,2025-10-24,active_baseline,64.0,5.277006364641933,22.078315130908464,0.734375,1.0,13.277006364641933
2025-10-25,2025-09-25,2025-10-24,active_state_top_quantile,30.0,6.662369727057591,21.47984646564472,0.7333333333333333,1.0,14.66236972705759
2025-10-25,2025-09-25,2025-10-24,active_model_top_quantile,38.0,7.828278681222964,26.082352261671456,0.7631578947368421,1.0,15.828278681222963
2025-10-26,2025-09-26,2025-10-25,active_baseline,66.0,6.5784631776388425,22.70861621730888,0.7727272727272727,1.0,14.578463177638842
2025-10-26,2025-09-26,2025-10-25,active_state_top_quantile,29.0,6.443461077732773,20.250543014088343,0.7931034482758621,1.0,14.443461077732776
2025-10-26,2025-09-26,2025-10-25,active_model_top_quantile,34.0,11.438911716004412,28.759104267032363,0.8529411764705882,1.0,19.438911716004412
2025-10-27,2025-09-27,2025-10-26,active_baseline,54.0,7.218399829043384,23.991556119630022,0.6481481481481481,1.0,15.218399829043381
2025-10-27,2025-09-27,2025-10-26,active_state_top_quantile,27.0,5.5632032017645665,22.54277116363705,0.7407407407407407,1.0,13.563203201764567
2025-10-27,2025-09-27,2025-10-26,active_model_top_quantile,26.0,9.649565921768302,27.78194075380988,0.7307692307692307,1.0,17.649565921768303
2025-10-28,2025-09-28,2025-10-27,active_baseline,46.0,10.14916128621444,27.862117509641063,0.782608695652174,1.0,18.149161286214444
2025-10-28,2025-09-28,2025-10-27,active_state_top_quantile,25.0,9.51753561645426,25.850799725203373,0.76,1.0,17.51753561645426
2025-10-28,2025-09-28,2025-10-27,active_model_top_quantile,28.0,12.522807194763098,30.2556026565634,0.8214285714285714,1.0,20.522807194763097
2025-10-29,2025-09-29,2025-10-28,active_baseline,55.0,7.699769414569137,25.787987293927394,0.7818181818181819,1.0,15.699769414569136
2025-10-29,2025-09-29,2025-10-28,active_state_top_quantile,19.0,12.660270339040867,26.270687559804696,0.8947368421052632,1.0,20.66027033904087
2025-10-29,2025-09-29,2025-10-28,active_model_top_quantile,35.0,9.58254247314011,30.26941372393329,0.7714285714285715,1.0,17.58254247314011
2025-10-30,2025-09-30,2025-10-29,active_baseline,69.0,9.388413088704647,25.66550324021488,0.782608695652174,1.0,17.388413088704645
2025-10-30,2025-09-30,2025-10-29,active_state_top_quantile,23.0,8.453966926909885,20.640134878965547,0.8260869565217391,1.0,16.453966926909885
2025-10-30,2025-09-30,2025-10-29,active_model_top_quantile,36.0,11.103933136301105,31.285095920080195,0.8333333333333334,1.0,19.10393313630111
2025-10-31,2025-10-01,2025-10-30,active_baseline,66.0,12.11480907335392,27.33607279870952,0.8484848484848485,1.0,20.114809073353918
2025-10-31,2025-10-01,2025-10-30,active_state_top_quantile,23.0,8.990134483002235,22.376461563550155,0.8695652173913043,1.0,16.990134483002237
2025-10-31,2025-10-01,2025-10-30,active_model_top_quantile,37.0,18.33354127527434,33.85410249580748,0.9459459459459459,1.0,26.33354127527434
2025-11-01,2025-10-02,2025-10-31,active_baseline,71.0,9.315243644233242,25.056464786003435,0.7183098591549296,0.9859154929577465,17.315243644233245
2025-11-01,2025-10-02,2025-10-31,active_state_top_quantile,33.0,9.114080511611443,23.715559721072058,0.6666666666666666,0.9696969696969697,17.114080511611444
2025-11-01,2025-10-02,2025-10-31,active_model_top_quantile,46.0,12.78064390292048,31.66121213294106,0.7608695652173914,1.0,20.78064390292048
2025-11-02,2025-10-03,2025-11-01,active_baseline,78.0,8.414430443446735,22.61283787029005,0.7051282051282052,0.9230769230769231,16.414430443446737
2025-11-02,2025-10-03,2025-11-01,active_state_top_quantile,35.0,9.318920612506522,24.91293355366198,0.8,0.9714285714285714,17.31892061250652
2025-11-02,2025-10-03,2025-11-01,active_model_top_quantile,46.0,15.59700949454914,32.256373851800646,0.9130434782608695,1.0,23.597009494549145
