test_day,train_start_day,train_end_day,variant,events,execution_pair_net_15m_bps,delayed_pair_net_15m_bps,execution_pair_win_15m,execution_extra_cost_bps,entry_decay_bps
2025-10-01,2025-09-01,2025-09-30,active_exec_baseline,12.0,-8.880817290009395,-7.584241826615649,0.08333333333333333,1.2965754633937447,9.98182513637073
2025-10-01,2025-09-01,2025-09-30,active_exec_state_top_quantile,12.0,-8.673560461190439,-6.026119607846169,0.16666666666666666,2.64744085334427,10.360566615698897
2025-10-01,2025-09-01,2025-09-30,active_exec_model_top_quantile,12.0,-3.0730149055049676,-1.4598421258315675,0.4166666666666667,1.6131727796733994,10.489369457573986
2025-10-02,2025-09-02,2025-10-01,active_exec_baseline,12.0,-6.466630726624099,-4.611383377217719,0.08333333333333333,1.8552473494063795,7.346516363924601
2025-10-02,2025-09-02,2025-10-01,active_exec_state_top_quantile,12.0,-10.497126431930868,-8.964292004100495,0.0,1.5328344278303734,11.504607182618495
2025-10-02,2025-09-02,2025-10-01,active_exec_model_top_quantile,12.0,-6.220986478853155,-4.643532737951403,0.16666666666666666,1.5774537409017528,8.822281489362927
2025-10-03,2025-09-03,2025-10-02,active_exec_baseline,12.0,-10.932188465975125,-9.664019625660837,0.08333333333333333,1.2681688403142883,15.587219482086175
2025-10-03,2025-09-03,2025-10-02,active_exec_state_top_quantile,12.0,-12.921381464400854,-11.409807416084599,0.08333333333333333,1.511574048316257,17.29758287055535
2025-10-03,2025-09-03,2025-10-02,active_exec_model_top_quantile,12.0,-10.755295230212722,-9.506606018609283,0.08333333333333333,1.2486892116034367,18.093960599770696
2025-10-04,2025-09-04,2025-10-03,active_exec_baseline,12.0,-7.704310535623411,-6.7126588714473705,0.3333333333333333,0.9916516641760406,11.740279695791799
2025-10-04,2025-09-04,2025-10-03,active_exec_state_top_quantile,12.0,-8.17111212900566,-6.658648936732489,0.25,1.5124631922731702,13.155463194848188
2025-10-04,2025-09-04,2025-10-03,active_exec_model_top_quantile,12.0,-4.689474825153104,-3.3584196610620327,0.4166666666666667,1.3310551640910706,10.093128828330135
2025-10-05,2025-09-05,2025-10-04,active_exec_baseline,12.0,-8.623287751934518,-7.1877371039518865,0.0,1.4355506479826328,16.950212842304364
2025-10-05,2025-09-05,2025-10-04,active_exec_state_top_quantile,12.0,-10.659220903309043,-9.147554884949702,0.08333333333333333,1.5116660183593431,17.53914181436509
2025-10-05,2025-09-05,2025-10-04,active_exec_model_top_quantile,12.0,-7.034146202116438,-5.775672885633181,0.16666666666666666,1.258473316483259,12.731992027089264
2025-10-06,2025-09-06,2025-10-05,active_exec_baseline,12.0,-9.604019476330928,-8.628547163047946,0.16666666666666666,0.9754723132829852,14.874408926711382
2025-10-06,2025-09-06,2025-10-05,active_exec_state_top_quantile,7.0,-10.331184796516965,-9.362439701459992,0.14285714285714285,0.9687450950569721,13.151862860901119
2025-10-06,2025-09-06,2025-10-05,active_exec_model_top_quantile,7.0,-10.420864164182664,-9.43290652663259,0.0,0.9879576375500763,17.921105662050486
2025-10-07,2025-09-07,2025-10-06,active_exec_baseline,12.0,-7.509014067703798,-6.4529229924892775,0.16666666666666666,1.0560910752145196,11.738949757210774
2025-10-07,2025-09-07,2025-10-06,active_exec_state_top_quantile,12.0,-10.498277890783896,-9.263964166575331,0.0,1.2343137242085622,13.795096336372731
2025-10-07,2025-09-07,2025-10-06,active_exec_model_top_quantile,12.0,-3.5914724059555905,-2.38504065695695,0.25,1.206431748998641,9.382290759069507
2025-10-08,2025-09-08,2025-10-07,active_exec_baseline,12.0,-11.395957296551941,-9.833896297214292,0.16666666666666666,1.562060999337648,14.924125670693625
2025-10-08,2025-09-08,2025-10-07,active_exec_state_top_quantile,11.0,-11.063092282703655,-9.650928010103923,0.09090909090909091,1.4121642725997325,13.321344741352311
2025-10-08,2025-09-08,2025-10-07,active_exec_model_top_quantile,7.0,-6.328600049700135,-5.384427523096879,0.2857142857142857,0.9441725266032576,15.0015007229533
2025-10-09,2025-09-09,2025-10-08,active_exec_baseline,12.0,-8.226684547624863,-6.403439077360363,0.16666666666666666,1.8232454702645011,11.446226622896146
2025-10-09,2025-09-09,2025-10-08,active_exec_state_top_quantile,12.0,-11.48690709767669,-9.146891759224259,0.16666666666666666,2.340015338452432,11.443752383379822
2025-10-09,2025-09-09,2025-10-08,active_exec_model_top_quantile,12.0,-8.95056916242205,-7.194879568079526,0.16666666666666666,1.7556895943425257,10.774100242706604
2025-10-10,2025-09-10,2025-10-09,active_exec_baseline,12.0,-11.91122625384667,-9.471700761261907,0.08333333333333333,2.4395254925847625,12.301343873875233
2025-10-10,2025-09-10,2025-10-09,active_exec_state_top_quantile,12.0,-10.646134890854414,-7.593103972183685,0.16666666666666666,3.0530309186707254,11.891281383643223
2025-10-10,2025-09-10,2025-10-09,active_exec_model_top_quantile,12.0,-6.4284696558765,-4.7689521074765135,0.3333333333333333,1.659517548399986,13.255118343199294
2025-10-11,2025-09-11,2025-10-10,active_exec_baseline,12.0,-9.99840671112316,-5.93584502380354,0.16666666666666666,4.0625616873196195,10.347060964644161
2025-10-11,2025-09-11,2025-10-10,active_exec_state_top_quantile,12.0,-8.823776351205666,-4.891975318502784,0.25,3.9318010327028823,11.429040808942451
2025-10-11,2025-09-11,2025-10-10,active_exec_model_top_quantile,12.0,-10.554263681355105,-6.892066026037194,0.08333333333333333,3.662197655317909,13.602858523491063
2025-10-12,2025-09-12,2025-10-11,active_exec_baseline,12.0,-12.925551505900321,-9.730970243055035,0.16666666666666666,3.194581262845285,14.543916453913786
2025-10-12,2025-09-12,2025-10-11,active_exec_state_top_quantile,12.0,-17.179945652477695,-13.851279021000243,0.08333333333333333,3.328666631477448,23.15115385906128
2025-10-12,2025-09-12,2025-10-11,active_exec_model_top_quantile,12.0,-14.332224753293325,-12.101445753318947,0.08333333333333333,2.230778999974381,20.36372446692775
2025-10-13,2025-09-13,2025-10-12,active_exec_baseline,12.0,-6.413269224250352,-3.8197573289669915,0.25,2.5935118952833593,14.102468405769178
2025-10-13,2025-09-13,2025-10-12,active_exec_state_top_quantile,12.0,-14.599457771853196,-11.682238822877622,0.08333333333333333,2.9172189489755733,16.230965234455
2025-10-13,2025-09-13,2025-10-12,active_exec_model_top_quantile,12.0,-5.86745928442226,-3.683844306044174,0.4166666666666667,2.1836149783780856,16.27054562566565
2025-10-14,2025-09-14,2025-10-13,active_exec_baseline,12.0,-5.670003646690478,-2.822112550435141,0.16666666666666666,2.847891096255338,13.597926237087869
2025-10-14,2025-09-14,2025-10-13,active_exec_state_top_quantile,12.0,-13.450256094353604,-10.896868197587075,0.16666666666666666,2.55338789676653,19.340819967440154
2025-10-14,2025-09-14,2025-10-13,active_exec_model_top_quantile,12.0,-7.142171577535201,-5.111058695153189,0.3333333333333333,2.031112882382013,14.884848157170525
2025-10-15,2025-09-15,2025-10-14,active_exec_baseline,12.0,-11.179561999928005,-7.986144823699665,0.16666666666666666,3.193417176228339,9.86075812484379
2025-10-15,2025-09-15,2025-10-14,active_exec_state_top_quantile,12.0,-9.319428662276115,-5.935740978082983,0.25,3.383687684193133,9.970743723116033
2025-10-15,2025-09-15,2025-10-14,active_exec_model_top_quantile,12.0,-7.68850138445718,-5.662743162722964,0.16666666666666666,2.025758221734217,14.061030335104178
2025-10-16,2025-09-16,2025-10-15,active_exec_baseline,12.0,-7.860948908538557,-5.426990558633821,0.16666666666666666,2.4339583499047373,12.409405555583268
2025-10-16,2025-09-16,2025-10-15,active_exec_state_top_quantile,12.0,-4.863025342232597,-2.422889626842499,0.3333333333333333,2.440135715390099,12.73914305016416
2025-10-16,2025-09-16,2025-10-15,active_exec_model_top_quantile,12.0,-10.29599249461873,-8.578036618560189,0.25,1.7179558760585418,20.739751358582932
2025-10-17,2025-09-17,2025-10-16,active_exec_baseline,12.0,-11.18690175511834,-8.76667573027591,0.16666666666666666,2.420226024842432,19.708736744320127
