variant,folds,mean_events,median_events,mean_pair_net_15m_bps,median_pair_net_15m_bps,mean_pair_net_max_15m_bps,mean_pair_win_15m,positive_folds
active_baseline,4,73.5,71.5,25.136982736440352,25.871922623997296,61.5785797650874,0.7794041113713246,4
active_state_top_quantile,4,28.25,30.0,18.7468281080654,17.22663879354731,45.72177429245142,0.8007255536454647,4
active_model_top_quantile,4,33.75,33.5,41.422713867000205,42.37320746529824,93.94775126621694,0.8204432693563128,4
