test_day,train_start_day,train_end_day,variant,events,fast_pair_net_15m_bps,fast_gap_close_15m_bps,fast_pair_win_15m,fast_entry_decay_bps,bb_spread_bps_ob,entry_fill_lag_ms,exit_fill_lag_ms
2025-10-01,2025-09-01,2025-09-30,active_fast_exec_baseline,12.0,-13.759938538271092,-3.698482726467907,0.08333333333333333,13.090619138248679,2.061455811803184,7943.083333333333,6808.333333333333
2025-10-01,2025-09-01,2025-09-30,active_fast_exec_state_top_quantile,12.0,-12.847245589072513,-0.7942526235985938,0.08333333333333333,10.386714777306702,4.052992965473916,6106.666666666667,7647.916666666667
2025-10-01,2025-09-01,2025-09-30,active_fast_exec_model_top_quantile,12.0,-5.571502082617832,4.15244821897374,0.3333333333333333,7.230756806655876,1.7239503015915725,2243.1666666666665,4178.416666666667
2025-10-02,2025-09-02,2025-10-01,active_fast_exec_baseline,12.0,-9.999894661022651,0.8213162010708058,0.16666666666666666,10.869856901214632,2.8212108620934555,6581.416666666667,2259.25
2025-10-02,2025-09-02,2025-10-01,active_fast_exec_state_top_quantile,12.0,-14.847762543698863,-4.602740218363025,0.0,15.224261206951233,2.2450223253358357,7615.916666666667,2056.9166666666665
2025-10-02,2025-09-02,2025-10-01,active_fast_exec_model_top_quantile,12.0,-11.083489139063145,-1.2289142990965876,0.25,10.689970900217098,1.854574839966557,2874.3333333333335,1412.5
2025-10-03,2025-09-03,2025-10-02,active_fast_exec_baseline,12.0,-9.416586347469112,0.5093164564839069,0.25,11.49007857116404,1.9259028039530206,3551.1666666666665,8596.833333333334
2025-10-03,2025-09-03,2025-10-02,active_fast_exec_state_top_quantile,12.0,-10.49371495656648,-0.3532456414114444,0.08333333333333333,10.380119097542588,2.140469315155034,2833.5833333333335,8512.25
2025-10-03,2025-09-03,2025-10-02,active_fast_exec_model_top_quantile,12.0,-1.2929187060152711,8.23094199238067,0.5,7.601947382091153,1.5238606983959404,3499.1666666666665,8847.75
2025-10-04,2025-09-04,2025-10-03,active_fast_exec_baseline,12.0,-6.192517143066159,3.3537376745046417,0.0,11.546635948816906,1.5462548175708015,6467.666666666667,11402.416666666666
2025-10-04,2025-09-04,2025-10-03,active_fast_exec_state_top_quantile,12.0,-5.716493830230029,4.195842134153323,0.08333333333333333,12.920487420338043,1.9123359643833526,5889.916666666667,6198.833333333333
2025-10-04,2025-09-04,2025-10-03,active_fast_exec_model_top_quantile,11.0,-1.7166033195437995,7.8070551349807005,0.2727272727272727,9.34822382794954,1.5236584545245,15136.181818181818,9816.545454545454
2025-10-05,2025-09-05,2025-10-04,active_fast_exec_baseline,12.0,-8.833700309660399,1.3395080305385798,0.16666666666666666,12.697939625043821,2.173208340198978,3506.0,3387.0833333333335
2025-10-05,2025-09-05,2025-10-04,active_fast_exec_state_top_quantile,12.0,-8.044596876247832,2.0084279766182287,0.16666666666666666,12.241640769625286,2.0530248528660615,5099.5,8041.5
2025-10-05,2025-09-05,2025-10-04,active_fast_exec_model_top_quantile,12.0,-7.161436333185825,2.420315978174196,0.25,10.14063295999651,1.5817523113600214,5015.333333333333,3869.0833333333335
2025-10-06,2025-09-06,2025-10-05,active_fast_exec_baseline,12.0,-11.374760707374845,-1.9159162792175188,0.16666666666666666,14.170260479583197,1.4588444281573267,3982.4166666666665,2348.5833333333335
2025-10-06,2025-09-06,2025-10-05,active_fast_exec_state_top_quantile,7.0,-12.060931367853824,-2.590118610461545,0.14285714285714285,15.25001481023271,1.4708127573922787,5010.285714285715,5252.428571428572
2025-10-06,2025-09-06,2025-10-05,active_fast_exec_model_top_quantile,3.0,-5.538255573390649,3.9470023199550397,0.3333333333333333,8.782364602737772,1.4852578933456886,7250.0,8970.666666666666
2025-10-07,2025-09-07,2025-10-06,active_fast_exec_baseline,12.0,-5.458820291680465,4.041893787434155,0.4166666666666667,10.617188762460279,1.5007140791146194,6813.916666666667,8387.916666666666
2025-10-07,2025-09-07,2025-10-06,active_fast_exec_state_top_quantile,12.0,-3.8897644480671847,5.872248195543752,0.4166666666666667,10.683221749220595,1.7620126436109385,9190.25,12678.416666666666
2025-10-07,2025-09-07,2025-10-06,active_fast_exec_model_top_quantile,8.0,-0.619357163891151,8.880457679631276,0.5,8.886204909585445,1.4998148435224268,5964.5,12494.75
2025-10-08,2025-09-08,2025-10-07,active_fast_exec_baseline,12.0,-13.900880950659106,-3.5111418154476497,0.0,16.101440495182306,2.3897391352114545,3409.3333333333335,4448.083333333333
2025-10-08,2025-09-08,2025-10-07,active_fast_exec_state_top_quantile,11.0,-13.347202106054764,-3.21445072738932,0.0,14.030397461047029,2.1327513786654406,5622.818181818182,4813.454545454545
2025-10-08,2025-09-08,2025-10-07,active_fast_exec_model_top_quantile,5.0,-9.379123827062783,0.3152062105880038,0.2,12.89029890119897,1.694330037650787,5884.0,7304.2
2025-10-09,2025-09-09,2025-10-08,active_fast_exec_baseline,12.0,-7.430345875340841,3.2926015801420143,0.16666666666666666,9.43112658378718,2.722947455482855,19095.5,8096.416666666667
2025-10-09,2025-09-09,2025-10-08,active_fast_exec_state_top_quantile,12.0,-11.131797348877837,0.44129993451186245,0.08333333333333333,11.945352507435244,3.5730972833897003,15242.5,7697.916666666667
2025-10-09,2025-09-09,2025-10-08,active_fast_exec_model_top_quantile,12.0,-2.8083880536614316,6.940600042816825,0.4166666666666667,9.69482305860118,1.7489880964782563,4289.083333333333,9292.916666666666
2025-10-10,2025-09-10,2025-10-09,active_fast_exec_baseline,12.0,-12.077097509449189,-0.20622792594932018,0.0,13.028400449884751,3.870869583499871,5129.583333333333,7344.083333333333
2025-10-10,2025-09-10,2025-10-09,active_fast_exec_state_top_quantile,12.0,-13.61528647143173,-2.0177996103019438,0.0,12.203218887614037,3.5974868611297857,11475.0,9482.25
2025-10-10,2025-09-10,2025-10-09,active_fast_exec_model_top_quantile,12.0,-9.434983773498532,1.360428377155757,0.16666666666666666,11.724382859151966,2.79541215065429,4052.25,4324.0
2025-10-11,2025-09-11,2025-10-10,active_fast_exec_baseline,12.0,-9.636124534748726,4.610251979364581,0.16666666666666666,10.397762172641897,6.246376514113305,1130.75,882.25
2025-10-11,2025-09-11,2025-10-10,active_fast_exec_state_top_quantile,12.0,-13.364444992372212,0.14156037010687492,0.0,13.22771655319216,5.506005362479086,5012.5,2776.0
2025-10-11,2025-09-11,2025-10-10,active_fast_exec_model_top_quantile,7.0,-17.839834879229695,-5.420416657694644,0.14285714285714285,18.833177463185738,4.419418221535052,3388.714285714286,1980.0
2025-10-12,2025-09-12,2025-10-11,active_fast_exec_baseline,12.0,-11.000353379464359,1.7622299933938343,0.16666666666666666,16.001664176629735,4.7625833728581926,5321.166666666667,2737.0
2025-10-12,2025-09-12,2025-10-11,active_fast_exec_state_top_quantile,12.0,-6.606700747787208,6.055947008019036,0.3333333333333333,16.982706244350517,4.662647755806243,5690.25,4008.1666666666665
2025-10-12,2025-09-12,2025-10-11,active_fast_exec_model_top_quantile,12.0,1.7300399818240555,12.427220482136107,0.4166666666666667,10.817950945759454,2.6971805003120513,2070.9166666666665,2761.3333333333335
2025-10-13,2025-09-13,2025-10-12,active_fast_exec_baseline,12.0,-10.465163815712776,1.1182352254781218,0.16666666666666666,12.716566381994477,3.5833990411909,3490.4166666666665,3243.0833333333335
2025-10-13,2025-09-13,2025-10-12,active_fast_exec_state_top_quantile,12.0,-9.21099381195305,3.0541108829327626,0.08333333333333333,11.408111174033285,4.265104694885813,7667.166666666667,4161.416666666667
2025-10-13,2025-09-13,2025-10-12,active_fast_exec_model_top_quantile,12.0,-5.183014961441491,5.302530732982832,0.25,14.521588963858541,2.485545694424322,4269.583333333333,5794.75
2025-10-14,2025-09-14,2025-10-13,active_fast_exec_baseline,12.0,-7.130521107140414,5.352852589737464,0.25,10.714668671764626,4.4833736968778775,8853.416666666666,5953.916666666667
