bucket,events,mean_score,pair_net_15m_bps,pair_net_max_15m_bps,pair_win_15m
9,12,15.67990084527851,21.350746304191897,49.618229998003905,0.75
8,12,13.536255471064848,20.318976143956547,44.36656582283663,0.9166666666666666
7,11,11.529776974084973,15.922061635053181,36.87435901573916,0.8181818181818182
6,12,10.367006180835364,16.8150986609925,41.0978311626003,0.75
5,11,9.126304652859483,4.060642272081782,35.227347534804395,0.45454545454545453
4,12,7.395470517075769,8.566555698588614,32.82352449431614,0.6666666666666666
3,12,5.7437872090644575,5.332049742622864,24.592801277304776,0.4166666666666667
2,11,2.8086133868451184,0.1831449255879863,6.535218962159681,0.2727272727272727
1,12,0.8932502773480117,-5.998033785073975,-1.5884109591107312,0.08333333333333333
0,12,-0.8140055381738579,-4.940543707251714,-1.7598724662044896,0.0
