split,variant,events,pair_net_15m_bps,pair_net_max_15m_bps,pair_win_15m,pair_win_max_15m,gap_close_15m_bps
train,baseline,204.0,11.054754998549742,36.26887651548562,0.6911764705882353,0.946078431372549,19.054754998549743
train,state_top_quantile,82.0,9.477575720783117,33.80883182103506,0.6219512195121951,0.8780487804878049,17.47757572078312
train,model_top_quantile,82.0,27.1274369301549,45.58542603885365,0.9878048780487805,1.0,35.1274369301549
test,baseline,117.0,8.197970306463873,26.793283868347814,0.5128205128205128,0.7435897435897436,16.197970306463873
test,state_top_quantile,36.0,5.895978174629416,29.847041290140833,0.4722222222222222,0.7777777777777778,13.895978174629416
test,model_top_quantile,20.0,21.14619572541471,48.39549312461484,0.85,1.0,29.146195725414707
