month,variant,folds,mean_events,mean_execution_pair_net_15m_bps,mean_execution_pair_win_15m
2025-10,active_exec_baseline,31,12.0,-9.695983653539063,0.18548387096774194
2025-10,active_exec_model_top_quantile,31,11.67741935483871,-8.385229730487266,0.2162058371735791
2025-10,active_exec_state_top_quantile,31,11.806451612903226,-10.018755741308023,0.16076665270213655
2025-11,active_exec_baseline,30,12.0,-11.762230965176768,0.2
2025-11,active_exec_model_top_quantile,30,12.0,-9.448903755377051,0.23888888888888887
2025-11,active_exec_state_top_quantile,30,12.0,-11.621100788247235,0.18333333333333332
2025-12,active_exec_baseline,31,12.0,-10.281914882531536,0.26075268817204306
2025-12,active_exec_model_top_quantile,31,12.0,-9.190626522286236,0.23387096774193547
2025-12,active_exec_state_top_quantile,31,12.0,-11.52682599476648,0.21505376344086022
2026-01,active_exec_baseline,31,12.0,-11.33659445581985,0.2043010752688172
2026-01,active_exec_model_top_quantile,31,12.0,-8.388237045753689,0.24731182795698922
2026-01,active_exec_state_top_quantile,31,12.0,-9.953220073167364,0.22311827956989244
2026-02,active_exec_baseline,28,12.0,-11.024828338367186,0.28273809523809523
2026-02,active_exec_model_top_quantile,28,12.0,-8.345706413610012,0.35714285714285715
2026-02,active_exec_state_top_quantile,28,12.0,-9.220908347051155,0.27380952380952384
2026-03,active_exec_baseline,4,12.0,-10.44872438527003,0.3541666666666667
2026-03,active_exec_model_top_quantile,4,12.0,-3.4235906117407526,0.5208333333333333
2026-03,active_exec_state_top_quantile,4,12.0,-5.106537054500004,0.33333333333333337
