variant,folds,mean_events,median_events,mean_execution_pair_net_15m_bps,median_execution_pair_net_15m_bps,mean_delayed_pair_net_15m_bps,mean_execution_pair_win_15m,mean_execution_extra_cost_bps,mean_entry_decay_bps,positive_folds
active_exec_baseline,155,12.0,12.0,-10.800685823995279,-10.838147753648345,-8.098544950593213,0.22903225806451613,2.702140873402065,18.5858153829956,7
active_exec_state_top_quantile,155,11.961290322580645,12.0,-10.34649975270547,-10.646134890854414,-7.353527801560831,0.21333612623935205,2.9929719511446358,17.575276463987933,7
active_exec_model_top_quantile,155,11.935483870967742,12.0,-8.617600948023858,-8.440062039188314,-6.94552120072887,0.26367127496159753,1.6720797472949873,17.904722881301442,13
