test_day,symbols
2026-03-01,"['DYDXUSDT', 'CHZUSDT', 'CRVUSDT', 'OPNUSDT', 'HUMAUSDT', 'ATHUSDT', 'GIGGLEUSDT']"
2026-03-02,"['DYDXUSDT', 'CHZUSDT', 'CRVUSDT', 'OPNUSDT', 'HUMAUSDT', 'ATHUSDT', 'GIGGLEUSDT', 'GALAUSDT']"
2026-03-03,"['DYDXUSDT', 'CHZUSDT', 'CRVUSDT', 'OPNUSDT', 'HUMAUSDT', 'ATHUSDT', 'GIGGLEUSDT', 'GALAUSDT']"
2026-03-04,"['DYDXUSDT', 'CRVUSDT', 'HUMAUSDT', 'GALAUSDT']"
