variant,folds,mean_events,median_events,mean_pair_net_15m_bps,median_pair_net_15m_bps,mean_pair_net_max_15m_bps,mean_pair_win_15m,positive_folds,nonempty_folds
baseline,4,55.75,54.0,9.208683048190121,9.140815675487952,30.97507296695926,0.5820230005877949,4,4
state_top_quantile,4,21.5,22.5,7.674884329997742,7.584318105921971,30.676337817899274,0.5299679487179487,4,4
model_top_quantile,4,20.25,19.5,16.25875789787901,16.925676750899292,44.57714026807957,0.7763134057971015,4,4
