test_day,train_start_day,train_end_day,symbol,rank,train_events,mean_edge_bps,positive_day_share,selection_score,was_active_prev_day
2026-01-31,2026-01-01,2026-01-30,DYDXUSDT,1,696.0,19.36570363500877,1.0,14.418282245723214,False
2026-01-31,2026-01-01,2026-01-30,CRVUSDT,2,646.0,10.786750007543207,1.0,9.645357363473945,False
2026-01-31,2026-01-01,2026-01-30,INITUSDT,4,388.0,6.027589709637641,0.9666666666666667,5.3190508754603565,False
2026-01-31,2026-01-01,2026-01-30,ATHUSDT,5,403.0,4.73092219269783,0.9,5.2787710035709425,False
2026-01-31,2026-01-01,2026-01-30,BREVUSDT,7,74.0,28.67244092742399,0.8571428571428571,4.488304826091384,False
2026-01-31,2026-01-01,2026-01-30,GALAUSDT,8,600.0,3.2363151568491264,0.8333333333333334,3.6524734393745675,False
2026-02-01,2026-01-02,2026-01-31,DYDXUSDT,1,694.0,19.486688270822658,1.0,14.270483850702734,True
2026-02-01,2026-01-02,2026-01-31,CRVUSDT,2,646.0,10.969616863612776,1.0,9.909018515684375,True
2026-02-01,2026-01-02,2026-01-31,INITUSDT,5,381.0,6.103618190585534,0.9666666666666667,5.218537468198922,True
2026-02-01,2026-01-02,2026-01-31,ATHUSDT,4,388.0,4.93878490988245,0.9,5.589023045575067,True
2026-02-01,2026-01-02,2026-01-31,BREVUSDT,7,62.0,22.50453094943524,0.8571428571428571,4.078033005353676,True
2026-02-01,2026-01-02,2026-01-31,GALAUSDT,8,601.0,3.436466163395663,0.8333333333333334,3.887122439593867,True
2026-02-02,2026-01-03,2026-02-01,DYDXUSDT,1,694.0,19.962047606608575,1.0,14.90215708067872,True
2026-02-02,2026-01-03,2026-02-01,CRVUSDT,2,647.0,11.498796375557594,1.0,10.830514372919236,True
2026-02-02,2026-01-03,2026-02-01,INITUSDT,5,366.0,6.18797293849782,0.9655172413793104,5.210712465604819,True
2026-02-02,2026-01-03,2026-02-01,ATHUSDT,4,379.0,5.2166449509548425,0.9,5.937230017400543,True
2026-02-02,2026-01-03,2026-02-01,BREVUSDT,10,43.0,14.192267447889106,0.8333333333333334,2.4986611786412616,True
2026-02-02,2026-01-03,2026-02-01,GALAUSDT,6,601.0,3.542658209032878,0.8666666666666667,4.238535051431068,True
2026-02-03,2026-01-04,2026-02-02,DYDXUSDT,1,694.0,20.125274445131623,1.0,14.954886353961474,True
2026-02-03,2026-01-04,2026-02-02,CRVUSDT,2,647.0,11.622338100957075,1.0,11.025759935401293,True
2026-02-03,2026-01-04,2026-02-02,INITUSDT,5,356.0,6.27582766368676,0.9642857142857143,5.238083795158971,True
2026-02-03,2026-01-04,2026-02-02,ATHUSDT,4,369.0,5.6596492712679565,0.9333333333333333,7.115914945241442,True
2026-02-03,2026-01-04,2026-02-02,GALAUSDT,6,601.0,3.823816190059923,0.9,4.954805271443828,True
2026-02-04,2026-01-05,2026-02-03,DYDXUSDT,1,693.0,20.689758188958,1.0,14.64972594032555,True
2026-02-04,2026-01-05,2026-02-03,CRVUSDT,3,648.0,11.378539839390484,0.9666666666666667,9.884993009462006,True
