symbol,train_signals,train_avg_net_bps,test_signals,test_avg_net_bps,total_signals,total_net_bps_sum
CRVUSDT,13412,5.941134141905082,9224,10.187849860286986,22636,173655.21822251697
GALAUSDT,4110,3.5517823952471863,5117,6.324593633661288,9227,46960.771267910655
FILUSDT,627,11.041205566864045,2079,0.5492159692965923,2706,8064.6558905913525
SEIUSDT,634,1.3483859867989687,1983,1.374895071020093,2617,3581.293641463388
