min_signal_bps,fee_bps_roundtrip,symbols_analyzed,avg_test_net_pnl_bps,test_profitable_symbols
12.0,0.0,8,7.965008276298342,7
8.0,0.0,8,6.427627126368294,8
12.0,2.0,8,5.965008276298342,7
8.0,2.0,8,4.427627126368293,6
12.0,4.0,8,3.965008276298342,5
4.0,0.0,8,3.8964668537582514,8
8.0,4.0,8,2.427627126368292,6
12.0,6.0,8,1.9650082762983425,5
4.0,2.0,8,1.8964668537582499,5
8.0,6.0,8,0.42762712636829225,5
4.0,4.0,8,-0.1035331462417506,3
4.0,6.0,8,-2.10353314624175,0
