month,fills,pnl_dollars
2025-08,133,-191.55
2025-09,136,-402.99
2025-10,199,-594.51
2025-11,217,606.39
2025-12,256,1114.95
2026-01,221,909.60
2026-02,246,3536.89
2026-03,13,204.69
