month,signals,avg_net_bps
2025-08,1418,1.5367213532754969
2025-09,1522,3.028909897580736
2025-10,3854,5.75249348159932
2025-11,5561,5.933173626674205
2025-12,7735,5.27233005025883
2026-01,6771,5.1660781725236316
2026-02,10997,8.120839676747405
2026-03,797,9.43166965496646
