month,signals,avg_net_bps
2025-08,133,0.6918044761397013
2025-09,136,2.349800433064088
2025-10,199,1.1437236547631948
2025-11,217,3.445797086411127
2025-12,257,3.699744624770721
2026-01,221,3.515146319158637
2026-02,246,6.210848182612762
2026-03,13,12.242854988117289
