symbol,overlap_days,train_days,test_days,aligned_bars_total,signal_count_total,avg_net_pnl_bps_total,hit_rate_total,signal_count_train,avg_net_pnl_bps_train,hit_rate_train,signal_count_test,avg_net_pnl_bps_test,hit_rate_test,mean_signal_spread_bps_total
RENDERUSDT,245,30,15,64800,7654,-1.624592,0.350274,5646,-1.913562,0.321112,2008,-0.812080,0.432271,12.219378
DOTUSDT,245,30,15,64800,774,-0.333321,0.441860,205,1.184596,0.570732,569,-0.880198,0.395431,11.062771
POLUSDT,245,30,15,64800,109,0.243899,0.376147,60,1.219758,0.416667,49,-0.951032,0.326531,13.128710
UNIUSDT,245,30,15,64800,177,-0.086858,0.361582,121,0.331687,0.371901,56,-0.991212,0.339286,12.980153
JTOUSDT,155,30,15,64800,8367,-0.398648,0.447950,7687,-0.337671,0.454534,680,-1.087954,0.373529,13.513407
EIGENUSDT,245,30,15,64800,4174,-1.175818,0.369190,2017,-0.925340,0.371839,2157,-1.410039,0.366713,12.430016
1000PEPEUSDT,245,30,15,64800,73,-0.588255,0.232877,47,-0.065935,0.234043,26,-1.532450,0.230769,11.724509
WLFIUSDT,192,30,15,64800,9395,-1.578864,0.398616,6040,-1.574535,0.392550,3355,-1.586656,0.409538,14.475118
SIRENUSDT,245,30,15,64800,26019,-0.034906,0.439679,20488,0.431410,0.458415,5531,-1.762236,0.370277,20.148343
SPXUSDT,245,30,15,64800,9550,-1.868899,0.367853,6224,-1.844341,0.362789,3326,-1.914856,0.377330,12.504650
FIOUSDT,245,30,15,64800,47075,-2.798328,0.382220,32920,-3.155784,0.378919,14155,-1.967000,0.389898,28.053529
2ZUSDT,152,30,15,64800,9666,-2.959246,0.240223,8126,-3.144092,0.229264,1540,-1.983881,0.298052,13.119445
KAITOUSDT,245,30,15,64800,13204,-3.853044,0.188049,10145,-4.408134,0.132183,3059,-2.012117,0.373325,17.231260
FORMUSDT,245,30,15,64800,35880,-1.416502,0.373969,22877,-0.979591,0.407921,13003,-2.185189,0.314235,19.742841
CCUSDT,123,30,15,64800,12750,-3.481668,0.228863,11013,-3.681041,0.218469,1737,-2.217597,0.294761,14.432363
AIXBTUSDT,245,30,15,64800,17013,-0.658220,0.425851,8237,1.004783,0.526405,8776,-2.219085,0.331472,14.541653
AUCTIONUSDT,245,30,15,64800,29816,-5.017833,0.144922,25680,-5.418352,0.121885,4136,-2.531051,0.287959,30.735589
ATOMUSDT,245,30,15,64800,617,-1.321517,0.364668,254,1.300496,0.582677,363,-3.156204,0.212121,11.944172
BEATUSDT,102,30,15,64800,20564,-2.700558,0.297899,11762,-2.104350,0.336847,8802,-3.497264,0.245853,13.879417
ATHUSDT,245,30,15,64800,18468,0.161267,0.469948,13141,1.661073,0.546534,5327,-3.538555,0.281021,21.693945
AVNTUSDT,175,30,15,64800,29713,-4.176287,0.205331,19968,-4.466429,0.186849,9745,-3.581769,0.243202,18.858368
VVVUSDT,245,30,15,64800,14860,-1.632188,0.365680,9013,-0.365903,0.451237,5847,-3.584132,0.233795,19.974340
ARCUSDT,245,30,15,64800,16696,-3.231715,0.292825,11179,-3.049565,0.301458,5517,-3.600800,0.275331,17.649232
IMXUSDT,245,30,15,64800,25862,-3.225725,0.289885,14996,-2.934877,0.308816,10866,-3.627120,0.263759,15.143706
GRASSUSDT,245,30,15,64800,46566,-4.455860,0.229395,33208,-4.682212,0.215099,13358,-3.893150,0.264935,18.015610
FFUSDT,155,30,15,64800,17723,-3.991914,0.188004,13032,-4.023366,0.193754,4691,-3.904540,0.172032,14.784391
ANIMEUSDT,245,30,15,64800,26942,-4.338032,0.176119,18485,-4.525534,0.163808,8457,-3.928197,0.203027,19.246277
BIOUSDT,245,30,15,64800,15285,-2.495218,0.322931,4585,1.707382,0.585823,10700,-4.296051,0.210280,22.286542
CYBERUSDT,245,30,15,64800,19107,-2.359962,0.325326,9076,-0.167503,0.460996,10031,-4.343688,0.202572,21.578908
COAIUSDT,152,30,15,64800,44438,-4.321270,0.263806,28109,-4.114796,0.267743,16329,-4.676697,0.257027,19.124519
