extra_slippage_bps,train_signals,train_avg_net_bps,test_signals,test_avg_net_bps
0.0,18783,5.433531883179002,18403,7.075145881689565
1.0,18783,4.433531883179018,18403,6.075145881689565
2.0,18783,3.4335318831790196,18403,5.075145881689557
3.0,18783,2.433531883179031,18403,4.07514588168956
4.0,18783,1.4335318831790347,18403,3.075145881689531
