min_score,sei_score_extra,max_velocity,min_spread_abs,train_fills,train_win_rate,train_avg_net_bps,train_total_pnl_dollars,test_fills,test_win_rate,test_avg_net_bps,test_total_pnl_dollars
10.0,8.0,14.0,14.0,621,0.597424,3.989585,2508.03,203,0.630542,9.377190,1921.37
10.0,10.0,10.0,10.0,793,0.561160,2.739144,2195.44,201,0.592040,8.635567,1750.49
10.0,10.0,10.0,12.0,673,0.589896,3.714212,2530.70,199,0.603015,9.513799,1910.86
10.0,10.0,10.0,14.0,588,0.593537,4.192874,2495.61,192,0.619792,9.971865,1932.61
10.0,10.0,12.0,10.0,813,0.558426,2.741075,2253.04,204,0.598039,7.804615,1604.49
10.0,10.0,12.0,12.0,690,0.597101,3.670702,2564.67,202,0.628713,8.983941,1830.91
10.0,10.0,12.0,14.0,607,0.594728,3.933283,2415.80,195,0.630769,9.060108,1782.00
10.0,10.0,14.0,10.0,832,0.564904,2.894786,2437.22,206,0.611650,8.454149,1756.39
10.0,10.0,14.0,12.0,713,0.596073,3.596351,2596.89,204,0.637255,9.512486,1959.07
10.0,10.0,14.0,14.0,619,0.594507,3.983645,2496.09,197,0.644670,9.694421,1927.72
10.0,12.0,10.0,10.0,788,0.559645,2.736767,2179.53,199,0.592965,8.728443,1751.73
10.0,12.0,10.0,12.0,670,0.591045,3.740241,2537.16,197,0.604061,9.620895,1912.97
10.0,12.0,10.0,14.0,586,0.595563,4.219201,2502.83,190,0.626316,10.140882,1945.02
10.0,12.0,12.0,10.0,808,0.556931,2.738769,2237.12,202,0.599010,7.887884,1605.72
10.0,12.0,12.0,12.0,687,0.598253,3.695897,2571.13,200,0.630000,9.084132,1833.02
10.0,12.0,12.0,14.0,605,0.596694,3.957925,2423.01,193,0.637306,9.217049,1794.39
10.0,12.0,14.0,10.0,827,0.563482,2.893463,2421.28,202,0.613861,8.614050,1754.85
10.0,12.0,14.0,12.0,710,0.597183,3.620416,2603.35,200,0.635000,9.605748,1939.30
10.0,12.0,14.0,14.0,617,0.596434,4.007971,2503.30,193,0.642487,9.831963,1915.26
