month,filled_trades,avg_net_bps,pnl_dollars,equity_end_dollars
2025-08,133,-4.326483165037594,-2836.8781775780617,97163.12182242193
2025-09,120,-5.1624618333333325,-2964.3163282511046,94198.80549417084
2025-10,98,-6.222514627040819,-2830.9356929728865,91367.86980119794
2025-11,217,-2.6210080253456227,-2564.216749838872,88803.65305135907
2025-12,256,-2.006046290039063,-2254.5219755019925,86549.13107585709
2026-01,199,-3.0596561841708536,-2597.487788679887,83951.6432871772
2026-02,246,1.8263754038617883,1900.1882351401525,85851.83152231734
2026-03,13,2.248358053846154,125.06289809071536,85976.89442040806
