excluded_symbol,train_signals,train_avg_net_bps,test_signals,test_avg_net_bps
CRVUSDT,5371,4.165991109759859,9179,3.9471818879447933
GALAUSDT,14673,5.960621803127211,13286,7.36421526699442
SEIUSDT,18149,5.576238506040027,16420,7.763550105657723
FILUSDT,18156,5.239876265219617,16324,7.906278464871698
