symbol,raw_train_signals,raw_train_avg_net_bps,raw_test_signals,raw_test_avg_net_bps,filt_train_signals,filt_train_avg_net_bps,filt_test_signals,filt_test_avg_net_bps
CRVUSDT,52143,7.421504537357775,31734,13.219335061014274,8676,6.7448434481723805,4877,13.288544796218204
GALAUSDT,26999,3.890947233529442,23595,7.702214176871058,3789,3.746017082914187,3765,7.333656999898347
SEIUSDT,8094,0.48155425525803786,9887,1.9905760892796887,872,0.20929476936001723,1443,2.116980167707143
XPLUSDT,5770,0.8101477181130808,6489,1.7378017539219301,558,1.0883289572066368,1266,1.0643523235438417
FILUSDT,3367,1.3368494432988367,5984,1.138867595265431,679,0.6960245927888619,1709,0.788566812419197
