month,filled_trades,avg_net_bps,pnl_dollars,equity_end_dollars
2025-08,133,1.6735168349624063,1118.5796380186678,101118.57963801867
2025-09,136,1.0606720952205884,731.278070761102,101849.85770877977
2025-10,199,1.0457310595477387,1062.617768674685,102912.47547745446
2025-11,217,3.3789919746543786,3839.8633614745804,106752.33883892903
2025-12,256,3.993953709960936,5594.652886249096,112346.99172517813
2026-01,221,3.8816717712669684,4919.354582870017,117266.34630804815
2026-02,246,7.826375403861791,11836.845266316064,129103.19157436422
2026-03,13,8.248358053846154,693.156528296356,129796.34810266057
