symbol,trades,win_rate,total_pnl,profitable
BTCUSDT,52,0.5,29.4237181157342,True
ETHUSDT,71,0.4647887323943662,44.365999424027024,True
SOLUSDT,75,0.5333333333333333,14.813148471761075,True
DOGEUSDT,67,0.5223880597014925,211.80054925869305,True
XRPUSDT,61,0.4426229508196721,158.54370708589354,True
ADAUSDT,62,0.45161290322580644,30.50164067588736,True
AVAXUSDT,69,0.5507246376811594,61.95761277352191,True
DOTUSDT,66,0.45454545454545453,67.22836724526938,True
UNIUSDT,12,0.5,52.060155928620766,True
FILUSDT,17,0.5294117647058824,104.72439737688399,True
ATOMUSDT,17,0.5294117647058824,2.5292166080024083,True
ARBUSDT,16,0.4375,18.654263910836313,True
APTUSDT,15,0.4,2.4032376784149765,True
SUIUSDT,19,0.5263157894736842,6.770738198186292,True
ALGOUSDT,15,0.6666666666666666,5.122524128248891,True
ICPUSDT,20,0.5,125.53869542068428,True
AXSUSDT,18,0.5,0.38076498025733585,True
XTZUSDT,16,0.625,119.61633097269643,True
