a,b,c,cancel_delay_s,fee_model,slip_entry_bp,slip_exit_bp,split,n_signals,n_trades,trigger_rate,net_mean_bp,net_median_bp,net_total_bp,gross_mean_bp,pf,hit_rate_tp,pct_sl,pct_time,pct_double,max_dd_bp,p5_net_bp,p95_net_bp,weeks_positive,weeks_total,mean_time_to_entry_min,mean_time_in_trade_min,mean_MAE_bp,mean_MFE_bp
0.8000,3,1.5000,300,M,0,0,test_fwd,907,89,0.0981,36.1553,-15.1121,3217.8187,55.8856,1.2140,0.0337,0.0225,0.9438,0.0000,-3605.6655,-859.9154,902.5390,3,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,300,M,0,0,test_rev,700,83,0.1186,16.5613,-11.4303,1374.5898,36.4649,1.1369,0.0120,0.0241,0.9639,0.0000,-3854.4054,-539.1328,715.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,300,M,5,5,test_fwd,907,89,0.0981,26.2395,-25.1121,2335.3187,55.8856,1.1504,0.0337,0.0225,0.9438,0.0000,-4052.5477,-869.9154,892.5390,3,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,300,M,5,5,test_rev,700,83,0.1186,6.5914,-21.4303,547.0898,36.4649,1.0522,0.0120,0.0241,0.9639,0.0000,-4214.4054,-549.1328,705.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,300,M,10,10,test_fwd,907,89,0.0981,16.3238,-35.1121,1452.8187,55.8856,1.0906,0.0337,0.0225,0.9438,0.0000,-4500.0477,-879.9154,882.5390,2,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,300,M,10,10,test_rev,700,83,0.1186,-3.3784,-31.4303,-280.4102,36.4649,0.9744,0.0120,0.0241,0.9639,0.0000,-4574.4054,-559.1328,695.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,300,T,0,0,test_fwd,907,89,0.0981,35.8856,-15.1121,3193.8187,55.8856,1.2124,0.0337,0.0225,0.9438,0.0000,-3613.6655,-859.9154,902.5390,3,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,300,T,0,0,test_rev,700,83,0.1186,16.4649,-11.4303,1366.5898,36.4649,1.1361,0.0120,0.0241,0.9639,0.0000,-3854.4054,-539.1328,715.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,300,T,5,5,test_fwd,907,89,0.0981,25.8856,-25.1121,2303.8187,55.8856,1.1484,0.0337,0.0225,0.9438,0.0000,-4063.0477,-869.9154,892.5390,3,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,300,T,5,5,test_rev,700,83,0.1186,6.4649,-21.4303,536.5898,36.4649,1.0512,0.0120,0.0241,0.9639,0.0000,-4214.4054,-549.1328,705.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,1.5000,300,T,10,10,test_fwd,907,89,0.0981,15.8856,-35.1121,1413.8187,55.8856,1.0882,0.0337,0.0225,0.9438,0.0000,-4513.0477,-879.9154,882.5390,2,4,821.1461,591.3933,-280.7912,425.8492
0.8000,3,1.5000,300,T,10,10,test_rev,700,83,0.1186,-3.5351,-31.4303,-293.4102,36.4649,0.9732,0.0120,0.0241,0.9639,0.0000,-4574.4054,-559.1328,695.4813,1,4,890.4940,531.3976,-233.6422,390.4863
0.8000,3,2.0000,0,M,0,0,test_fwd,907,89,0.0981,34.4754,-15.1121,3068.3062,54.2057,1.2021,0.0337,0.0000,0.9663,0.0000,-3728.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,0,M,0,0,test_rev,700,83,0.1186,13.9722,-11.4303,1159.6961,33.8759,1.1131,0.0120,0.0120,0.9759,0.0000,-4069.2991,-539.1328,715.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,0,M,5,5,test_fwd,907,89,0.0981,24.5596,-25.1121,2185.8062,54.2057,1.1394,0.0337,0.0000,0.9663,0.0000,-4175.1860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,0,M,5,5,test_rev,700,83,0.1186,4.0024,-21.4303,332.1961,33.8759,1.0310,0.0120,0.0120,0.9759,0.0000,-4429.2991,-549.1328,705.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,0,M,10,10,test_fwd,907,89,0.0981,14.6439,-35.1121,1303.3062,54.2057,1.0805,0.0337,0.0000,0.9663,0.0000,-4622.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,0,M,10,10,test_rev,700,83,0.1186,-5.9675,-31.4303,-495.3039,33.8759,0.9556,0.0120,0.0120,0.9759,0.0000,-4789.2991,-559.1328,695.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,0,T,0,0,test_fwd,907,89,0.0981,34.2057,-15.1121,3044.3062,54.2057,1.2005,0.0337,0.0000,0.9663,0.0000,-3736.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,0,T,0,0,test_rev,700,83,0.1186,13.8759,-11.4303,1151.6961,33.8759,1.1123,0.0120,0.0120,0.9759,0.0000,-4069.2991,-539.1328,715.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,0,T,5,5,test_fwd,907,89,0.0981,24.2057,-25.1121,2154.3062,54.2057,1.1374,0.0337,0.0000,0.9663,0.0000,-4185.6860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,0,T,5,5,test_rev,700,83,0.1186,3.8759,-21.4303,321.6961,33.8759,1.0301,0.0120,0.0120,0.9759,0.0000,-4429.2991,-549.1328,705.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,0,T,10,10,test_fwd,907,89,0.0981,14.2057,-35.1121,1264.3062,54.2057,1.0781,0.0337,0.0000,0.9663,0.0000,-4635.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,0,T,10,10,test_rev,700,83,0.1186,-6.1241,-31.4303,-508.3039,33.8759,0.9545,0.0120,0.0120,0.9759,0.0000,-4789.2991,-559.1328,695.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,60,M,0,0,test_fwd,907,89,0.0981,34.4754,-15.1121,3068.3062,54.2057,1.2021,0.0337,0.0000,0.9663,0.0000,-3728.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,60,M,0,0,test_rev,700,83,0.1186,13.9722,-11.4303,1159.6961,33.8759,1.1131,0.0120,0.0120,0.9759,0.0000,-4069.2991,-539.1328,715.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,60,M,5,5,test_fwd,907,89,0.0981,24.5596,-25.1121,2185.8062,54.2057,1.1394,0.0337,0.0000,0.9663,0.0000,-4175.1860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,60,M,5,5,test_rev,700,83,0.1186,4.0024,-21.4303,332.1961,33.8759,1.0310,0.0120,0.0120,0.9759,0.0000,-4429.2991,-549.1328,705.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,60,M,10,10,test_fwd,907,89,0.0981,14.6439,-35.1121,1303.3062,54.2057,1.0805,0.0337,0.0000,0.9663,0.0000,-4622.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,60,M,10,10,test_rev,700,83,0.1186,-5.9675,-31.4303,-495.3039,33.8759,0.9556,0.0120,0.0120,0.9759,0.0000,-4789.2991,-559.1328,695.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,60,T,0,0,test_fwd,907,89,0.0981,34.2057,-15.1121,3044.3062,54.2057,1.2005,0.0337,0.0000,0.9663,0.0000,-3736.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,60,T,0,0,test_rev,700,83,0.1186,13.8759,-11.4303,1151.6961,33.8759,1.1123,0.0120,0.0120,0.9759,0.0000,-4069.2991,-539.1328,715.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,60,T,5,5,test_fwd,907,89,0.0981,24.2057,-25.1121,2154.3062,54.2057,1.1374,0.0337,0.0000,0.9663,0.0000,-4185.6860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,60,T,5,5,test_rev,700,83,0.1186,3.8759,-21.4303,321.6961,33.8759,1.0301,0.0120,0.0120,0.9759,0.0000,-4429.2991,-549.1328,705.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,60,T,10,10,test_fwd,907,89,0.0981,14.2057,-35.1121,1264.3062,54.2057,1.0781,0.0337,0.0000,0.9663,0.0000,-4635.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,60,T,10,10,test_rev,700,83,0.1186,-6.1241,-31.4303,-508.3039,33.8759,0.9545,0.0120,0.0120,0.9759,0.0000,-4789.2991,-559.1328,695.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,300,M,0,0,test_fwd,907,89,0.0981,34.4754,-15.1121,3068.3062,54.2057,1.2021,0.0337,0.0000,0.9663,0.0000,-3728.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,300,M,0,0,test_rev,700,83,0.1186,13.9722,-11.4303,1159.6961,33.8759,1.1131,0.0120,0.0120,0.9759,0.0000,-4069.2991,-539.1328,715.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,300,M,5,5,test_fwd,907,89,0.0981,24.5596,-25.1121,2185.8062,54.2057,1.1394,0.0337,0.0000,0.9663,0.0000,-4175.1860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,300,M,5,5,test_rev,700,83,0.1186,4.0024,-21.4303,332.1961,33.8759,1.0310,0.0120,0.0120,0.9759,0.0000,-4429.2991,-549.1328,705.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,300,M,10,10,test_fwd,907,89,0.0981,14.6439,-35.1121,1303.3062,54.2057,1.0805,0.0337,0.0000,0.9663,0.0000,-4622.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,300,M,10,10,test_rev,700,83,0.1186,-5.9675,-31.4303,-495.3039,33.8759,0.9556,0.0120,0.0120,0.9759,0.0000,-4789.2991,-559.1328,695.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,300,T,0,0,test_fwd,907,89,0.0981,34.2057,-15.1121,3044.3062,54.2057,1.2005,0.0337,0.0000,0.9663,0.0000,-3736.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,300,T,0,0,test_rev,700,83,0.1186,13.8759,-11.4303,1151.6961,33.8759,1.1123,0.0120,0.0120,0.9759,0.0000,-4069.2991,-539.1328,715.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,300,T,5,5,test_fwd,907,89,0.0981,24.2057,-25.1121,2154.3062,54.2057,1.1374,0.0337,0.0000,0.9663,0.0000,-4185.6860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,300,T,5,5,test_rev,700,83,0.1186,3.8759,-21.4303,321.6961,33.8759,1.0301,0.0120,0.0120,0.9759,0.0000,-4429.2991,-549.1328,705.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.0000,300,T,10,10,test_fwd,907,89,0.0981,14.2057,-35.1121,1264.3062,54.2057,1.0781,0.0337,0.0000,0.9663,0.0000,-4635.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.0000,300,T,10,10,test_rev,700,83,0.1186,-6.1241,-31.4303,-508.3039,33.8759,0.9545,0.0120,0.0120,0.9759,0.0000,-4789.2991,-559.1328,695.4813,1,4,890.4940,532.3614,-236.6120,390.4863
0.8000,3,2.5000,0,M,0,0,test_fwd,907,89,0.0981,34.4754,-15.1121,3068.3062,54.2057,1.2021,0.0337,0.0000,0.9663,0.0000,-3728.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,0,M,0,0,test_rev,700,83,0.1186,15.4202,-11.4303,1279.8748,35.3238,1.1263,0.0120,0.0000,0.9880,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,0,M,5,5,test_fwd,907,89,0.0981,24.5596,-25.1121,2185.8062,54.2057,1.1394,0.0337,0.0000,0.9663,0.0000,-4175.1860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,0,M,5,5,test_rev,700,83,0.1186,5.4503,-21.4303,452.3748,35.3238,1.0428,0.0120,0.0000,0.9880,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,0,M,10,10,test_fwd,907,89,0.0981,14.6439,-35.1121,1303.3062,54.2057,1.0805,0.0337,0.0000,0.9663,0.0000,-4622.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,0,M,10,10,test_rev,700,83,0.1186,-4.5196,-31.4303,-375.1252,35.3238,0.9660,0.0120,0.0000,0.9880,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,0,T,0,0,test_fwd,907,89,0.0981,34.2057,-15.1121,3044.3062,54.2057,1.2005,0.0337,0.0000,0.9663,0.0000,-3736.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,0,T,0,0,test_rev,700,83,0.1186,15.3238,-11.4303,1271.8748,35.3238,1.1255,0.0120,0.0000,0.9880,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,0,T,5,5,test_fwd,907,89,0.0981,24.2057,-25.1121,2154.3062,54.2057,1.1374,0.0337,0.0000,0.9663,0.0000,-4185.6860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,0,T,5,5,test_rev,700,83,0.1186,5.3238,-21.4303,441.8748,35.3238,1.0418,0.0120,0.0000,0.9880,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,0,T,10,10,test_fwd,907,89,0.0981,14.2057,-35.1121,1264.3062,54.2057,1.0781,0.0337,0.0000,0.9663,0.0000,-4635.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,0,T,10,10,test_rev,700,83,0.1186,-4.6762,-31.4303,-388.1252,35.3238,0.9648,0.0120,0.0000,0.9880,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,60,M,0,0,test_fwd,907,89,0.0981,34.4754,-15.1121,3068.3062,54.2057,1.2021,0.0337,0.0000,0.9663,0.0000,-3728.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,60,M,0,0,test_rev,700,83,0.1186,15.4202,-11.4303,1279.8748,35.3238,1.1263,0.0120,0.0000,0.9880,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,60,M,5,5,test_fwd,907,89,0.0981,24.5596,-25.1121,2185.8062,54.2057,1.1394,0.0337,0.0000,0.9663,0.0000,-4175.1860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,60,M,5,5,test_rev,700,83,0.1186,5.4503,-21.4303,452.3748,35.3238,1.0428,0.0120,0.0000,0.9880,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,60,M,10,10,test_fwd,907,89,0.0981,14.6439,-35.1121,1303.3062,54.2057,1.0805,0.0337,0.0000,0.9663,0.0000,-4622.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,60,M,10,10,test_rev,700,83,0.1186,-4.5196,-31.4303,-375.1252,35.3238,0.9660,0.0120,0.0000,0.9880,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,60,T,0,0,test_fwd,907,89,0.0981,34.2057,-15.1121,3044.3062,54.2057,1.2005,0.0337,0.0000,0.9663,0.0000,-3736.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,60,T,0,0,test_rev,700,83,0.1186,15.3238,-11.4303,1271.8748,35.3238,1.1255,0.0120,0.0000,0.9880,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,60,T,5,5,test_fwd,907,89,0.0981,24.2057,-25.1121,2154.3062,54.2057,1.1374,0.0337,0.0000,0.9663,0.0000,-4185.6860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,60,T,5,5,test_rev,700,83,0.1186,5.3238,-21.4303,441.8748,35.3238,1.0418,0.0120,0.0000,0.9880,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,60,T,10,10,test_fwd,907,89,0.0981,14.2057,-35.1121,1264.3062,54.2057,1.0781,0.0337,0.0000,0.9663,0.0000,-4635.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,60,T,10,10,test_rev,700,83,0.1186,-4.6762,-31.4303,-388.1252,35.3238,0.9648,0.0120,0.0000,0.9880,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,300,M,0,0,test_fwd,907,89,0.0981,34.4754,-15.1121,3068.3062,54.2057,1.2021,0.0337,0.0000,0.9663,0.0000,-3728.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,300,M,0,0,test_rev,700,83,0.1186,15.4202,-11.4303,1279.8748,35.3238,1.1263,0.0120,0.0000,0.9880,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,300,M,5,5,test_fwd,907,89,0.0981,24.5596,-25.1121,2185.8062,54.2057,1.1394,0.0337,0.0000,0.9663,0.0000,-4175.1860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,300,M,5,5,test_rev,700,83,0.1186,5.4503,-21.4303,452.3748,35.3238,1.0428,0.0120,0.0000,0.9880,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,300,M,10,10,test_fwd,907,89,0.0981,14.6439,-35.1121,1303.3062,54.2057,1.0805,0.0337,0.0000,0.9663,0.0000,-4622.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,300,M,10,10,test_rev,700,83,0.1186,-4.5196,-31.4303,-375.1252,35.3238,0.9660,0.0120,0.0000,0.9880,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,300,T,0,0,test_fwd,907,89,0.0981,34.2057,-15.1121,3044.3062,54.2057,1.2005,0.0337,0.0000,0.9663,0.0000,-3736.3038,-876.0400,902.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,300,T,0,0,test_rev,700,83,0.1186,15.3238,-11.4303,1271.8748,35.3238,1.1255,0.0120,0.0000,0.9880,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,300,T,5,5,test_fwd,907,89,0.0981,24.2057,-25.1121,2154.3062,54.2057,1.1374,0.0337,0.0000,0.9663,0.0000,-4185.6860,-886.0400,892.5390,3,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,300,T,5,5,test_rev,700,83,0.1186,5.3238,-21.4303,441.8748,35.3238,1.0418,0.0120,0.0000,0.9880,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,3,2.5000,300,T,10,10,test_fwd,907,89,0.0981,14.2057,-35.1121,1264.3062,54.2057,1.0781,0.0337,0.0000,0.9663,0.0000,-4635.6860,-896.0400,882.5390,2,4,821.1461,598.1348,-283.9353,425.8492
0.8000,3,2.5000,300,T,10,10,test_rev,700,83,0.1186,-4.6762,-31.4303,-388.1252,35.3238,0.9648,0.0120,0.0000,0.9880,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,542.5904,-236.7045,390.4863
0.8000,4,1.5000,0,M,0,0,test_fwd,907,89,0.0981,39.5061,-15.1121,3516.0406,59.4162,1.2338,0.0112,0.0225,0.9663,0.0000,-3286.6533,-859.9154,902.5390,2,4,821.1461,595.5169,-280.7912,440.3591
