year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2023,55.33,37.27,41.83,30.19,22.71,37.77,39.72,25.3,24.84,37.96,61.46,56.55
2024,51.03,35.85,56.43,49.18,36.55,29.9,36.55,42.88,29.49,29.04,41.09,39.35
2025,44.16,45.93,41.98,39.08,31.78,30.14,30.22,34.18,27.63,37.22,37.71,26.95
2026,24.14,46.78,,,,,,,,,,
