symbol,settle_id,bottom_t_s,bottom_t_ms,pct_of_window_elapsed,drop_bps,drop_rate_bps_per_s,fr_bps,fr_abs_bps,depth_20,spread_bps,ob_bid_depth,ob_ask_depth,velocity_2s_at_bottom,price_range_2s_at_bottom,price_std_2s_at_bottom,velocity_1s_after_bottom,max_recovery_1s,sell_ratio_at_bottom,trade_count_at_bottom,vol_rate_at_bottom,avg_size_at_bottom,sell_ratio_change,vol_surge,trade_surge,spread_at_bottom,ob1_imbalance_at_bottom,ob1_bid_qty_at_bottom,ob1_ask_qty_at_bottom,bounce_count_to_bottom,new_low_count,recovery_5s_bps,net_5s_bps,profitable_5s,recovery_10s_bps,net_10s_bps,profitable_10s,recovery_15s_bps,net_15s_bps,profitable_15s,recovery_20s_bps,net_20s_bps,profitable_20s,recovery_30s_bps,net_30s_bps,profitable_30s,max_recovery_bps,max_recovery_t_ms
ALICEUSDT,ALICEUSDT_20260228_080000,16.7,16700,0.2783333333333333,132.885046429716,7.95718840896503,0.0,0.0,2005.298051,7.207207207207747,403.569821,167.956172,-11.207172590457219,24.015369836695157,7.291007038560736,2.4015369836694163,6.404098623119538,0.28807332705751865,66,2825.542317,693.5075757575758,0.6991346480329397,2.992955676346332,1.7010309278350517,8.005123278898724,-0.8545314251070163,395.9,5047.2,15,15,8.005123278899134,-12.065931359688989,0.0,2.4015369836705247,-17.6695176549176,0.0,19.212295869357476,-0.8587587692306471,0.0,12.007684918349256,-8.063369720238867,0.0,,,,42.42715337816284,28444
ATHUSDT,ATHUSDT_20260227_200000,2.6,2600,0.043333333333333335,72.32650249698547,27.81788557576364,0.0,0.0,5196.420730000001,5.164844624258239,1504.32215,1564.7246599999999,-22.386774582400243,27.552953332186107,7.927350295889509,10.332357499569511,17.220595832615487,0.9788668434153767,55,3675.8382349999997,23139.81818181818,0.03392396292374722,10.484823650882811,3.6666666666666665,5.166178749783935,-0.5987593052109181,16170.0,64430.0,3,5,43.05148958153926,24.327065528364972,1.0,10.332357499569511,-8.392066553604774,0.0,8.61029791630719,-10.114126136867096,0.0,,,,20.664714999139022,1.9402909459647368,1.0,49.939727914585234,3993
ATHUSDT,ATHUSDT_20260228_040000,3.4,3400,0.056666666666666664,202.7137485695607,59.62169075575315,0.0,0.0,7260.17044,4.905567819475755,2706.6379199999997,7510.97211,-45.77407225764276,60.487166911885595,18.147289298784195,27.791401013569356,52.31322543730599,0.8171778184725317,451,47101.165394999996,34720.84257206209,0.10990053062335148,17.16467156919491,4.934354485776805,3.269576589832051,0.4159443756548243,74330.0,30660.0,9,11,80.10462645087424,64.17238588231773,1.0,55.58280202713871,39.6505614585822,1.0,62.12195520680086,46.189714638244354,1.0,45.77407225764384,29.841831689087325,1.0,27.791401013568247,11.859160445011732,1.0,81.7394147457906,2987
ATHUSDT,ATHUSDT_20260228_120000,3.5,3500,0.058333333333333334,84.43465491923652,24.124187119781862,0.0,0.0,6410.28712,3.671745915181564,2071.73897,1557.599,-18.35535976505099,40.38179148311171,11.375937600090245,12.848751835535793,16.51982378854666,0.8055811330055321,156,17049.876415000002,40380.57692307692,0.36287993371526917,79.89544302798824,16.595744680851062,1.8355359765053834,-0.39081412701044604,18370.0,41940.0,7,7,38.54625550660851,22.25702292811843,1.0,40.38179148311394,24.092558904623864,1.0,38.54625550660851,22.25702292811843,1.0,,,,,,,47.723935389133445,26021
ATHUSDT,ATHUSDT_20260228_160000,3.5,3500,0.058333333333333334,32.252284536821165,9.214938439091762,0.0,0.0,7442.7572,1.7916330735467756,4208.570030000001,2482.0962099999997,-10.75076151227372,16.126142268410028,3.1919430499757717,-1.7917935853772917,3.5835871707568003,0.8227322647940967,28,809.3204599999999,10384.642857142857,0.05402402878159174,3.6905575839175566,2.8,1.791793585379202,-0.4643356643356643,7660.0,20940.0,5,4,1.7917935853795086,-13.599391579374636,0.0,3.5835871707568003,-11.807597993997344,0.0,0.0,-15.391185164754145,0.0,5.375380756136309,-10.015804408617836,0.0,3.5835871707568003,-11.807597993997344,0.0,7.167174341515818,4383
BARDUSDT,BARDUSDT_20260226_170000,10.6,10600,0.17666666666666667,71.63828537874339,6.758328809315414,0.0,0.0,17270.0262,4.69814423302874,3130.4587899999997,5611.75146,-10.569583088667628,11.743981209629837,2.5827118494310124,3.5231943628888303,5.871990604814357,0.8271320984912024,120,9718.608315000001,191.4691666666667,0.4816998599585326,1.8566512081077358,0.855920114122682,4.69814423302874,0.0,0.0,0.0,20,5,8.220786846739877,-7.655961055795299,0.0,10.56958308866762,-5.307164813867555,0.0,15.26717557251866,-0.609572330016515,0.0,14.09277745155535,-1.7839704509798255,0.0,7.046388725777675,-8.8303591767575,0.0,18.790369935407497,14469
BARDUSDT,BARDUSDT_20260226_180000,4.0,4000,0.06666666666666667,68.03519061583607,17.008797653959018,0.0,0.0,19798.103600000002,1.1733646230564858,6340.09747,3688.2482600000003,-18.768328445748494,25.806451612903068,8.072086057809113,1.1730205278592791,17.595307917888107,0.7548714640097222,385,19175.03646,117.46337662337665,0.38525926820802203,2.8033135106200033,2.677329624478442,1.1733646230564858,0.0,0.0,0.0,8,4,12.903225806450976,-1.5352954442521223,0.0,22.287390029325223,7.8488687786221245,1.0,25.806451612903068,11.367930362199969,1.0,28.152492668621633,13.713971417918534,1.0,28.152492668621633,13.713971417918534,1.0,31.67155425219947,19182
BARDUSDT,BARDUSDT_20260226_190000,29.5,29500,0.49166666666666664,139.5134324916403,4.729268898021704,0.0,0.0,28915.02689,5.766680122252984,3994.0055000000007,8510.663980000001,-3.4590107229326463,8.071025020176549,2.011480170618066,8.07102502017652,14.989046466044059,0.2215640059204638,46,2859.711745,145.30652173913046,0.022820174114990655,0.5431971151028162,0.5227272727272727,5.766680122252984,0.0,0.0,0.0,45,10,,,,36.8961143779556,20.705670901852617,1.0,19.601060763287947,3.4106172871849663,1.0,18.4480571889778,2.2576137128748184,1.0,26.519082209155457,10.328638733052475,1.0,41.5081286751995,11134
BARDUSDT,BARDUSDT_20260226_200000,12.2,12200,0.20333333333333334,292.891619131197,24.007509764852212,0.0,0.0,22040.411360000002,1.0971528882548576,1964.7723799999999,1201.1691700000001,-26.32733655111855,52.65467310223815,13.531518970598762,32.90917068889843,47.16981132075415,0.5387960700347393,572,22437.963734999998,88.51433566433566,-0.2585749551338716,7.646323797651734,6.589861751152074,1.0971528882548576,0.0,0.0,0.0,39,16,52.65467310223815,36.7146637722729,1.0,65.81834137779686,49.878332047831606,1.0,46.072838964457134,30.13282963449188,1.0,49.36375603334707,33.42374670338182,1.0,42.781921895568274,26.841912565603018,1.0,77.88503729705965,11404
BARDUSDT,BARDUSDT_20260226_230000,11.9,11900,0.19833333333333333,13.83444777495968,1.1625586365512335,0.0,0.0,7668.622819999999,2.3054755043237924,856.79549,412.42895,0.0,0.0,0.0,3.4586119437396423,10.375835831220037,0.0,11,32.891265000000004,6.9,0.0,0.07663464497753063,0.4435483870967742,2.3054755043237924,0.0,0.0,0.0,4,3,,,,9.222965183306453,-7.933497735083984,0.0,12.681577127046095,-4.474885791344342,0.0,5.764353239567921,-11.392109678822516,0.0,20.751671662438966,3.595208744048529,1.0,25.363154254093303,26380
