year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2023,15.58,17.27,24.64,15.75,14.26,15.44,9.72,9.66,10.24,15.18,16.64,17.69
2024,21.92,18.57,28.92,24.95,18.59,13.96,21.03,25.82,18.16,16.2,23.6,22.26
2025,21.47,20.23,23.13,19.53,14.83,12.6,12.12,12.87,10.63,18.07,21.82,17.0
2026,14.83,32.68,,,,,,,,,,
