symbol,day_type,hour,avg_range_bps
ETHUSDT,other_weekday,14,40.47
ETHUSDT,other_weekday,15,38.09
ETHUSDT,other_weekday,16,34.05
ETHUSDT,other_weekday,17,32.16
ETHUSDT,other_weekday,18,30.72
ETHUSDT,other_weekday,19,30.3
ETHUSDT,other_weekday,20,29.18
ETHUSDT,other_weekday,21,27.69
ETHUSDT,other_weekday,22,24.81
ETHUSDT,other_weekday,23,21.78
SOLUSDT,regular_friday,0,48.93
SOLUSDT,regular_friday,1,44.68
SOLUSDT,regular_friday,2,39.23
SOLUSDT,regular_friday,3,35.42
SOLUSDT,regular_friday,4,33.9
SOLUSDT,regular_friday,5,33.32
SOLUSDT,regular_friday,6,34.3
SOLUSDT,regular_friday,7,35.98
SOLUSDT,regular_friday,8,37.75
SOLUSDT,regular_friday,9,36.14
SOLUSDT,regular_friday,10,36.0
SOLUSDT,regular_friday,11,35.35
SOLUSDT,regular_friday,12,43.36
SOLUSDT,regular_friday,13,48.64
SOLUSDT,regular_friday,14,56.04
SOLUSDT,regular_friday,15,56.89
SOLUSDT,regular_friday,16,52.17
SOLUSDT,regular_friday,17,46.9
SOLUSDT,regular_friday,18,45.96
SOLUSDT,regular_friday,19,40.32
SOLUSDT,regular_friday,20,40.31
SOLUSDT,regular_friday,21,43.71
SOLUSDT,regular_friday,22,39.05
SOLUSDT,regular_friday,23,33.41
SOLUSDT,monthly_expiry,0,39.87
SOLUSDT,monthly_expiry,1,43.74
SOLUSDT,monthly_expiry,2,39.23
SOLUSDT,monthly_expiry,3,31.93
SOLUSDT,monthly_expiry,4,31.75
SOLUSDT,monthly_expiry,5,30.48
SOLUSDT,monthly_expiry,6,30.31
SOLUSDT,monthly_expiry,7,34.58
SOLUSDT,monthly_expiry,8,32.76
SOLUSDT,monthly_expiry,9,33.36
SOLUSDT,monthly_expiry,10,29.66
SOLUSDT,monthly_expiry,11,29.8
SOLUSDT,monthly_expiry,12,40.45
SOLUSDT,monthly_expiry,13,47.09
SOLUSDT,monthly_expiry,14,54.15
SOLUSDT,monthly_expiry,15,50.16
SOLUSDT,monthly_expiry,16,48.57
SOLUSDT,monthly_expiry,17,43.02
SOLUSDT,monthly_expiry,18,38.18
SOLUSDT,monthly_expiry,19,31.87
SOLUSDT,monthly_expiry,20,31.11
SOLUSDT,monthly_expiry,21,28.59
SOLUSDT,monthly_expiry,22,29.39
SOLUSDT,monthly_expiry,23,27.54
SOLUSDT,other_weekday,0,44.85
SOLUSDT,other_weekday,1,43.4
SOLUSDT,other_weekday,2,39.46
SOLUSDT,other_weekday,3,34.52
SOLUSDT,other_weekday,4,32.53
SOLUSDT,other_weekday,5,32.53
SOLUSDT,other_weekday,6,33.68
SOLUSDT,other_weekday,7,34.35
SOLUSDT,other_weekday,8,36.02
SOLUSDT,other_weekday,9,35.0
SOLUSDT,other_weekday,10,33.65
SOLUSDT,other_weekday,11,34.42
SOLUSDT,other_weekday,12,41.31
SOLUSDT,other_weekday,13,48.75
SOLUSDT,other_weekday,14,56.56
SOLUSDT,other_weekday,15,55.04
SOLUSDT,other_weekday,16,50.85
SOLUSDT,other_weekday,17,46.37
SOLUSDT,other_weekday,18,44.27
SOLUSDT,other_weekday,19,43.61
SOLUSDT,other_weekday,20,42.41
SOLUSDT,other_weekday,21,40.16
SOLUSDT,other_weekday,22,36.87
SOLUSDT,other_weekday,23,33.38
DOGEUSDT,regular_friday,0,43.06
DOGEUSDT,regular_friday,1,40.23
DOGEUSDT,regular_friday,2,36.23
DOGEUSDT,regular_friday,3,32.08
DOGEUSDT,regular_friday,4,29.51
DOGEUSDT,regular_friday,5,30.29
DOGEUSDT,regular_friday,6,32.41
DOGEUSDT,regular_friday,7,33.87
DOGEUSDT,regular_friday,8,34.33
DOGEUSDT,regular_friday,9,33.8
DOGEUSDT,regular_friday,10,32.2
DOGEUSDT,regular_friday,11,33.25
DOGEUSDT,regular_friday,12,39.52
DOGEUSDT,regular_friday,13,46.34
DOGEUSDT,regular_friday,14,53.9
DOGEUSDT,regular_friday,15,53.0
DOGEUSDT,regular_friday,16,49.79
DOGEUSDT,regular_friday,17,44.4
DOGEUSDT,regular_friday,18,41.43
DOGEUSDT,regular_friday,19,34.87
DOGEUSDT,regular_friday,20,35.1
DOGEUSDT,regular_friday,21,48.52
DOGEUSDT,regular_friday,22,37.2
DOGEUSDT,regular_friday,23,30.09
DOGEUSDT,monthly_expiry,0,35.52
DOGEUSDT,monthly_expiry,1,38.8
DOGEUSDT,monthly_expiry,2,33.72
DOGEUSDT,monthly_expiry,3,27.65
DOGEUSDT,monthly_expiry,4,29.26
DOGEUSDT,monthly_expiry,5,26.09
DOGEUSDT,monthly_expiry,6,26.77
DOGEUSDT,monthly_expiry,7,30.84
DOGEUSDT,monthly_expiry,8,29.81
DOGEUSDT,monthly_expiry,9,28.64
DOGEUSDT,monthly_expiry,10,27.15
DOGEUSDT,monthly_expiry,11,26.17
DOGEUSDT,monthly_expiry,12,33.98
DOGEUSDT,monthly_expiry,13,41.3
DOGEUSDT,monthly_expiry,14,44.83
DOGEUSDT,monthly_expiry,15,44.02
DOGEUSDT,monthly_expiry,16,44.56
DOGEUSDT,monthly_expiry,17,37.03
DOGEUSDT,monthly_expiry,18,33.25
DOGEUSDT,monthly_expiry,19,28.75
DOGEUSDT,monthly_expiry,20,27.88
DOGEUSDT,monthly_expiry,21,26.05
DOGEUSDT,monthly_expiry,22,26.26
DOGEUSDT,monthly_expiry,23,25.35
DOGEUSDT,other_weekday,0,43.08
DOGEUSDT,other_weekday,1,41.07
DOGEUSDT,other_weekday,2,36.89
DOGEUSDT,other_weekday,3,32.77
DOGEUSDT,other_weekday,4,31.25
DOGEUSDT,other_weekday,5,31.53
DOGEUSDT,other_weekday,6,32.28
DOGEUSDT,other_weekday,7,32.8
DOGEUSDT,other_weekday,8,34.65
DOGEUSDT,other_weekday,9,33.04
DOGEUSDT,other_weekday,10,32.53
DOGEUSDT,other_weekday,11,32.12
DOGEUSDT,other_weekday,12,38.4
DOGEUSDT,other_weekday,13,45.78
DOGEUSDT,other_weekday,14,52.52
DOGEUSDT,other_weekday,15,50.33
DOGEUSDT,other_weekday,16,48.8
DOGEUSDT,other_weekday,17,44.29
DOGEUSDT,other_weekday,18,41.3
DOGEUSDT,other_weekday,19,40.11
DOGEUSDT,other_weekday,20,39.46
DOGEUSDT,other_weekday,21,36.6
DOGEUSDT,other_weekday,22,33.91
DOGEUSDT,other_weekday,23,30.52
XRPUSDT,regular_friday,0,38.55
XRPUSDT,regular_friday,1,35.73
XRPUSDT,regular_friday,2,32.65
XRPUSDT,regular_friday,3,28.36
XRPUSDT,regular_friday,4,28.05
XRPUSDT,regular_friday,5,27.12
XRPUSDT,regular_friday,6,28.98
XRPUSDT,regular_friday,7,30.23
XRPUSDT,regular_friday,8,31.44
XRPUSDT,regular_friday,9,30.23
XRPUSDT,regular_friday,10,29.74
XRPUSDT,regular_friday,11,30.0
XRPUSDT,regular_friday,12,34.73
XRPUSDT,regular_friday,13,38.97
XRPUSDT,regular_friday,14,44.8
XRPUSDT,regular_friday,15,45.44
XRPUSDT,regular_friday,16,41.99
XRPUSDT,regular_friday,17,37.18
XRPUSDT,regular_friday,18,36.12
XRPUSDT,regular_friday,19,31.43
XRPUSDT,regular_friday,20,31.96
XRPUSDT,regular_friday,21,41.6
XRPUSDT,regular_friday,22,30.52
XRPUSDT,regular_friday,23,24.43
XRPUSDT,monthly_expiry,0,30.41
