symbol,moon_pct,avg_range_bps,n_bars
ETHUSDT,63,27.07,2364
ETHUSDT,64,25.75,2407
ETHUSDT,65,26.45,2457
ETHUSDT,66,24.72,2364
ETHUSDT,67,22.8,2375
ETHUSDT,68,26.1,2298
ETHUSDT,69,25.76,2300
ETHUSDT,70,24.69,2376
ETHUSDT,71,26.87,2292
ETHUSDT,72,26.29,2306
ETHUSDT,73,26.67,2319
ETHUSDT,74,26.14,2279
ETHUSDT,75,27.91,2374
ETHUSDT,76,27.02,2318
ETHUSDT,77,27.79,2281
ETHUSDT,78,27.78,2376
ETHUSDT,79,25.49,2369
ETHUSDT,80,28.14,2439
ETHUSDT,81,26.99,2418
ETHUSDT,82,27.65,2369
ETHUSDT,83,25.0,2441
ETHUSDT,84,26.86,2455
ETHUSDT,85,28.02,2454
ETHUSDT,86,25.19,2428
ETHUSDT,87,26.87,2370
ETHUSDT,88,28.23,2428
ETHUSDT,89,25.79,2429
ETHUSDT,90,25.71,2369
ETHUSDT,91,23.91,2359
ETHUSDT,92,27.08,2284
ETHUSDT,93,26.33,2330
ETHUSDT,94,23.6,2356
ETHUSDT,95,29.12,2285
ETHUSDT,96,28.44,2333
ETHUSDT,97,25.92,2283
ETHUSDT,98,27.35,2316
ETHUSDT,99,26.15,2366
SOLUSDT,0,46.49,2195
SOLUSDT,1,50.28,2232
SOLUSDT,2,47.57,2290
SOLUSDT,3,42.67,2288
SOLUSDT,4,43.56,2376
SOLUSDT,5,43.11,2304
SOLUSDT,6,41.75,2294
SOLUSDT,7,40.05,2375
SOLUSDT,8,39.01,2364
SOLUSDT,9,39.43,2369
SOLUSDT,10,40.47,2324
SOLUSDT,11,37.62,2279
SOLUSDT,12,40.17,2372
SOLUSDT,13,42.25,2369
SOLUSDT,14,40.77,2364
SOLUSDT,15,39.6,2339
SOLUSDT,16,45.73,2284
SOLUSDT,17,40.99,2350
SOLUSDT,18,38.26,2337
SOLUSDT,19,38.12,2285
SOLUSDT,20,35.13,2263
SOLUSDT,21,39.74,2199
SOLUSDT,22,35.96,2255
SOLUSDT,23,35.02,2262
SOLUSDT,24,36.31,2199
SOLUSDT,25,37.38,2257
SOLUSDT,26,37.63,2279
SOLUSDT,27,40.36,2324
SOLUSDT,28,41.08,2366
SOLUSDT,29,43.61,2281
SOLUSDT,30,44.32,2328
SOLUSDT,31,41.69,2366
SOLUSDT,32,43.89,2393
SOLUSDT,33,39.91,2461
SOLUSDT,34,39.21,2371
SOLUSDT,35,39.35,2396
SOLUSDT,36,40.36,2462
SOLUSDT,37,43.94,2442
SOLUSDT,38,39.83,2461
SOLUSDT,39,43.39,2398
SOLUSDT,40,40.44,2370
SOLUSDT,41,40.31,2459
SOLUSDT,42,36.37,2397
SOLUSDT,43,35.98,2364
SOLUSDT,44,36.28,2330
SOLUSDT,45,36.44,2283
SOLUSDT,46,35.21,2362
SOLUSDT,47,36.69,2327
SOLUSDT,48,35.63,2280
SOLUSDT,49,34.64,2335
SOLUSDT,50,34.52,2285
SOLUSDT,51,37.12,2345
SOLUSDT,52,34.01,2342
SOLUSDT,53,35.42,2285
SOLUSDT,54,36.48,2345
SOLUSDT,55,36.29,2370
SOLUSDT,56,41.48,2419
SOLUSDT,57,40.55,2438
SOLUSDT,58,41.1,2369
SOLUSDT,59,39.61,2421
SOLUSDT,60,42.43,2449
SOLUSDT,61,45.33,2455
SOLUSDT,62,49.93,2458
SOLUSDT,63,42.37,2364
SOLUSDT,64,43.48,2407
SOLUSDT,65,43.51,2457
SOLUSDT,66,39.17,2364
SOLUSDT,67,37.18,2375
SOLUSDT,68,43.28,2298
SOLUSDT,69,42.8,2300
SOLUSDT,70,42.19,2376
SOLUSDT,71,42.75,2292
SOLUSDT,72,42.31,2306
SOLUSDT,73,43.61,2319
SOLUSDT,74,41.38,2279
SOLUSDT,75,41.5,2374
SOLUSDT,76,40.37,2318
SOLUSDT,77,40.62,2281
