year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2023,26.36,20.21,36.57,24.37,21.0,27.03,33.29,23.94,16.67,20.02,29.37,22.7
2024,24.86,23.01,38.58,31.48,19.77,17.78,33.97,33.77,21.14,20.49,64.53,62.26
2025,43.76,51.68,44.33,36.72,28.46,23.69,34.85,28.44,20.63,32.86,36.52,22.47
2026,25.19,47.21,,,,,,,,,,
