year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2023,32.38,26.78,30.23,34.67,16.75,22.06,28.09,19.77,13.08,18.04,36.31,32.92
2024,29.62,26.98,79.32,53.96,40.1,26.84,35.83,36.8,28.11,39.24,77.02,50.95
2025,45.25,46.7,42.4,37.72,40.8,30.52,42.79,36.73,32.53,39.59,36.41,24.59
2026,27.66,43.51,,,,,,,,,,
