bar_in_cycle,minutes_since_funding,pct_through_cycle,BTCUSDT_range_bps,ETHUSDT_range_bps,SOLUSDT_range_bps,DOGEUSDT_range_bps,XRPUSDT_range_bps,BTCUSDT_volume,ETHUSDT_volume,SOLUSDT_volume,DOGEUSDT_volume,XRPUSDT_volume
84,420,87.5,21.75,29.58,44.63,42.04,35.33,32482519.0,14690180.0,5876492.0,1745191.0,2852378.0
85,425,88.5,20.39,27.53,41.53,38.52,33.05,29613995.0,14038430.0,5673534.0,1622866.0,2774122.0
86,430,89.6,18.73,24.85,38.51,35.25,29.92,26839128.0,12316117.0,4985328.0,1480202.0,2502067.0
87,435,90.6,20.1,27.3,41.94,39.4,33.07,27717280.0,13121280.0,5192508.0,1580209.0,2677531.0
88,440,91.7,19.03,25.42,39.17,36.49,30.97,26849129.0,12458772.0,5114680.0,1484254.0,2548797.0
89,445,92.7,18.0,23.45,36.16,33.97,29.72,25721677.0,11654044.0,4894348.0,1423911.0,2564125.0
90,450,93.8,19.59,26.36,40.99,38.79,32.88,28622634.0,13246363.0,5332047.0,1594169.0,2690807.0
91,455,94.8,18.34,24.67,37.72,35.65,30.45,25636023.0,12204309.0,4791477.0,1445684.0,2553936.0
92,460,95.8,17.19,22.68,35.4,32.74,28.76,24592034.0,11672226.0,4610137.0,1395708.0,2374886.0
93,465,96.9,18.2,24.14,38.76,36.52,30.88,25120803.0,11478786.0,4708917.0,1452287.0,2349693.0
94,470,97.9,17.06,22.58,35.47,32.55,28.38,23325695.0,11097381.0,4426929.0,1307332.0,2188271.0
95,475,99.0,15.11,19.64,31.94,28.39,25.69,21050113.0,9741118.0,4061596.0,1138388.0,2096069.0
