symbol,transition,relative_hour,actual_hour,avg_range_bps
SOLUSDT,Tue→Wed,2,2,36.23
SOLUSDT,Wed→Thu,-3,21,41.19
SOLUSDT,Wed→Thu,-2,22,37.3
SOLUSDT,Wed→Thu,-1,23,33.51
SOLUSDT,Wed→Thu,0,0,43.44
SOLUSDT,Wed→Thu,1,1,40.96
SOLUSDT,Wed→Thu,2,2,37.63
SOLUSDT,Thu→Fri,-3,21,40.48
SOLUSDT,Thu→Fri,-2,22,36.7
SOLUSDT,Thu→Fri,-1,23,33.18
SOLUSDT,Thu→Fri,0,0,46.87
SOLUSDT,Thu→Fri,1,1,44.47
SOLUSDT,Thu→Fri,2,2,39.23
DOGEUSDT,Fri→Sat,-3,21,43.42
DOGEUSDT,Fri→Sat,-2,22,34.71
DOGEUSDT,Fri→Sat,-1,23,29.01
DOGEUSDT,Fri→Sat,0,0,36.85
DOGEUSDT,Fri→Sat,1,1,35.41
DOGEUSDT,Fri→Sat,2,2,29.7
DOGEUSDT,Sat→Sun,-3,21,28.35
DOGEUSDT,Sat→Sun,-2,22,27.28
DOGEUSDT,Sat→Sun,-1,23,27.57
DOGEUSDT,Sat→Sun,0,0,35.06
DOGEUSDT,Sat→Sun,1,1,32.21
DOGEUSDT,Sat→Sun,2,2,29.23
DOGEUSDT,Sun→Mon,-3,21,31.2
DOGEUSDT,Sun→Mon,-2,22,38.47
DOGEUSDT,Sun→Mon,-1,23,36.24
DOGEUSDT,Sun→Mon,0,0,48.03
DOGEUSDT,Sun→Mon,1,1,44.85
DOGEUSDT,Sun→Mon,2,2,41.32
DOGEUSDT,Mon→Tue,-3,21,36.77
DOGEUSDT,Mon→Tue,-2,22,34.12
DOGEUSDT,Mon→Tue,-1,23,31.54
DOGEUSDT,Mon→Tue,0,0,45.16
DOGEUSDT,Mon→Tue,1,1,41.76
DOGEUSDT,Mon→Tue,2,2,37.89
DOGEUSDT,Tue→Wed,-3,21,36.25
DOGEUSDT,Tue→Wed,-2,22,34.26
DOGEUSDT,Tue→Wed,-1,23,29.61
DOGEUSDT,Tue→Wed,0,0,39.7
DOGEUSDT,Tue→Wed,1,1,38.83
DOGEUSDT,Tue→Wed,2,2,34.31
DOGEUSDT,Wed→Thu,-3,21,36.21
DOGEUSDT,Wed→Thu,-2,22,33.48
DOGEUSDT,Wed→Thu,-1,23,30.25
DOGEUSDT,Wed→Thu,0,0,39.38
DOGEUSDT,Wed→Thu,1,1,38.81
DOGEUSDT,Wed→Thu,2,2,34.03
DOGEUSDT,Thu→Fri,-3,21,37.17
DOGEUSDT,Thu→Fri,-2,22,33.78
DOGEUSDT,Thu→Fri,-1,23,30.66
DOGEUSDT,Thu→Fri,0,0,41.35
