year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2023,99.45,85.51,110.68,83.72,63.72,80.8,78.23,59.55,53.03,74.52,109.48,102.54
2024,105.11,88.29,156.38,128.45,95.72,73.67,104.14,120.44,84.51,85.8,154.85,136.02
2025,123.69,135.41,126.11,114.1,100.88,84.76,97.03,96.23,75.49,107.22,115.87,82.42
2026,78.87,152.85,,,,,,,,,,
